,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity
1,4,reg,229,1836,1844,30M 36S,30M 44S,co,stove,
2,5,reg,53,1060,1066,17M 40S,17M 46S,cpB,stove,
3,8,reg,66,574,578,9M 34S,9M 38S,co,stove,
4,9,reg,275,1886,1888,31M 26S,31M 28S,co,,
5,10,reg,111,916,922,15M 16S,15M 22S,co,stove,
6,11,reg,190,2036,2040,33M 56S,34M 0S,co,stove,
7,12,reg,219,2436,2486,40M 36S,41M 26S,co,table,
8,13,reg,188,1250,1258,20M 50S,20M 58S,co,stove,
9,17,reg,516,4484,4492,1H 14M 44S,1H 14M 52S,co,stove,
10,18,reg,312,1528,1534,25M 28S,25M 34S,co,,
11,20,reg,117,802,824,13M 22S,13M 44S,cpB,co,
12,1,new,138,896,916,14M 56S,15M 16S,stove,,
13,3,new,72,1170,1174,19M 30S,19M 34S,co,stove,
14,4,new,364,3068,3086,51M 8S,51M 26S,stove,,
15,6,new,257,3854,3860,1H 4M 14S,1H 4M 20S,co,,
16,8,new,141,1428,1430,23M 48S,23M 50S,co,,
17,9,new,134,890,898,14M 50S,14M 58S,co,,
18,10,new,786,6358,6366,1H 45M 58S,1H 46M 6S,co,stove,
19,13,new,233,930,954,15M 30S,15M 54S,co,,
20,14,new,355,2950,2958,49M 10S,49M 18S,co,stove,
21,15,new,362,2272,2280,37M 52S,38M 0S,co,stove,
22,16,new,187,2986,2994,49M 46S,49M 54S,co,,
23,19,new,94,750,762,12M 30S,12M 42S,cpB,co,
24,NA,NA,NA,NA,NA,NA,NA,,,
25,4,reg,227,1816,1818,30M 16S,30M 18S,,,
26,4,reg,234,1862,1864,31M 2S,31M 4S,,,
27,9,reg,211,1452,1460,24M 12S,24M 20S,,,
28,10,reg,141,1086,1096,18M 6S,18M 16S,,,
29,11,reg,193,2066,2076,34M 26S,34M 36S,,,
30,12,reg,313,3376,3382,56M 16S,56M 22S,,,
31,13,reg,353,2128,2134,35M 28S,35M 34S,,,
32,17,reg,438,3838,3846,1H 3M 58S,1H 4M 6S,,,
33,18,reg,5,72,76,1M 12S,1M 16S,,,
34,18,reg,35,188,190,3M 8S,3M 10S,,,
35,18,reg,167,710,720,11M 50S,12M 0S,,,
36,20,reg,494,3326,3336,55M 26S,55M 36S,,,
37,1,new,364,3330,3334,55M 30S,55M 34S,,,
38,4,new,376,3152,3156,52M 32S,52M 36S,,,
39,6,new,108,1988,1998,33M 8S,33M 18S,,,
40,6,new,329,4998,5008,1H 23M 18S,1H 23M 28S,,,
41,10,new,86,1094,1110,18M 14S,18M 30S,,,
42,10,new,810,6502,6510,1H 48M 22S,1H 48M 30S,,,
43,13,new,151,686,694,11M 26S,11M 34S,,,
44,13,new,484,1810,1822,30M 10S,30M 22S,,,
45,14,new,378,3066,3068,51M 6S,51M 8S,,,
