,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,,
1,2,reg,134,2084,2092,34M 44S,34M 52S,stove,,add,retrieve,store
2,3,reg,31,650,662,10M 50S,11M 2S,fridge,stove,add,retrieve,reposition
3,4,reg,116,1102,1106,18M 22S,18M 26S,co,stove,add,retrieve,store
4,6,reg,205,2444,2448,40M 44S,40M 48S,stove,,add,,
5,7,reg,88,1050,1076,17M 30S,17M 56S,stove,,add,,
6,8,reg,20,214,228,3M 34S,3M 48S,co,stove,add,,
7,9,reg,230,1534,1544,25M 34S,25M 44S,co,stove,add,retrieve,store
8,10,reg,127,988,996,16M 28S,16M 36S,co,stove,add,retrieve,store
9,11,reg,24,304,310,5M 4S,5M 10S,co,stove,add,retrieve,store
10,12,reg,236,2664,2676,44M 24S,44M 36S,co,stove,add,retrieve,store
11,13,reg,300,1874,1878,31M 14S,31M 18S,co,stove,add,retrieve,store
12,14,reg,22,218,226,3M 38S,3M 46S,co,stove,add,retrieve,store
13,15,reg,89,420,432,7M 0S,7M 12S,co,stove,add,retrieve,store
14,16,reg,168,1128,1130,18M 48S,18M 50S,stove,,reposition,,
15,17,reg,93,1272,1276,21M 12S,21M 16S,co,stove,add,retrieve,store
16,18,reg,92,470,473,7M 50S,7M 53S,stove,,manipulate,,
17,19,reg,221,1690,1692,28M 10S,28M 12S,cpB,co,reposition,,
18,20,reg,436,2894,2898,48M 14S,48M 18S,cpB,co,retrieve,reposition,
19,1,new,224,1654,1656,27M 34S,27M 36S,co,,reposition,,
20,2,new,144,2268,2278,37M 48S,37M 58S,cpB,stove,add,retrieve,store
21,3,new,35,788,798,13M 8S,13M 18S,co,stove,add,retrieve,store
22,4,new,145,1560,1564,26M 0S,26M 4S,co,stove,add,retrieve,reposition
23,5,new,50,1680,1760,28M 0S,29M 20S,cpB,,reposition,,
24,6,new,260,3888,3900,1H 4M 48S,1H 5M 0S,co,co,add,retrieve,store
25,7,new,29,336,366,5M 36S,6M 6S,stove,,add,,
26,8,new,102,972,980,16M 12S,16M 20S,co,stove,add,retrieve,store
27,9,new,47,460,472,7M 40S,7M 52S,co,stove,add,retrieve,store
28,10,new,93,1150,1154,19M 10S,19M 14S,co,stove,add,retrieve,store
29,11,new,166,1900,1904,31M 40S,31M 44S,co,stove,add,retrieve,store
30,13,new,257,1014,1026,16M 54S,17M 6S,stove,co,add,retrieve,store
31,15,new,206,1222,1252,20M 22S,20M 52S,stove,,add,,
32,16,new,183,2974,2976,49M 34S,49M 36S,cpB,co,reposition,,
33,17,new,433,4714,4718,1H 18M 34S,1H 18M 38S,co,stove,add,retrieve,store
34,18,new,139,860,862,14M 20S,14M 22S,co,,reposition,,
35,19,new,137,1144,1152,19M 4S,19M 12S,cpB,co,add,retrieve,store
36,NA,NA,NA,NA,NA,NA,NA,,,,,
37,2,reg,73,1238,1250,20M 38S,20M 50S,,,,,
38,4,reg,87,870,878,14M 30S,14M 38S,,,,,
39,4,reg,88,894,896,14M 54S,14M 56S,,,,,
