,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity
1,14,reg,5,36,40,36S,40S,co,,
2,17,reg,183,2284,2386,38M 4S,39M 46S,co,,
3,19,reg,11,60,96,1M 0S,1M 36S,cp,trashB,
4,12,new,197,2232,2292,37M 12S,38M 12S,table,,
5,12,new,246,2798,2866,46M 38S,47M 46S,table,,
6,14,new,58,390,424,6M 30S,7M 4S,co,,
7,15,new,37,218,224,3M 38S,3M 44S,co,stove,
8,NA,NA,NA,NA,NA,NA,NA,,,
9,14,reg,57,450,460,7M 30S,7M 40S,,,
10,14,reg,67,488,582,8M 8S,9M 42S,,,
11,14,reg,83,690,706,11M 30S,11M 46S,,,
12,14,reg,92,744,760,12M 24S,12M 40S,,,
13,14,reg,100,772,828,12M 52S,13M 48S,,,
14,14,reg,118,1032,1036,17M 12S,17M 16S,,,
15,17,reg,133,1602,1706,26M 42S,28M 26S,,,
16,17,reg,138,1734,1784,28M 54S,29M 44S,,,
17,17,reg,152,1858,1982,30M 58S,33M 2S,,,
18,17,reg,160,2016,2174,33M 36S,36M 14S,,,
19,17,reg,170,2194,2232,36M 34S,37M 12S,,,
20,17,reg,176,2252,2278,37M 32S,37M 58S,,,
21,17,reg,215,2550,2576,42M 30S,42M 56S,,,
22,17,reg,480,4096,4102,1H 8M 16S,1H 8M 22S,,,
23,19,reg,1,4,60,4S,1M 0S,,,
24,19,reg,17,96,124,1M 36S,2M 4S,,,
25,19,reg,23,126,170,2M 6S,2M 50S,,,
26,19,reg,36,190,234,3M 10S,3M 54S,,,
27,19,reg,50,256,260,4M 16S,4M 20S,,,
28,19,reg,55,280,284,4M 40S,4M 44S,,,
29,12,new,5,32,32,32S,32S,,,
30,12,new,20,200,202,3M 20S,3M 22S,,,
31,12,new,156,1900,1902,31M 40S,31M 42S,,,
32,12,new,192,2226,2230,37M 6S,37M 10S,,,
33,12,new,202,2290,2330,38M 10S,38M 50S,,,
34,12,new,210,2334,2372,38M 54S,39M 32S,,,
35,12,new,218,2392,2394,39M 52S,39M 54S,,,
36,12,new,224,2410,2478,40M 10S,41M 18S,,,
37,12,new,229,2484,2776,41M 24S,46M 16S,,,
38,12,new,243,2792,2794,46M 32S,46M 34S,,,
39,12,new,285,3208,3218,53M 28S,53M 38S,,,
40,12,new,290,3270,3280,54M 30S,54M 40S,,,
41,14,new,52,328,386,5M 28S,6M 26S,,,
42,14,new,65,430,432,7M 10S,7M 12S,,,
43,14,new,71,448,460,7M 28S,7M 40S,,,
44,14,new,77,470,554,7M 50S,9M 14S,,,
45,14,new,87,562,564,9M 22S,9M 24S,,,
46,15,new,28,184,202,3M 4S,3M 22S,,,
47,15,new,31,202,208,3M 22S,3M 28S,,,
48,15,new,34,210,212,3M 30S,3M 32S,,,
49,15,new,40,226,228,3M 46S,3M 48S,,,
50,15,new,43,232,234,3M 52S,3M 54S,,,
