,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity
1,1,reg,212,2140,2142,35M 40S,35M 42S,co,,
2,2,reg,169,2370,2378,39M 30S,39M 38S,cpB,stove,
3,3,reg,10,182,188,3M 2S,3M 8S,co,stove,
4,4,reg,228,1820,1828,30M 20S,30M 28S,co,stove,
5,6,reg,2,46,70,46S,1M 10S,co,stove,
6,8,reg,65,566,574,9M 26S,9M 34S,co,stove,
7,9,reg,171,1226,1230,20M 26S,20M 30S,cpB,co,
8,10,reg,140,1082,1086,18M 2S,18M 6S,co,stove,
9,11,reg,25,310,312,5M 10S,5M 12S,co,,
10,12,reg,310,3324,3336,55M 24S,55M 36S,co,stove,
11,13,reg,352,2118,2124,35M 18S,35M 24S,co,stove,
12,14,reg,145,1202,1214,20M 2S,20M 14S,co,stove,
13,15,reg,265,1262,1266,21M 2S,21M 6S,co,stove,
14,16,reg,24,146,150,2M 26S,2M 30S,cpB,co,
15,16,reg,170,1130,1138,18M 50S,18M 58S,co,,
16,17,reg,234,2628,2632,43M 48S,43M 52S,co,,
17,18,reg,426,1978,1988,32M 58S,33M 8S,co,stove,
18,18,reg,573,2554,2558,42M 34S,42M 38S,co,,
19,19,reg,262,1936,1952,32M 16S,32M 32S,cpB,,
20,20,reg,24,144,154,2M 24S,2M 34S,cpB,co,
21,1,new,137,888,894,14M 48S,14M 54S,co,stove,
22,2,new,344,4276,4284,1H 11M 16S,1H 11M 24S,cpB,stove,
23,3,new,77,1198,1200,19M 58S,20M 0S,co,,
24,4,new,366,3086,3088,51M 26S,51M 28S,co,stove,
25,6,new,110,2004,2020,33M 24S,33M 40S,co,co,
26,7,new,47,1106,1110,18M 26S,18M 30S,co,co,
27,8,new,77,808,822,13M 28S,13M 42S,co,co,
28,9,new,331,1936,1940,32M 16S,32M 20S,co,stove,
29,10,new,85,1078,1094,17M 58S,18M 14S,stove,,
30,11,new,602,5146,5162,1H 25M 46S,1H 26M 2S,co,,
31,12,new,267,2994,2996,49M 54S,49M 56S,co,stove,
32,13,new,481,1796,1806,29M 56S,30M 6S,co,stove,
33,14,new,354,2940,2948,49M 0S,49M 8S,co,stove,
34,15,new,178,1076,1082,17M 56S,18M 2S,co,stove,
35,16,new,191,3000,3006,50M 0S,50M 6S,co,stove,
36,17,new,126,2026,2040,33M 46S,34M 0S,co,co,
37,18,new,294,1688,1700,28M 8S,28M 20S,co,stove,
38,18,new,660,3764,3772,1H 2M 44S,1H 2M 52S,co,,
39,19,new,91,740,748,12M 20S,12M 28S,cpB,co,
40,20,new,28,3628,3632,1H 0M 28S,1H 0M 32S,cpB,,
41,NA,NA,NA,NA,NA,NA,NA,,,
42,2,reg,88,1452,1456,24M 12S,24M 16S,,,
43,2,reg,128,2046,2052,34M 6S,34M 12S,,,
44,2,reg,192,2546,2552,42M 26S,42M 32S,,,
45,8,reg,136,1060,1062,17M 40S,17M 42S,,,
46,9,reg,196,1388,1400,23M 8S,23M 20S,,,
47,9,reg,210,1448,1452,24M 8S,24M 12S,,,
48,9,reg,212,1454,1460,24M 14S,24M 20S,,,
49,9,reg,478,3610,3614,1H 0M 10S,1H 0M 14S,,,
50,10,reg,109,910,916,15M 10S,15M 16S,,,
51,12,reg,222,2436,2486,40M 36S,41M 26S,,,
52,12,reg,238,2676,2684,44M 36S,44M 44S,,,
53,12,reg,321,3472,3490,57M 52S,58M 10S,,,
54,13,reg,187,1242,1248,20M 42S,20M 48S,,,
55,15,reg,201,968,970,16M 8S,16M 10S,,,
56,15,reg,414,2152,2160,35M 52S,36M 0S,,,
57,16,reg,6,104,106,1M 44S,1M 46S,,,
58,16,reg,32,190,206,3M 10S,3M 26S,,,
59,16,reg,51,362,364,6M 2S,6M 4S,,,
60,16,reg,76,488,490,8M 8S,8M 10S,,,
61,16,reg,85,496,498,8M 16S,8M 18S,,,
62,16,reg,93,738,740,12M 18S,12M 20S,,,
63,16,reg,102,836,838,13M 56S,13M 58S,,,
64,16,reg,124,882,894,14M 42S,14M 54S,,,
65,16,reg,158,1092,1094,18M 12S,18M 14S,,,
66,17,reg,128,1580,1584,26M 20S,26M 24S,,,
67,17,reg,513,4476,4486,1H 14M 36S,1H 14M 46S,,,
68,18,reg,2,66,70,1M 6S,1M 10S,,,
69,18,reg,135,650,662,10M 50S,11M 2S,,,
70,18,reg,153,690,706,11M 30S,11M 46S,,,
71,18,reg,213,962,1038,16M 2S,17M 18S,,,
72,18,reg,232,1094,1108,18M 14S,18M 28S,,,
73,18,reg,357,1714,1724,28M 34S,28M 44S,,,
74,18,reg,427,1988,2018,33M 8S,33M 38S,,,
75,18,reg,431,2016,2026,33M 36S,33M 46S,,,
76,18,reg,437,2040,2068,34M 0S,34M 28S,,,
77,18,reg,442,2084,2088,34M 44S,34M 48S,,,
78,18,reg,452,2112,2114,35M 12S,35M 14S,,,
79,18,reg,474,2204,2208,36M 44S,36M 48S,,,
80,19,reg,309,2172,2180,36M 12S,36M 20S,,,
81,1,new,19,126,132,2M 6S,2M 12S,,,
82,2,new,179,2500,2510,41M 40S,41M 50S,,,
83,2,new,180,2514,2518,41M 54S,41M 58S,,,
84,2,new,272,3806,3814,1H 3M 26S,1H 3M 34S,,,
85,2,new,371,4494,4502,1H 14M 54S,1H 15M 2S,,,
86,3,new,27,734,740,12M 14S,12M 20S,,,
87,3,new,71,1166,1170,19M 26S,19M 30S,,,
88,6,new,258,3862,3872,1H 4M 22S,1H 4M 32S,,,
89,7,new,28,316,336,5M 16S,5M 36S,,,
90,7,new,62,1574,1586,26M 14S,26M 26S,,,
91,8,new,143,1428,1430,23M 48S,23M 50S,,,
92,9,new,330,1922,1936,32M 2S,32M 16S,,,
93,9,new,451,3004,3012,50M 4S,50M 12S,,,
94,9,new,452,3016,3020,50M 16S,50M 20S,,,
95,9,new,485,3928,3948,1H 5M 28S,1H 5M 48S,,,
96,10,new,785,6352,6356,1H 45M 52S,1H 45M 56S,,,
97,10,new,809,6502,6510,1H 48M 22S,1H 48M 30S,,,
98,13,new,105,472,478,7M 52S,7M 58S,,,
99,13,new,335,1210,1218,20M 10S,20M 18S,,,
100,15,new,367,2304,2308,38M 24S,38M 28S,,,
