,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity
1,14,reg,292,2666,2668,44M 26S,44M 28S,co,,
2,15,reg,413,2138,2142,35M 38S,35M 42S,co,co,
3,2,new,53,558,574,9M 18S,9M 34S,fridge,,
4,4,new,132,1462,1478,24M 22S,24M 38S,fridge,co,
5,12,new,39,362,420,6M 2S,7M 0S,co,,
6,14,new,267,1938,1964,32M 18S,32M 44S,stove,,
7,15,new,155,960,978,16M 0S,16M 18S,stove,,
8,18,new,145,918,920,15M 18S,15M 20S,co,,
9,18,new,371,1888,1890,31M 28S,31M 30S,co,trashB,
10,18,new,777,4566,4570,1H 16M 6S,1H 16M 10S,co,,
11,NA,NA,NA,NA,NA,NA,NA,,,
12,14,reg,228,2256,2274,37M 36S,37M 54S,,,
13,14,reg,261,2484,2504,41M 24S,41M 44S,,,
14,14,reg,271,2512,2520,41M 52S,42M 0S,,,
15,14,reg,304,2736,2738,45M 36S,45M 38S,,,
16,2,new,135,2174,2204,36M 14S,36M 44S,,,
17,2,new,160,2370,2384,39M 30S,39M 44S,,,
18,2,new,197,2650,2652,44M 10S,44M 12S,,,
19,2,new,280,3848,3854,1H 4M 8S,1H 4M 14S,,,
20,2,new,283,3864,3866,1H 4M 24S,1H 4M 26S,,,
21,4,new,346,2956,2960,49M 16S,49M 20S,,,
22,12,new,25,272,274,4M 32S,4M 34S,,,
23,12,new,51,526,530,8M 46S,8M 50S,,,
24,12,new,57,548,674,9M 8S,11M 14S,,,
25,12,new,67,678,694,11M 18S,11M 34S,,,
26,14,new,276,1974,1992,32M 54S,33M 12S,,,
27,15,new,46,240,242,4M 0S,4M 2S,,,
28,15,new,78,448,482,7M 28S,8M 2S,,,
29,15,new,81,482,490,8M 2S,8M 10S,,,
30,15,new,83,494,498,8M 14S,8M 18S,,,
31,15,new,158,978,982,16M 18S,16M 22S,,,
32,15,new,191,1122,1126,18M 42S,18M 46S,,,
33,18,new,6,124,126,2M 4S,2M 6S,,,
34,18,new,7,126,128,2M 6S,2M 8S,,,
35,18,new,43,300,302,5M 0S,5M 2S,,,
36,18,new,44,300,302,5M 0S,5M 2S,,,
37,18,new,65,432,438,7M 12S,7M 18S,,,
38,18,new,67,434,438,7M 14S,7M 18S,,,
39,18,new,138,854,860,14M 14S,14M 20S,,,
40,18,new,142,864,868,14M 24S,14M 28S,,,
41,18,new,143,878,880,14M 38S,14M 40S,,,
42,18,new,148,964,966,16M 4S,16M 6S,,,
43,18,new,151,980,1006,16M 20S,16M 46S,,,
44,18,new,158,1006,1010,16M 46S,16M 50S,,,
45,18,new,164,1022,1024,17M 2S,17M 4S,,,
46,18,new,165,1024,1026,17M 4S,17M 6S,,,
47,18,new,173,1044,1084,17M 24S,18M 4S,,,
48,18,new,287,1664,1666,27M 44S,27M 46S,,,
49,18,new,384,1966,1972,32M 46S,32M 52S,,,
50,18,new,389,1988,1994,33M 8S,33M 14S,,,
51,18,new,400,2082,2086,34M 42S,34M 46S,,,
52,18,new,444,2240,2246,37M 20S,37M 26S,,,
53,18,new,458,2328,2332,38M 48S,38M 52S,,,
