,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity
1,1,reg,171,1552,1578,25M 52S,26M 18S,sk,,
2,2,reg,228,2752,2770,45M 52S,46M 10S,sk,,
3,4,reg,170,1452,1484,24M 12S,24M 44S,sk,,
4,6,reg,16,186,196,3M 6S,3M 16S,sk,,
5,9,reg,394,2898,2944,48M 18S,49M 4S,co,,
6,11,reg,283,2912,2942,48M 32S,49M 2S,sk,,
7,12,reg,214,2378,2384,39M 38S,39M 44S,sk,,
8,14,reg,63,468,478,7M 48S,7M 58S,sk,,
9,17,reg,589,5096,5106,1H 24M 56S,1H 25M 6S,sk,,
10,18,reg,217,968,984,16M 8S,16M 24S,sk,,
11,19,reg,349,2424,2456,40M 24S,40M 56S,sk,,
12,20,reg,106,756,774,12M 36S,12M 54S,sk,,
13,1,new,337,2890,2980,48M 10S,49M 40S,sk,,
14,2,new,7,38,118,38S,1M 58S,sk,,
15,3,new,43,846,888,14M 6S,14M 48S,sk,,
16,4,new,273,2352,2418,39M 12S,40M 18S,sk,,
17,6,new,30,752,760,12M 32S,12M 40S,sk,,
18,8,new,89,918,926,15M 18S,15M 26S,sk,,
19,9,new,475,3844,3920,1H 4M 4S,1H 5M 20S,sk,,
20,10,new,129,1316,1356,21M 56S,22M 36S,sk,,
21,11,new,159,1806,1818,30M 6S,30M 18S,sk,,
22,12,new,13,82,174,1M 22S,2M 54S,sk,,
23,13,new,393,1486,1490,24M 46S,24M 50S,sk,,
24,14,new,231,1650,1780,27M 30S,29M 40S,sk,,
25,16,new,118,2460,2462,41M 0S,41M 2S,sk,,
26,17,new,49,958,964,15M 58S,16M 4S,sk,,
27,18,new,806,4732,4738,1H 18M 52S,1H 18M 58S,sk,,
28,19,new,36,308,350,5M 8S,5M 50S,sk,,
29,20,new,6,3560,3562,59M 20S,59M 22S,sk,,
30,NA,NA,NA,NA,NA,NA,NA,,,
31,1,reg,14,70,138,1M 10S,2M 18S,,,
32,1,reg,71,516,560,8M 36S,9M 20S,,,
33,1,reg,83,612,688,10M 12S,11M 28S,,,
34,1,reg,95,736,776,12M 16S,12M 56S,,,
35,1,reg,107,828,862,13M 48S,14M 22S,,,
36,1,reg,163,1374,1452,22M 54S,24M 12S,,,
37,1,reg,180,1654,1678,27M 34S,27M 58S,,,
38,1,reg,197,1846,1878,30M 46S,31M 18S,,,
39,4,reg,206,1658,1676,27M 38S,27M 56S,,,
40,4,reg,274,2260,2272,37M 40S,37M 52S,,,
41,4,reg,304,2660,2682,44M 20S,44M 42S,,,
42,6,reg,195,2256,2310,37M 36S,38M 30S,,,
43,6,reg,225,2628,2662,43M 48S,44M 22S,,,
44,9,reg,23,152,190,2M 32S,3M 10S,,,
45,9,reg,438,3234,3266,53M 54S,54M 26S,,,
46,9,reg,498,3858,3892,1H 4M 18S,1H 4M 52S,,,
47,12,reg,151,1698,1714,28M 18S,28M 34S,,,
48,14,reg,420,3564,3572,59M 24S,59M 32S,,,
49,14,reg,426,3580,3650,59M 40S,1H 0M 50S,,,
50,14,reg,439,3676,3720,1H 1M 16S,1H 2M 0S,,,
51,17,reg,569,4944,4956,1H 22M 24S,1H 22M 36S,,,
52,17,reg,593,5112,5114,1H 25M 12S,1H 25M 14S,,,
53,18,reg,183,744,876,12M 24S,14M 36S,,,
54,18,reg,425,1970,1980,32M 50S,33M 0S,,,
55,18,reg,498,2270,2300,37M 50S,38M 20S,,,
56,19,reg,379,2588,2648,43M 8S,44M 8S,,,
57,19,reg,442,3222,3230,53M 42S,53M 50S,,,
58,19,reg,454,3298,3398,54M 58S,56M 38S,,,
59,19,reg,480,3760,3802,1H 2M 40S,1H 3M 22S,,,
60,19,reg,484,3826,3854,1H 3M 46S,1H 4M 14S,,,
61,19,reg,488,3870,3924,1H 4M 30S,1H 5M 24S,,,
62,20,reg,41,260,262,4M 20S,4M 22S,,,
63,20,reg,409,2690,2694,44M 50S,44M 54S,,,
64,1,new,355,3186,3290,53M 6S,54M 50S,,,
65,2,new,25,256,324,4M 16S,5M 24S,,,
66,8,new,19,200,206,3M 20S,3M 26S,,,
67,9,new,19,222,298,3M 42S,4M 58S,,,
68,9,new,504,4088,4320,1H 8M 8S,1H 12M 0S,,,
69,10,new,563,4862,4904,1H 21M 2S,1H 21M 44S,,,
70,10,new,643,5480,5532,1H 31M 20S,1H 32M 12S,,,
71,10,new,794,6394,6472,1H 46M 34S,1H 47M 52S,,,
72,11,new,297,2696,2708,44M 56S,45M 8S,,,
73,13,new,398,1512,1524,25M 12S,25M 24S,,,
74,14,new,224,1640,1644,27M 20S,27M 24S,,,
75,14,new,254,1800,1828,30M 0S,30M 28S,,,
76,17,new,6,66,92,1M 6S,1M 32S,,,
77,18,new,88,514,588,8M 34S,9M 48S,,,
78,18,new,338,1812,1816,30M 12S,30M 16S,,,
79,18,new,374,1892,1944,31M 32S,32M 24S,,,
80,18,new,405,2102,2106,35M 2S,35M 6S,,,
81,18,new,502,2438,2452,40M 38S,40M 52S,,,
82,18,new,623,3220,3256,53M 40S,54M 16S,,,
83,18,new,753,4362,4458,1H 12M 42S,1H 14M 18S,,,
84,18,new,764,4486,4490,1H 14M 46S,1H 14M 50S,,,
85,19,new,106,830,842,13M 50S,14M 2S,,,
86,19,new,283,2324,2330,38M 44S,38M 50S,,,
