,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,
1,5,reg,34,782,818,13M 2S,13M 38S,stove,,,
2,11,reg,232,2438,2444,40M 38S,40M 44S,co,,,
3,13,reg,95,600,614,10M 0S,10M 14S,stove,,,
4,17,reg,680,6048,6050,1H 40M 48S,1H 40M 50S,co,,,
5,19,reg,459,3434,3444,57M 14S,57M 24S,co,,,
6,9,new,538,4630,4672,1H 17M 10S,1H 17M 52S,table,,,
7,10,new,505,4482,4496,1H 14M 42S,1H 14M 56S,stove,,,
8,11,new,373,3498,3504,58M 18S,58M 24S,co,,,
9,11,new,512,4612,4620,1H 16M 52S,1H 17M 0S,co,,,
10,NA,NA,NA,NA,NA,NA,NA,,,,repetitive patterns/almost identical/people do things in similar way
11,11,reg,276,2886,2894,48M 6S,48M 14S,,,,
12,13,reg,4,20,44,20S,44S,,,,
13,17,reg,7,122,124,2M 2S,2M 4S,,,,
14,17,reg,654,5796,5810,1H 36M 36S,1H 36M 50S,,,,
15,17,reg,659,5832,5836,1H 37M 12S,1H 37M 16S,,,,
16,17,reg,676,6000,6004,1H 40M 0S,1H 40M 4S,,,,
17,17,reg,686,6108,6126,1H 41M 48S,1H 42M 6S,,,,
18,17,reg,688,6242,6246,1H 44M 2S,1H 44M 6S,,,,
19,17,reg,691,6306,6312,1H 45M 6S,1H 45M 12S,,,,
20,17,reg,697,6490,6508,1H 48M 10S,1H 48M 28S,,,,
21,19,reg,325,2258,2272,37M 38S,37M 52S,,,,
22,19,reg,328,2276,2288,37M 56S,38M 8S,,,,
23,19,reg,356,2474,2484,41M 14S,41M 24S,,,,
24,19,reg,375,2574,2578,42M 54S,42M 58S,,,,
25,19,reg,390,2688,2692,44M 48S,44M 52S,,,,
26,19,reg,464,3580,3584,59M 40S,59M 44S,,,,
27,19,reg,469,3680,3682,1H 1M 20S,1H 1M 22S,,,,
28,19,reg,518,4212,4224,1H 10M 12S,1H 10M 24S,,,,
29,10,new,7,44,50,44S,50S,,,,
30,10,new,255,2696,2730,44M 56S,45M 30S,,,,
31,10,new,419,3876,3886,1H 4M 36S,1H 4M 46S,,,,
32,10,new,495,4436,4448,1H 13M 56S,1H 14M 8S,,,,
33,10,new,659,5604,5610,1H 33M 24S,1H 33M 30S,,,,
34,11,new,28,288,294,4M 48S,4M 54S,,,,
35,11,new,84,910,914,15M 10S,15M 14S,,,,
36,11,new,132,1562,1568,26M 2S,26M 8S,,,,
37,11,new,172,1934,1942,32M 14S,32M 22S,,,,
38,11,new,245,2392,2430,39M 52S,40M 30S,,,,
39,11,new,280,2588,2592,43M 8S,43M 12S,,,,
40,11,new,285,2630,2644,43M 50S,44M 4S,,,,
41,11,new,355,3428,3434,57M 8S,57M 14S,,,,
42,11,new,401,3724,3742,1H 2M 4S,1H 2M 22S,,,,
43,11,new,410,3778,3788,1H 2M 58S,1H 3M 8S,,,,
44,11,new,470,4308,4310,1H 11M 48S,1H 11M 50S,,,,
45,11,new,531,4710,4718,1H 18M 30S,1H 18M 38S,,,,
46,11,new,563,4882,4890,1H 21M 22S,1H 21M 30S,,,,
