,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity
1,6,reg,50,670,690,11M 10S,11M 30S,co,trashB,
2,8,reg,27,262,332,4M 22S,5M 32S,co,,
3,9,reg,112,800,888,13M 20S,14M 48S,co,,
4,11,reg,56,752,856,12M 32S,14M 16S,co,,
5,15,reg,397,2056,2058,34M 16S,34M 18S,co,trashB,
6,4,new,42,372,374,6M 12S,6M 14S,co,,
7,9,new,120,816,1024,13M 36S,17M 4S,co,,
8,11,new,78,878,910,14M 38S,15M 10S,co,,
9,17,new,88,1680,1684,28M 0S,28M 4S,co,,
10,19,new,27,284,294,4M 44S,4M 54S,co,,
11,NA,NA,NA,NA,NA,NA,NA,,,
12,6,reg,36,514,586,8M 34S,9M 46S,,,
13,6,reg,114,1422,1454,23M 42S,24M 14S,,,
14,6,reg,139,1582,1588,26M 22S,26M 28S,,,
15,8,reg,14,164,184,2M 44S,3M 4S,,,
16,9,reg,99,684,760,11M 24S,12M 40S,,,
17,9,reg,104,766,768,12M 46S,12M 48S,,,
18,9,reg,120,894,1060,14M 54S,17M 40S,,,
19,9,reg,292,2060,2062,34M 20S,34M 22S,,,
20,9,reg,328,2408,2414,40M 8S,40M 14S,,,
21,11,reg,3,74,76,1M 14S,1M 16S,,,
22,11,reg,9,100,104,1M 40S,1M 44S,,,
23,11,reg,68,882,916,14M 42S,15M 16S,,,
24,11,reg,78,952,1056,15M 52S,17M 36S,,,
25,11,reg,80,1062,1100,17M 42S,18M 20S,,,
26,11,reg,151,1684,1692,28M 4S,28M 12S,,,
27,15,reg,303,1432,1444,23M 52S,24M 4S,,,
28,15,reg,311,1466,1480,24M 26S,24M 40S,,,
29,15,reg,316,1486,1492,24M 46S,24M 52S,,,
30,15,reg,320,1496,1500,24M 56S,25M 0S,,,
31,15,reg,383,1988,1992,33M 8S,33M 12S,,,
32,15,reg,385,2000,2002,33M 20S,33M 22S,,,
33,15,reg,466,2374,2378,39M 34S,39M 38S,,,
34,15,reg,470,2386,2522,39M 46S,42M 2S,,,
35,15,reg,479,2578,2640,42M 58S,44M 0S,,,
36,4,new,5,56,92,56S,1M 32S,,,
37,4,new,36,348,366,5M 48S,6M 6S,,,
38,4,new,47,384,492,6M 24S,8M 12S,,,
39,4,new,57,496,574,8M 16S,9M 34S,,,
40,4,new,65,616,630,10M 16S,10M 30S,,,
41,4,new,115,1318,1322,21M 58S,22M 2S,,,
42,4,new,184,1844,1846,30M 44S,30M 46S,,,
43,9,new,50,482,538,8M 2S,8M 58S,,,
44,9,new,61,542,550,9M 2S,9M 10S,,,
45,9,new,69,570,592,9M 30S,9M 52S,,,
46,9,new,112,792,800,13M 12S,13M 20S,,,
47,9,new,411,2590,2594,43M 10S,43M 14S,,,
48,11,new,69,826,840,13M 46S,14M 0S,,,
49,11,new,86,918,1044,15M 18S,17M 24S,,,
50,11,new,100,1054,1110,17M 34S,18M 30S,,,
51,11,new,104,1138,1162,18M 58S,19M 22S,,,
52,11,new,114,1234,1252,20M 34S,20M 52S,,,
53,11,new,146,1630,1632,27M 10S,27M 12S,,,
54,11,new,178,2006,2020,33M 26S,33M 40S,,,
55,17,new,22,180,182,3M 0S,3M 2S,,,
56,17,new,76,1528,1544,25M 28S,25M 44S,,,
57,17,new,79,1546,1568,25M 46S,26M 8S,,,
58,17,new,82,1572,1586,26M 12S,26M 26S,,,
59,17,new,85,1598,1676,26M 38S,27M 56S,,,
60,17,new,89,1690,1808,28M 10S,30M 8S,,,
61,17,new,186,2500,2510,41M 40S,41M 50S,,,
62,19,new,6,104,108,1M 44S,1M 48S,,,
63,19,new,7,110,114,1M 50S,1M 54S,,,
64,19,new,41,362,400,6M 2S,6M 40S,,,
65,19,new,49,428,532,7M 8S,8M 52S,,,
