,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity
1,4,reg,83,812,834,13M 32S,13M 54S,cpB,stove,
2,5,reg,30,742,778,12M 22S,12M 58S,co,stove,
3,9,reg,191,1360,1386,22M 40S,23M 6S,stove,,
4,13,reg,88,566,570,9M 26S,9M 30S,co,stove,
5,13,reg,246,1612,1618,26M 52S,26M 58S,co,stove,
6,15,reg,225,1032,1056,17M 12S,17M 36S,co,,
7,17,reg,321,3192,3202,53M 12S,53M 22S,co,trashB,
8,19,reg,251,1882,1898,31M 22S,31M 38S,co,stove,
9,20,reg,32,188,244,3M 8S,4M 4S,co,co,
10,2,new,303,3954,3962,1H 5M 54S,1H 6M 2S,cpB,stove,
11,4,new,109,1266,1270,21M 6S,21M 10S,cpB,co,
12,9,new,225,1328,1330,22M 8S,22M 10S,co,stove,
13,10,new,538,4724,4730,1H 18M 44S,1H 18M 50S,co,stove,
14,13,new,168,734,736,12M 14S,12M 16S,dw,,
15,15,new,12,112,128,1M 52S,2M 8S,cpB,co,
16,17,new,376,4352,4356,1H 12M 32S,1H 12M 36S,co,stove,
17,19,new,17,198,202,3M 18S,3M 22S,co,,
18,NA,NA,NA,NA,NA,NA,NA,,,
19,9,reg,44,302,318,5M 2S,5M 18S,,,
20,9,reg,198,1410,1418,23M 30S,23M 38S,,,
21,13,reg,18,108,112,1M 48S,1M 52S,,,
22,13,reg,23,122,186,2M 2S,3M 6S,,,
23,13,reg,80,534,550,8M 54S,9M 10S,,,
24,13,reg,126,826,832,13M 46S,13M 52S,,,
25,13,reg,141,948,954,15M 48S,15M 54S,,,
26,13,reg,153,1028,1032,17M 8S,17M 12S,,,
27,13,reg,170,1146,1156,19M 6S,19M 16S,,,
28,13,reg,180,1212,1222,20M 12S,20M 22S,,,
29,13,reg,195,1304,1308,21M 44S,21M 48S,,,
30,13,reg,206,1372,1382,22M 52S,23M 2S,,,
31,13,reg,228,1524,1530,25M 24S,25M 30S,,,
32,13,reg,263,1714,1720,28M 34S,28M 40S,,,
33,13,reg,286,1836,1838,30M 36S,30M 38S,,,
34,13,reg,292,1858,1860,30M 58S,31M 0S,,,
35,17,reg,253,2754,2812,45M 54S,46M 52S,,,
36,17,reg,254,2772,2784,46M 12S,46M 24S,,,
37,17,reg,261,2858,2870,47M 38S,47M 50S,,,
38,17,reg,264,2874,2888,47M 54S,48M 8S,,,
39,17,reg,303,3076,3080,51M 16S,51M 20S,,,
40,17,reg,320,3192,3202,53M 12S,53M 22S,,,
41,17,reg,340,3324,3342,55M 24S,55M 42S,,,
42,17,reg,366,3456,3468,57M 36S,57M 48S,,,
43,19,reg,108,736,738,12M 16S,12M 18S,,,
44,20,reg,64,370,374,6M 10S,6M 14S,,,
45,2,new,246,3266,3282,54M 26S,54M 42S,,,
46,2,new,345,4290,4300,1H 11M 30S,1H 11M 40S,,,
47,4,new,124,1396,1398,23M 16S,23M 18S,,,
48,9,new,216,1288,1320,21M 28S,22M 0S,,,
49,10,new,117,1236,1260,20M 36S,21M 0S,,,
50,10,new,536,4704,4712,1H 18M 24S,1H 18M 32S,,,
51,15,new,10,100,112,1M 40S,1M 52S,,,
52,15,new,17,132,134,2M 12S,2M 14S,,,
53,19,new,18,198,202,3M 18S,3M 22S,,,
54,19,new,212,1696,1706,28M 16S,28M 26S,,,
55,19,new,215,1708,1824,28M 28S,30M 24S,,,
56,19,new,222,1798,1824,29M 58S,30M 24S,,,
