,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,activity 2,type,,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments
1,5,reg,81,1440,1470,24M 0S,24M 30S,co,,chop,slice,cheedar,,5,reg,cheedar,81,1440,1470,24M 0S,24M 30S,cheedar,
2,8,reg,142,1112,1138,18M 32S,18M 58S,co,,add,chop,goat,,8,reg,goat_1,115,908,916,15M 8S,15M 16S,goat,
3,10,reg,215,1688,1714,28M 8S,28M 34S,co,,slice,,,,8,reg,goat_2,140,1098,1110,18M 18S,18M 30S,goat,
4,14,reg,287,2616,2664,43M 36S,44M 24S,co,,add,,feta,,10,reg,goat,12,84,90,1M 24S,1M 30S,goat,
5,14,reg,360,3168,3172,52M 48S,52M 52S,co,,add,,feta,,10,reg,feta,17,130,136,2M 10S,2M 16S,feta,
6,17,reg,545,4756,4802,1H 19M 16S,1H 20M 2S,co,,chop,slice,cheedar,,10,reg,cheedar,83,750,756,12M 30S,12M 36S,cheedar,
7,19,reg,422,3122,3128,52M 2S,52M 8S,co,fridge,store,,cheedar,,11,reg,parmesan,5,76,78,1M 16S,1M 18S,cheedar,
8,1,new,1,0,6,0S,6S,co,,manipulate,reposition,parmesan,,14,reg,0,121,1094,1096,18M 14S,18M 16S,feta,
9,1,new,210,1528,1580,25M 28S,26M 20S,co,,add,slice,cheedar,,17,reg,feta,464,3978,3982,1H 6M 18S,1H 6M 22S,cheedar,
10,1,new,257,1904,1912,31M 44S,31M 52S,co,fridge,dispose,store,,,17,reg,cheeddar,465,3982,3998,1H 6M 22S,1H 6M 38S,cheedar,
11,4,new,372,3132,3134,52M 12S,52M 14S,co,trashB,dispose,,,,18,reg,mascarpone,8,86,92,1M 26S,1M 32S,parmesan,
12,8,new,40,362,376,6M 2S,6M 16S,co,trashB,add,dispose,riccotta,,18,reg,parmesan,36,190,192,3M 10S,3M 12S,cheedar,
13,NA,NA,NA,NA,NA,NA,NA,,,,,,,19,reg,0,408,3020,3102,50M 20S,51M 42S,cheedar,
14,5,reg,87,1486,1648,24M 46S,27M 28S,,,,,,,1,new,parmesan,1,0,6,0S,6S,parmesan,
15,8,reg,115,908,916,15M 8S,15M 16S,,,,,,,1,new,cheddar,2,2,6,2S,6S,cheedar,
16,8,reg,140,1098,1110,18M 18S,18M 30S,,,,,,,1,new,cheddar_grated,43,278,280,4M 38S,4M 40S,cheedar,
17,8,reg,146,1136,1168,18M 56S,19M 28S,,,,,,,1,new,parmesan_grated,235,1708,1724,28M 28S,28M 44S,parmesan,
18,8,reg,172,1332,1338,22M 12S,22M 18S,,,,,,,4,new,chedddar,333,2894,2902,48M 14S,48M 22S,cheedar,
19,10,reg,10,84,90,1M 24S,1M 30S,,,,,,,4,new,parmesan,334,2894,2902,48M 14S,48M 22S,parmesan,
20,10,reg,17,130,136,2M 10S,2M 16S,,,,,,,8,new,riccotta,40,362,376,6M 2S,6M 16S,riccotta,
21,10,reg,84,750,756,12M 30S,12M 36S,,,,,,,10,new,0,27,208,222,3M 28S,3M 42S,cheedar,
22,10,reg,94,794,814,13M 14S,13M 34S,,,,,,,16,new,parmesan,96,2332,2334,38M 52S,38M 54S,parmesan,
23,10,reg,99,860,864,14M 20S,14M 24S,,,,,,,,,,,,,,,,
24,10,reg,119,960,966,16M 0S,16M 6S,,,,,,,,,,,,,,,,
25,10,reg,214,1688,1714,28M 8S,28M 34S,,,,,,,,,,,,,,,,
26,10,reg,227,1768,1820,29M 28S,30M 20S,,,,,,,,,,,,,,,,
27,10,reg,229,1836,1846,30M 36S,30M 46S,,,,,,,,,,,,,,,,
28,14,reg,121,1094,1096,18M 14S,18M 16S,,,,,,,,,,,,,,,,
29,14,reg,123,1104,1106,18M 24S,18M 26S,,,,,,,,,,,,,,,,
30,14,reg,229,2260,2274,37M 40S,37M 54S,,,,,,,,,,,,,,,,
31,14,reg,230,2260,2274,37M 40S,37M 54S,,,,,,,,,,,,,,,,
32,14,reg,250,2386,2422,39M 46S,40M 22S,,,,,,,,,,,,,,,,
33,14,reg,260,2470,2478,41M 10S,41M 18S,,,,,,,,,,,,,,,,
34,14,reg,273,2526,2554,42M 6S,42M 34S,,,,,,,,,,,,,,,,
35,14,reg,310,2774,2804,46M 14S,46M 44S,,,,,,,,,,,,,,,,
36,14,reg,328,2958,2962,49M 18S,49M 22S,,,,,,,,,,,,,,,,
37,14,reg,332,2984,3006,49M 44S,50M 6S,,,,,,,,,,,,,,,,
38,14,reg,340,3056,3094,50M 56S,51M 34S,,,,,,,,,,,,,,,,
39,14,reg,368,3200,3214,53M 20S,53M 34S,,,,,,,,,,,,,,,,
40,14,reg,377,3252,3256,54M 12S,54M 16S,,,,,,,,,,,,,,,,
41,14,reg,387,3296,3304,54M 56S,55M 4S,,,,,,,,,,,,,,,,
42,14,reg,412,3516,3520,58M 36S,58M 40S,,,,,,,,,,,,,,,,
43,17,reg,464,3978,3982,1H 6M 18S,1H 6M 22S,,,,,,,,,,,,,,,,
44,17,reg,465,3982,3998,1H 6M 22S,1H 6M 38S,,,,,,,,,,,,,,,,
45,17,reg,552,4804,4824,1H 20M 4S,1H 20M 24S,,,,,,,,,,,,,,,,
46,17,reg,598,5162,5168,1H 26M 2S,1H 26M 8S,,,,,,,,,,,,,,,,
47,19,reg,408,3020,3102,50M 20S,51M 42S,,,,,,,,,,,,,,,,
48,1,new,2,2,6,2S,6S,,,,,,,,,,,,,,,,
49,1,new,43,278,280,4M 38S,4M 40S,,,,,,,,,,,,,,,,
50,1,new,148,962,966,16M 2S,16M 6S,,,,,,,,,,,,,,,,
51,1,new,149,964,998,16M 4S,16M 38S,,,,,,,,,,,,,,,,
52,1,new,156,1016,1140,16M 56S,19M 0S,,,,,,,,,,,,,,,,
53,1,new,166,1154,1160,19M 14S,19M 20S,,,,,,,,,,,,,,,,
54,1,new,168,1168,1186,19M 28S,19M 46S,,,,,,,,,,,,,,,,
55,1,new,170,1196,1266,19M 56S,21M 6S,,,,,,,,,,,,,,,,
56,1,new,173,1264,1326,21M 4S,22M 6S,,,,,,,,,,,,,,,,
57,1,new,176,1270,1336,21M 10S,22M 16S,,,,,,,,,,,,,,,,
58,1,new,194,1398,1426,23M 18S,23M 46S,,,,,,,,,,,,,,,,
59,1,new,202,1438,1512,23M 58S,25M 12S,,,,,,,,,,,,,,,,
60,1,new,207,1520,1522,25M 20S,25M 22S,,,,,,,,,,,,,,,,
61,1,new,225,1658,1662,27M 38S,27M 42S,,,,,,,,,,,,,,,,
62,1,new,230,1678,1684,27M 58S,28M 4S,,,,,,,,,,,,,,,,
63,1,new,235,1708,1724,28M 28S,28M 44S,,,,,,,,,,,,,,,,
64,1,new,240,1738,1820,28M 58S,30M 20S,,,,,,,,,,,,,,,,
65,1,new,251,1838,1884,30M 38S,31M 24S,,,,,,,,,,,,,,,,
66,1,new,256,1886,1896,31M 26S,31M 36S,,,,,,,,,,,,,,,,
67,4,new,333,2894,2902,48M 14S,48M 22S,,,,,,,,,,,,,,,,
68,4,new,334,2894,2902,48M 14S,48M 22S,,,,,,,,,,,,,,,,
69,4,new,349,2966,2990,49M 26S,49M 50S,,,,,,,,,,,,,,,,
70,4,new,355,2992,3006,49M 52S,50M 6S,,,,,,,,,,,,,,,,
71,4,new,374,3134,3136,52M 14S,52M 16S,,,,,,,,,,,,,,,,
