,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,activity 2,type,,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments
1,1,reg,32,220,256,3M 40S,4M 16S,co,,reposition,,thighs,,1,reg,thighs,2,10,16,10S,16S,thighs,package
2,7,reg,50,320,600,5M 20S,10M 0S,co,,open,reposition,whole,,7,reg,0,43,288,300,4M 48S,5M 0S,whole,
3,9,reg,77,516,518,8M 36S,8M 38S,co,,portion,reposition,breast,,9,reg,0,14,108,116,1M 48S,1M 56S,breast,
4,16,reg,29,180,190,3M 0S,3M 10S,co,,reposition,,thighs ,,16,reg,0,11,114,118,1M 54S,1M 58S,thighs ,
5,20,reg,111,788,792,13M 8S,13M 12S,co,,add,,breast,,20,reg,0,12,88,98,1M 28S,1M 38S,breast,
6,3,new,9,62,80,1M 2S,1M 20S,co,,season,,thighs,,3,new,thighs_1,7,36,58,36S,58S,thighs,
7,5,new,30,1144,1156,19M 4S,19M 16S,co,,season,,whole,,3,new,thighs_2,8,36,50,36S,50S,thighs,
8,6,new,26,748,768,12M 28S,12M 48S,sk,,wash,,thighs,,5,new,0,15,244,400,4M 4S,6M 40S,whole,
9,6,new,343,5118,5126,1H 25M 18S,1H 25M 26S,sk,trashB,wash,dispose,thighs,,6,new,thighs_1,5,38,52,38S,52S,thighs,
10,11,new,311,2788,2962,46M 28S,49M 22S,co,stove,manipulate,add,breast,,6,new,thighs_2,6,38,52,38S,52S,thighs,
11,11,new,482,4392,4430,1H 13M 12S,1H 13M 50S,co,stove,reposition,add,breast,,11,new,1,4,138,140,2M 18S,2M 20S,breast,
12,13,new,30,132,156,2M 12S,2M 36S,co,,smell,chop,breast,,11,new,2,152,1764,1802,29M 24S,30M 2S,breast,
13,19,new,337,2804,2808,46M 44S,46M 48S,stove,,add,,breast,,11,new,3,356,3440,3444,57M 20S,57M 24S,breast,
14,NA,NA,NA,NA,NA,NA,NA,,,,,,,13,new,0,11,66,84,1M 6S,1M 24S,breast,
15,1,reg,2,10,16,10S,16S,,,,,,,19,new,0,310,2662,2668,44M 22S,44M 28S,breast,
16,7,reg,43,288,300,4M 48S,5M 0S,,,,,,,,,,,,,,,,
17,7,reg,75,972,990,16M 12S,16M 30S,,,,,,,,,,,,,,,,
18,7,reg,89,1082,1102,18M 2S,18M 22S,,,,,,,,,,,,,,,,
19,9,reg,14,108,116,1M 48S,1M 56S,,,,,,,,,,,,,,,,
20,9,reg,15,116,120,1M 56S,2M 0S,,,,,,,,,,,,,,,,
21,9,reg,177,1292,1298,21M 32S,21M 38S,,,,,,,,,,,,,,,,
22,9,reg,188,1342,1374,22M 22S,22M 54S,,,,,,,,,,,,,,,,
23,9,reg,193,1384,1410,23M 4S,23M 30S,,,,,,,,,,,,,,,,
24,9,reg,207,1432,1442,23M 52S,24M 2S,,,,,,,,,,,,,,,,
25,9,reg,227,1512,1546,25M 12S,25M 46S,,,,,,,,,,,,,,,,
26,16,reg,11,114,118,1M 54S,1M 58S,,,,,,,,,,,,,,,,
27,16,reg,15,120,130,2M 0S,2M 10S,,,,,,,,,,,,,,,,
28,16,reg,19,138,140,2M 18S,2M 20S,,,,,,,,,,,,,,,,
29,16,reg,25,158,164,2M 38S,2M 44S,,,,,,,,,,,,,,,,
30,16,reg,33,196,246,3M 16S,4M 6S,,,,,,,,,,,,,,,,
31,20,reg,12,88,98,1M 28S,1M 38S,,,,,,,,,,,,,,,,
