,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity
1,6,reg,211,2524,2526,42M 4S,42M 6S,co,sk,
2,14,reg,416,3528,3562,58M 48S,59M 22S,co,sk,
3,15,reg,6,46,50,46S,50S,co,,
4,15,reg,453,2324,2328,38M 44S,38M 48S,sk,,
5,17,reg,647,5712,5770,1H 35M 12S,1H 36M 10S,table,,
6,19,reg,483,3804,3868,1H 3M 24S,1H 4M 28S,co,sk,
7,20,reg,42,262,264,4M 22S,4M 24S,sk,,
8,2,new,134,2172,2174,36M 12S,36M 14S,sk,,
9,6,new,285,4200,4204,1H 10M 0S,1H 10M 4S,sk,co,
10,13,new,491,1838,1880,30M 38S,31M 20S,sk,co,
11,14,new,367,2986,3008,49M 46S,50M 8S,co,sk,
12,15,new,408,2530,2544,42M 10S,42M 24S,co,trashB,
13,15,new,440,2738,2740,45M 38S,45M 40S,co,,
14,NA,NA,NA,NA,NA,NA,NA,,,
15,14,reg,449,3726,3748,1H 2M 6S,1H 2M 28S,,,
16,15,reg,7,46,50,46S,50S,,,
17,15,reg,15,102,120,1M 42S,2M 0S,,,
18,15,reg,55,258,258,4M 18S,4M 18S,,,
19,15,reg,64,284,288,4M 44S,4M 48S,,,
20,15,reg,107,542,544,9M 2S,9M 4S,,,
21,15,reg,170,882,884,14M 42S,14M 44S,,,
22,15,reg,175,890,924,14M 50S,15M 24S,,,
23,15,reg,287,1324,1326,22M 4S,22M 6S,,,
24,15,reg,412,2134,2136,35M 34S,35M 36S,,,
25,15,reg,443,2270,2272,37M 50S,37M 52S,,,
26,15,reg,458,2342,2358,39M 2S,39M 18S,,,
27,15,reg,461,2352,2356,39M 12S,39M 16S,,,
28,15,reg,488,2706,2724,45M 6S,45M 24S,,,
29,19,reg,347,2404,2406,40M 4S,40M 6S,,,
30,19,reg,388,2684,2686,44M 44S,44M 46S,,,
31,19,reg,455,3410,3516,56M 50S,58M 36S,,,
32,19,reg,487,3870,3930,1H 4M 30S,1H 5M 30S,,,
33,19,reg,494,3952,4094,1H 5M 52S,1H 8M 14S,,,
34,19,reg,515,4186,4194,1H 9M 46S,1H 9M 54S,,,
35,2,new,42,392,432,6M 32S,7M 12S,,,
36,2,new,286,3874,3880,1H 4M 34S,1H 4M 40S,,,
37,6,new,275,4048,4050,1H 7M 28S,1H 7M 30S,,,
38,13,new,36,186,188,3M 6S,3M 8S,,,
39,13,new,39,192,208,3M 12S,3M 28S,,,
40,13,new,764,2814,2822,46M 54S,47M 2S,,,
41,13,new,805,3072,3112,51M 12S,51M 52S,,,
42,14,new,251,1792,1796,29M 52S,29M 56S,,,
43,14,new,364,2976,2984,49M 36S,49M 44S,,,
44,15,new,100,606,644,10M 6S,10M 44S,,,
45,15,new,236,1370,1406,22M 50S,23M 26S,,,
46,15,new,239,1414,1428,23M 34S,23M 48S,,,
47,15,new,250,1452,1462,24M 12S,24M 22S,,,
48,15,new,258,1498,1584,24M 58S,26M 24S,,,
49,15,new,390,2420,2480,40M 20S,41M 20S,,,
50,15,new,397,2480,2482,41M 20S,41M 22S,,,
51,15,new,401,2496,2516,41M 36S,41M 56S,,,
52,15,new,407,2530,2534,42M 10S,42M 14S,,,
