,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity
1,1,reg,142,1220,1222,20M 20S,20M 22S,co,,
2,4,reg,172,1452,1454,24M 12S,24M 14S,sk,,
3,6,reg,193,2256,2260,37M 36S,37M 40S,sk,,
4,9,reg,436,3232,3234,53M 52S,53M 54S,sk,,
5,11,reg,285,2918,2922,48M 38S,48M 42S,sk,,
6,12,reg,150,1698,1700,28M 18S,28M 20S,sk,,
7,14,reg,425,3580,3582,59M 40S,59M 42S,sk,,
9,18,reg,187,756,760,12M 36S,12M 40S,sk,,
10,19,reg,350,2432,2434,40M 32S,40M 34S,sk,,
11,1,new,356,3188,3190,53M 8S,53M 10S,sk,,
12,2,new,32,316,318,5M 16S,5M 18S,sk,,
13,3,new,20,658,664,10M 58S,11M 4S,sk,,
14,4,new,275,2352,2354,39M 12S,39M 14S,sk,,
15,5,new,48,1618,1620,26M 58S,27M 0S,sk,,
16,6,new,29,752,756,12M 32S,12M 36S,sk,,
17,9,new,482,3888,3892,1H 4M 48S,1H 4M 52S,sk,,
18,10,new,793,6394,6400,1H 46M 34S,1H 46M 40S,sk,,
19,11,new,158,1806,1818,30M 6S,30M 18S,sk,,
20,12,new,95,934,938,15M 34S,15M 38S,sk,,
21,13,new,415,1558,1562,25M 58S,26M 2S,sk,,
22,15,new,97,592,596,9M 52S,9M 56S,sk,,
23,18,new,727,4218,4222,1H 10M 18S,1H 10M 22S,sk,,
24,19,new,37,310,312,5M 10S,5M 12S,sk,,
25,NA,NA,NA,NA,NA,NA,NA,,,
26,1,reg,15,74,76,1M 14S,1M 16S,,,
27,1,reg,84,622,626,10M 22S,10M 26S,,,
28,1,reg,164,1408,1420,23M 28S,23M 40S,,,
29,1,reg,199,1888,1892,31M 28S,31M 32S,,,
30,12,reg,213,2378,2382,39M 38S,39M 42S,,,
31,12,reg,227,2580,2582,43M 0S,43M 2S,,,
32,18,reg,67,392,392,6M 32S,6M 32S,,,
33,18,reg,136,650,654,10M 50S,10M 54S,,,
34,1,new,335,2886,2888,48M 6S,48M 8S,,,
35,2,new,6,38,40,38S,40S,,,
36,4,new,233,2170,2172,36M 10S,36M 12S,,,
37,12,new,14,82,86,1M 22S,1M 26S,,,
38,12,new,467,6318,6324,1H 45M 18S,1H 45M 24S,,,
39,13,new,15,82,84,1M 22S,1M 24S,,,
40,13,new,180,760,768,12M 40S,12M 48S,,,
41,13,new,392,1464,1468,24M 24S,24M 28S,,,
42,13,new,447,1666,1670,27M 46S,27M 50S,,,
43,13,new,477,1768,1770,29M 28S,29M 30S,,,
44,13,new,539,2018,2022,33M 38S,33M 42S,,,
45,13,new,635,2364,2368,39M 24S,39M 28S,,,
46,13,new,672,2502,2508,41M 42S,41M 48S,,,
47,13,new,766,2824,2826,47M 4S,47M 6S,,,
48,15,new,101,630,632,10M 30S,10M 32S,,,
49,15,new,389,2418,2422,40M 18S,40M 22S,,,
50,15,new,393,2454,2456,40M 54S,40M 56S,,,
51,18,new,89,516,520,8M 36S,8M 40S,,,
52,18,new,373,1892,1896,31M 32S,31M 36S,,,
53,18,new,497,2436,2440,40M 36S,40M 40S,,,
54,18,new,650,3658,3660,1H 0M 58S,1H 1M 0S,,,
55,18,new,754,4374,4378,1H 12M 54S,1H 12M 58S,,,
56,19,new,284,2326,2328,38M 46S,38M 48S,,,
