,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,activity 2
1,1,reg,144,1232,1260,20M 32S,21M 0S,co,,peel,
2,6,reg,136,1556,1570,25M 56S,26M 10S,co,,whisk,
3,8,reg,134,1050,1072,17M 30S,17M 52S,co,stove,whisk,
4,10,reg,103,874,902,14M 34S,15M 2S,co,,manipulate,add
5,11,reg,4,76,78,1M 16S,1M 18S,co,,reposition,
6,15,reg,69,326,328,5M 26S,5M 28S,co,,reposition,
7,18,reg,98,490,540,8M 10S,9M 0S,co,,reposition,
8,3,new,191,2374,2378,39M 34S,39M 38S,co,trashB,dispose,
9,8,new,26,278,324,4M 38S,5M 24S,co,trashB,add,manipulate
10,11,new,215,2216,2242,36M 56S,37M 22S,co,,manipulate,
11,11,new,380,3544,3550,59M 4S,59M 10S,co,,whisk,
12,12,new,385,4898,4910,1H 21M 38S,1H 21M 50S,co,,portion,
13,15,new,342,2130,2156,35M 30S,35M 56S,co,,chop,
14,18,new,492,2420,2444,40M 20S,40M 44S,stove,,manipulate,
15,NA,NA,NA,NA,NA,NA,NA,,,,
16,1,reg,35,262,264,4M 22S,4M 24S,,,,
17,1,reg,39,280,302,4M 40S,5M 2S,,,,
18,1,reg,146,1264,1306,21M 4S,21M 46S,,,,
19,6,reg,121,1488,1518,24M 48S,25M 18S,,,,
20,6,reg,129,1536,1550,25M 36S,25M 50S,,,,
21,6,reg,214,2536,2544,42M 16S,42M 24S,,,,
22,6,reg,223,2622,2624,43M 42S,43M 44S,,,,
23,8,reg,121,942,946,15M 42S,15M 46S,,,,
24,8,reg,125,952,1000,15M 52S,16M 40S,,,,
25,8,reg,138,1070,1088,17M 50S,18M 8S,,,,
26,10,reg,13,96,106,1M 36S,1M 46S,,,,
27,10,reg,210,1644,1650,27M 24S,27M 30S,,,,
28,15,reg,14,88,90,1M 28S,1M 30S,,,,
29,15,reg,29,202,204,3M 22S,3M 24S,,,,
30,15,reg,39,220,226,3M 40S,3M 46S,,,,
31,15,reg,52,248,252,4M 8S,4M 12S,,,,
32,15,reg,56,260,262,4M 20S,4M 22S,,,,
33,15,reg,61,270,280,4M 30S,4M 40S,,,,
34,18,reg,10,88,92,1M 28S,1M 32S,,,,
35,18,reg,96,482,484,8M 2S,8M 4S,,,,
36,18,reg,113,550,582,9M 10S,9M 42S,,,,
37,18,reg,124,602,646,10M 2S,10M 46S,,,,
38,18,reg,189,790,794,13M 10S,13M 14S,,,,
39,18,reg,332,1592,1592,26M 32S,26M 32S,,,,
40,3,new,172,2196,2204,36M 36S,36M 44S,,,,
41,3,new,175,2208,2234,36M 48S,37M 14S,,,,
42,3,new,189,2364,2368,39M 24S,39M 28S,,,,
43,8,new,50,486,488,8M 6S,8M 8S,,,,
44,11,new,190,2090,2098,34M 50S,34M 58S,,,,
45,11,new,199,2124,2166,35M 24S,36M 6S,,,,
46,11,new,268,2526,2528,42M 6S,42M 8S,,,,
47,11,new,291,2682,2686,44M 42S,44M 46S,,,,
48,11,new,314,2798,2962,46M 38S,49M 22S,,,,
49,11,new,321,2984,2986,49M 44S,49M 46S,,,,
50,11,new,329,3016,3062,50M 16S,51M 2S,,,,
51,11,new,342,3098,3330,51M 38S,55M 30S,,,,
52,11,new,377,3516,3526,58M 36S,58M 46S,,,,
53,12,new,23,242,262,4M 2S,4M 22S,,,,
54,12,new,266,2990,2994,49M 50S,49M 54S,,,,
55,12,new,363,4570,4610,1H 16M 10S,1H 16M 50S,,,,
56,12,new,372,4666,4698,1H 17M 46S,1H 18M 18S,,,,
57,12,new,380,4740,4854,1H 19M 0S,1H 20M 54S,,,,
58,12,new,384,4896,4976,1H 21M 36S,1H 22M 56S,,,,
59,12,new,520,7104,7112,1H 58M 24S,1H 58M 32S,,,,
60,15,new,266,1646,1786,27M 26S,29M 46S,,,,
61,15,new,281,1788,1790,29M 48S,29M 50S,,,,
62,15,new,282,1792,1800,29M 52S,30M 0S,,,,
63,15,new,323,1964,1970,32M 44S,32M 50S,,,,
64,15,new,325,1976,1996,32M 56S,33M 16S,,,,
65,15,new,328,2002,2074,33M 22S,34M 34S,,,,
66,15,new,337,2098,2120,34M 58S,35M 20S,,,,
67,15,new,409,2534,2542,42M 14S,42M 22S,,,,
68,18,new,10,130,136,2M 10S,2M 16S,,,,
69,18,new,486,2402,2418,40M 2S,40M 18S,,,,
