,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity
1,8,reg,38,410,412,6M 50S,6M 52S,sk,co,
2,10,reg,54,412,490,6M 52S,8M 10S,co,,
3,11,reg,52,664,738,11M 4S,12M 18S,co,,
4,12,reg,124,1370,1670,22M 50S,27M 50S,table,,
5,15,reg,254,1216,1218,20M 16S,20M 18S,stove,,
6,3,new,112,1630,1636,27M 10S,27M 16S,co,trashB,
7,6,new,36,792,794,13M 12S,13M 14S,stove,,
8,10,new,61,702,736,11M 42S,12M 16S,co,,
9,10,new,80,1040,1044,17M 20S,17M 24S,co,,
10,NA,NA,NA,NA,NA,NA,NA,,,
11,8,reg,31,352,370,5M 52S,6M 10S,,,
12,8,reg,34,380,384,6M 20S,6M 24S,,,
13,8,reg,44,424,456,7M 4S,7M 36S,,,
14,8,reg,51,480,482,8M 0S,8M 2S,,,
15,10,reg,11,84,90,1M 24S,1M 30S,,,
16,10,reg,49,356,408,5M 56S,6M 48S,,,
17,10,reg,136,1056,1070,17M 36S,17M 50S,,,
18,11,reg,12,120,128,2M 0S,2M 8S,,,
19,11,reg,30,328,354,5M 28S,5M 54S,,,
20,11,reg,32,360,468,6M 0S,7M 48S,,,
21,11,reg,44,496,522,8M 16S,8M 42S,,,
22,11,reg,48,532,550,8M 52S,9M 10S,,,
23,11,reg,130,1464,1466,24M 24S,24M 26S,,,
24,11,reg,161,1740,1742,29M 0S,29M 2S,,,
25,11,reg,178,1902,1914,31M 42S,31M 54S,,,
26,12,reg,160,1794,1804,29M 54S,30M 4S,,,
27,12,reg,260,2898,2906,48M 18S,48M 26S,,,
28,15,reg,23,162,176,2M 42S,2M 56S,,,
29,15,reg,27,182,196,3M 2S,3M 16S,,,
30,15,reg,71,332,340,5M 32S,5M 40S,,,
31,15,reg,112,568,616,9M 28S,10M 16S,,,
32,15,reg,286,1310,1324,21M 50S,22M 4S,,,
33,15,reg,395,2048,2072,34M 8S,34M 32S,,,
34,3,new,32,766,782,12M 46S,13M 2S,,,
35,3,new,50,990,1040,16M 30S,17M 20S,,,
36,3,new,58,1076,1078,17M 56S,17M 58S,,,
37,3,new,78,1198,1226,19M 58S,20M 26S,,,
38,3,new,83,1238,1280,20M 38S,21M 20S,,,
39,3,new,119,1692,1726,28M 12S,28M 46S,,,
40,3,new,165,2162,2170,36M 2S,36M 10S,,,
41,10,new,24,194,202,3M 14S,3M 22S,,,
42,10,new,33,296,300,4M 56S,5M 0S,,,
43,10,new,35,316,350,5M 16S,5M 50S,,,
44,10,new,38,354,396,5M 54S,6M 36S,,,
45,10,new,39,354,356,5M 54S,5M 56S,,,
46,10,new,45,502,580,8M 22S,9M 40S,,,
47,10,new,49,618,622,10M 18S,10M 22S,,,
48,10,new,51,626,646,10M 26S,10M 46S,,,
49,10,new,65,746,862,12M 26S,14M 22S,,,
50,10,new,69,884,1006,14M 44S,16M 46S,,,
