,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,activity 2
1,2,reg,38,528,546,8M 48S,9M 6S,co,,dispose,
2,4,reg,9,42,46,42S,46S,cpB,co,place,
3,7,reg,67,740,820,12M 20S,13M 40S,co,,peel,chop
4,8,reg,24,244,250,4M 4S,4M 10S,co,stove,add,
5,9,reg,16,120,124,2M 0S,2M 4S,co,,reposition,
6,10,reg,36,250,264,4M 10S,4M 24S,co,,chop,peel
7,11,reg,122,1364,1432,22M 44S,23M 52S,co,,chop,
8,12,reg,336,3578,3582,59M 38S,59M 42S,co,cpB,dispose,
9,13,reg,374,2202,2208,36M 42S,36M 48S,co,stove,add,
10,14,reg,33,252,254,4M 12S,4M 14S,co,,reposition,
11,17,reg,5,118,122,1M 58S,2M 2S,fridge,co,reposition,
12,19,reg,208,1582,1590,26M 22S,26M 30S,stove,,add,
13,2,new,82,870,954,14M 30S,15M 54S,co,,chop,
14,4,new,81,976,1136,16M 16S,18M 56S,co,,reposition,chop
15,5,new,31,1158,1210,19M 18S,20M 10S,co,,chop,
16,9,new,106,774,776,12M 54S,12M 56S,co,,chop,
17,10,new,241,2498,2576,41M 38S,42M 56S,co,,chop,
18,12,new,162,1962,2010,32M 42S,33M 30S,cpB,,chop,
19,14,new,5,34,72,34S,1M 12S,co,,chop,
20,NA,NA,NA,NA,NA,NA,NA,,,,
21,2,reg,23,264,276,4M 24S,4M 36S,,,,
22,2,reg,31,412,528,6M 52S,8M 48S,,,,
23,2,reg,41,548,652,9M 8S,10M 52S,,,,
24,2,reg,60,952,1014,15M 52S,16M 54S,,,,
25,2,reg,66,1038,1214,17M 18S,20M 14S,,,,
26,2,reg,137,2106,2116,35M 6S,35M 16S,,,,
27,4,reg,12,50,56,50S,56S,,,,
28,4,reg,23,100,138,1M 40S,2M 18S,,,,
29,4,reg,58,514,728,8M 34S,12M 8S,,,,
30,4,reg,99,998,1004,16M 38S,16M 44S,,,,
31,7,reg,78,996,1000,16M 36S,16M 40S,,,,
32,8,reg,3,26,130,26S,2M 10S,,,,
33,8,reg,10,138,144,2M 18S,2M 24S,,,,
34,9,reg,9,70,102,1M 10S,1M 42S,,,,
35,9,reg,29,220,260,3M 40S,4M 20S,,,,
36,9,reg,38,278,418,4M 38S,6M 58S,,,,
37,9,reg,124,902,904,15M 2S,15M 4S,,,,
38,9,reg,154,1088,1112,18M 8S,18M 32S,,,,
39,10,reg,31,218,232,3M 38S,3M 52S,,,,
40,10,reg,40,296,304,4M 56S,5M 4S,,,,
41,10,reg,43,308,356,5M 8S,5M 56S,,,,
42,10,reg,137,1056,1070,17M 36S,17M 50S,,,,
43,11,reg,111,1272,1354,21M 12S,22M 34S,,,,
44,11,reg,127,1454,1460,24M 14S,24M 20S,,,,
45,11,reg,146,1626,1646,27M 6S,27M 26S,,,,
46,12,reg,4,48,54,48S,54S,,,,
47,12,reg,76,852,860,14M 12S,14M 20S,,,,
48,12,reg,111,1202,1296,20M 2S,21M 36S,,,,
49,12,reg,134,1490,1492,24M 50S,24M 52S,,,,
50,12,reg,137,1500,1502,25M 0S,25M 2S,,,,
51,12,reg,261,2898,2906,48M 18S,48M 26S,,,,
52,12,reg,352,3790,3794,1H 3M 10S,1H 3M 14S,,,,
53,13,reg,6,24,44,24S,44S,,,,
54,13,reg,340,2052,2074,34M 12S,34M 34S,,,,
55,13,reg,380,2218,2228,36M 58S,37M 8S,,,,
56,13,reg,429,2526,2536,42M 6S,42M 16S,,,,
57,14,reg,12,126,176,2M 6S,2M 56S,,,,
58,14,reg,19,178,218,2M 58S,3M 38S,,,,
59,14,reg,27,228,230,3M 48S,3M 50S,,,,
60,14,reg,39,264,266,4M 24S,4M 26S,,,,
