,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity
1,2,reg,56,830,1014,13M 50S,16M 54S,co,,
2,7,reg,65,706,718,11M 46S,11M 58S,sk,,
3,8,reg,55,494,500,8M 14S,8M 20S,co,,
4,9,reg,155,1088,1100,18M 8S,18M 20S,co,fridge,
5,12,reg,57,644,648,10M 44S,10M 48S,stove,,
6,15,reg,324,1612,1618,26M 52S,26M 58S,fridge,co,
7,16,reg,156,1088,1092,18M 8S,18M 12S,co,,
8,17,reg,578,5020,5034,1H 23M 40S,1H 23M 54S,fridge,co,
9,4,new,298,2576,2598,42M 56S,43M 18S,co,,
10,6,new,221,3382,3492,56M 22S,58M 12S,co,,
11,9,new,37,368,374,6M 8S,6M 14S,co,,
12,13,new,280,1084,1102,18M 4S,18M 22S,co,,
13,NA,NA,NA,NA,NA,NA,NA,,,
14,2,reg,45,664,768,11M 4S,12M 48S,,,
15,7,reg,34,204,214,3M 24S,3M 34S,,,
16,7,reg,38,240,242,4M 0S,4M 2S,,,
17,7,reg,54,630,672,10M 30S,11M 12S,,,
18,7,reg,58,678,680,11M 18S,11M 20S,,,
19,7,reg,66,718,736,11M 58S,12M 16S,,,
20,8,reg,47,464,476,7M 44S,7M 56S,,,
21,8,reg,59,504,550,8M 24S,9M 10S,,,
22,8,reg,107,834,898,13M 54S,14M 58S,,,
23,9,reg,17,124,128,2M 4S,2M 8S,,,
24,9,reg,19,128,218,2M 8S,3M 38S,,,
25,9,reg,35,270,284,4M 30S,4M 44S,,,
26,12,reg,13,128,130,2M 8S,2M 10S,,,
27,12,reg,26,270,310,4M 30S,5M 10S,,,
28,12,reg,36,346,360,5M 46S,6M 0S,,,
29,12,reg,61,664,712,11M 4S,11M 52S,,,
30,15,reg,327,1622,1628,27M 2S,27M 8S,,,
31,15,reg,354,1852,1936,30M 52S,32M 16S,,,
32,15,reg,386,2006,2020,33M 26S,33M 40S,,,
33,16,reg,146,994,1048,16M 34S,17M 28S,,,
34,16,reg,162,1116,1122,18M 36S,18M 42S,,,
35,17,reg,604,5246,5312,1H 27M 26S,1H 28M 32S,,,
36,4,new,247,2218,2224,36M 58S,37M 4S,,,
37,4,new,256,2242,2268,37M 22S,37M 48S,,,
38,4,new,260,2294,2296,38M 14S,38M 16S,,,
39,4,new,289,2524,2540,42M 4S,42M 20S,,,
40,4,new,304,2620,2632,43M 40S,43M 52S,,,
41,4,new,312,2650,2660,44M 10S,44M 20S,,,
42,4,new,318,2742,2752,45M 42S,45M 52S,,,
43,4,new,321,2774,2782,46M 14S,46M 22S,,,
44,6,new,211,3304,3366,55M 4S,56M 6S,,,
45,6,new,227,3498,3560,58M 18S,59M 20S,,,
46,6,new,230,3518,3738,58M 38S,1H 2M 18S,,,
47,6,new,245,3752,3794,1H 2M 32S,1H 3M 14S,,,
48,9,new,13,184,214,3M 4S,3M 34S,,,
49,9,new,17,220,316,3M 40S,5M 16S,,,
50,9,new,54,494,496,8M 14S,8M 16S,,,
51,9,new,184,1138,1140,18M 58S,19M 0S,,,
52,9,new,211,1280,1282,21M 20S,21M 22S,,,
53,9,new,273,1568,1570,26M 8S,26M 10S,,,
54,9,new,352,2142,2148,35M 42S,35M 48S,,,
55,13,new,316,1168,1170,19M 28S,19M 30S,,,
