,participant,session,order,start,end,start_hms,end_hms,place,activity,activity 2,type,,participant,session,items_uniq,order,start,end,start_hms,end_hms,type
1,1,reg,108,828,862,13M 48S,14M 22S,sk,wash,,tap,,1,reg,0,7,32,38,32S,38S,tap
2,1,reg,161,1370,1420,22M 50S,23M 40S,sk,wipe,,tap,,2,reg,0,10,122,128,2M 2S,2M 8S,tap
3,2,reg,223,2718,2722,45M 18S,45M 22S,sk,rinse,wash,tap,,3,reg,0,3,12,22,12S,22S,tap
4,3,reg,3,12,22,12S,22S,sk,wash,,tap,,4,reg,0,32,154,160,2M 34S,2M 40S,tap
5,4,reg,132,1276,1286,21M 16S,21M 26S,stove,add,portion,tap,,5,reg,0,13,112,118,1M 52S,1M 58S,tap
6,4,reg,273,2260,2272,37M 40S,37M 52S,sk,wash,,tap,,6,reg,0,5,72,78,1M 12S,1M 18S,kettle
7,5,reg,20,172,176,2M 52S,2M 56S,sk,wash,,tap,,7,reg,0,37,236,240,3M 56S,4M 0S,kettle
8,6,reg,119,1460,1462,24M 20S,24M 22S,sk,wash,,tap,,8,reg,0,7,80,90,1M 20S,1M 30S,tap
9,6,reg,226,2628,2662,43M 48S,44M 22S,sk,wash,,tap,,9,reg,0,2,16,28,16S,28S,tap
10,7,reg,53,610,624,10M 10S,10M 24S,sk,wash,,tap,,10,reg,0,91,788,790,13M 8S,13M 10S,tap
11,8,reg,50,470,474,7M 50S,7M 54S,sk,wash,,tap,,11,reg,0,21,184,212,3M 4S,3M 32S,tap
12,9,reg,5,44,46,44S,46S,floor,drink,,tap,,12,reg,0,18,152,172,2M 32S,2M 52S,tap
13,9,reg,367,2764,2768,46M 4S,46M 8S,sk,wash,drink,tap,,13,reg,0,14,70,76,1M 10S,1M 16S,kettle
14,9,reg,430,3174,3178,52M 54S,52M 58S,sk,wash,,tap,,14,reg,0,30,242,248,4M 2S,4M 8S,tap
15,10,reg,231,1848,1852,30M 48S,30M 52S,sk,wash,,tap,,15,reg,0,17,114,118,1M 54S,1M 58S,tap
16,11,reg,58,756,764,12M 36S,12M 44S,sk,wash,,tap,,16,reg,0,37,254,270,4M 14S,4M 30S,tap
17,11,reg,284,2912,2942,48M 32S,49M 2S,sk,wash,,tap,,17,reg,0,34,384,392,6M 24S,6M 32S,tap
18,12,reg,153,1704,1716,28M 24S,28M 36S,sk,wash,,tap,,18,reg,0,17,116,120,1M 56S,2M 0S,tap
19,13,reg,122,814,818,13M 34S,13M 38S,co,drink,,tap,,19,reg,0,9,56,58,56S,58S,tap
20,14,reg,85,698,712,11M 38S,11M 52S,sk,wash,,tap,,20,reg,0,7,68,70,1M 8S,1M 10S,kettle
21,14,reg,460,3790,3796,1H 3M 10S,1H 3M 16S,sk,rinse,wash,tap,,1,new,0,14,90,98,1M 30S,1M 38S,tap
22,15,reg,294,1348,1352,22M 28S,22M 32S,sk,wash,,tap,,2,new,0,9,42,104,42S,1M 44S,tap
23,15,reg,460,2344,2354,39M 4S,39M 14S,sk,wash,,tap,,3,new,0,3,14,22,14S,22S,tap
24,16,reg,37,254,270,4M 14S,4M 30S,sk,wash,,tap,,4,new,0,38,354,362,5M 54S,6M 2S,tap
25,17,reg,74,1032,1042,17M 12S,17M 22S,sk,wash,,tap,,5,new,0,47,1616,1648,26M 56S,27M 28S,tap
26,17,reg,451,3890,3896,1H 4M 50S,1H 4M 56S,sk,wash,,tap,,6,new,0,28,750,766,12M 30S,12M 46S,tap
27,17,reg,644,5664,5672,1H 34M 24S,1H 34M 32S,co,drink,,tap,,7,new,0,17,172,212,2M 52S,3M 32S,tap
28,18,reg,179,738,880,12M 18S,14M 40S,sk,wash,,tap,,8,new,0,12,120,126,2M 0S,2M 6S,tap
29,18,reg,353,1696,1702,28M 16S,28M 22S,floor,drink,,tap,,9,new,0,4,126,154,2M 6S,2M 34S,tap
30,19,reg,46,242,248,4M 2S,4M 8S,sk,wash,,tap,,10,new,0,79,1010,1028,16M 50S,17M 8S,tap
31,19,reg,453,3296,3400,54M 56S,56M 40S,sk,wash,,tap,,11,new,0,44,646,650,10M 46S,10M 50S,tap
32,19,reg,486,3836,3840,1H 3M 56S,1H 4M 0S,sk,wash,,tap,,12,new,0,2,16,26,16S,26S,tap
33,20,reg,86,504,506,8M 24S,8M 26S,sk,wash,,tap,,13,new,0,14,80,88,1M 20S,1M 28S,tap
34,20,reg,215,1642,1644,27M 22S,27M 24S,sk,drink,pour,tap,,14,new,0,49,310,322,5M 10S,5M 22S,tap
35,20,reg,408,2688,2696,44M 48S,44M 56S,sk,wash,,tap,,15,new,0,16,132,134,2M 12S,2M 14S,tap
36,1,new,344,3004,3008,50M 4S,50M 8S,sk,wash,,tap,,16,new,0,34,1716,1724,28M 36S,28M 44S,tap
37,1,new,354,3180,3192,53M 0S,53M 12S,sk,wash,,tap,,17,new,0,5,62,80,1M 2S,1M 20S,tap
38,2,new,70,784,786,13M 4S,13M 6S,sk,wash,,tap,,18,new,0,51,332,338,5M 32S,5M 38S,tap
39,2,new,253,3328,3334,55M 28S,55M 34S,sk,add,boil,tap,,19,new,0,34,306,356,5M 6S,5M 56S,tap
40,3,new,30,752,756,12M 32S,12M 36S,sk,rinse,,tap,,20,new,0,4,3548,3564,59M 8S,59M 24S,tap
41,4,new,127,1408,1412,23M 28S,23M 32S,co,add,portion,tap,,,,,,,,,,
42,5,new,191,5358,5360,1H 29M 18S,1H 29M 20S,sk,add,portion,tap,,,,,,,,,,
43,6,new,97,1906,1910,31M 46S,31M 50S,sk,rinse ,,tap,,,,,,,,,,
44,6,new,126,2338,2350,38M 58S,39M 10S,sk,wash,,tap,,,,,,,,,,
45,6,new,224,3494,3496,58M 14S,58M 16S,sk,rinse,,tap,,,,,,,,,,
46,6,new,341,5116,5124,1H 25M 16S,1H 25M 24S,sk,wash,,tap,,,,,,,,,,
47,7,new,17,172,212,2M 52S,3M 32S,sk,wash,,tap,,,,,,,,,,
48,8,new,34,324,326,5M 24S,5M 26S,sk,wash,,tap,,,,,,,,,,
49,9,new,109,780,788,13M 0S,13M 8S,sk,wash,,tap,,,,,,,,,,
50,9,new,335,1988,2172,33M 8S,36M 12S,sk,boil,,tap,,,,,,,,,,
51,9,new,459,3144,3160,52M 24S,52M 40S,sk,wash,boil,tap,,,,,,,,,,
52,10,new,157,1682,1684,28M 2S,28M 4S,sk,wash,,tap,,,,,,,,,,
53,10,new,700,5834,5836,1H 37M 14S,1H 37M 16S,co,add,portion,tap,,,,,,,,,,
54,10,new,796,6396,6472,1H 46M 36S,1H 47M 52S,sk,wash,,tap,,,,,,,,,,
55,11,new,44,646,650,10M 46S,10M 50S,sk,wash,,tap,,,,,,,,,,
56,11,new,305,2758,2762,45M 58S,46M 2S,sk,wash,,tap,,,,,,,,,,
57,11,new,587,5044,5046,1H 24M 4S,1H 24M 6S,sk,wash,,tap,,,,,,,,,,
58,12,new,157,1914,1940,31M 54S,32M 20S,sk,wash,,tap,,,,,,,,,,
59,12,new,538,7264,7268,2H 1M 4S,2H 1M 8S,sk,rinse,wash,tap,,,,,,,,,,
60,13,new,99,450,454,7M 30S,7M 34S,sk,rinse,wash,tap,,,,,,,,,,
61,13,new,502,1864,1872,31M 4S,31M 12S,sk,wash,,tap,,,,,,,,,,
62,13,new,590,2252,2256,37M 32S,37M 36S,sk,wash,,tap,,,,,,,,,,
63,13,new,752,2792,2796,46M 32S,46M 36S,co,add,,tap,,,,,,,,,,
64,14,new,49,310,322,5M 10S,5M 22S,sk,wash,,tap,,,,,,,,,,
65,14,new,257,1830,1860,30M 30S,31M 0S,sk,wash,,tap,,,,,,,,,,
66,15,new,246,1440,1448,24M 0S,24M 8S,sk,wash,,tap,,,,,,,,,,
67,16,new,48,1866,1868,31M 6S,31M 8S,sk,wash,,tap,,,,,,,,,,
68,17,new,174,2320,2328,38M 40S,38M 48S,sk,wash,,tap,,,,,,,,,,
69,17,new,254,3422,3424,57M 2S,57M 4S,sk,wash,,tap,,,,,,,,,,
70,18,new,131,814,820,13M 34S,13M 40S,stove,boil,,tap,,,,,,,,,,
71,18,new,499,2436,2454,40M 36S,40M 54S,sk,wash,,tap,,,,,,,,,,
72,18,new,761,4482,4492,1H 14M 42S,1H 14M 52S,sk,wash,,tap,,,,,,,,,,
73,19,new,76,674,678,11M 14S,11M 18S,stove,rinse,wash,tap,,,,,,,,,,
74,19,new,383,3544,3570,59M 4S,59M 30S,sk,wash,,tap,,,,,,,,,,
75,20,new,45,3692,3704,1H 1M 32S,1H 1M 44S,sk,wash,,tap,,,,,,,,,,
76,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
77,1,reg,7,32,38,32S,38S,,,,,,,,,,,,,,
78,1,reg,13,68,138,1M 8S,2M 18S,,,,,,,,,,,,,,
79,1,reg,31,208,210,3M 28S,3M 30S,,,,,,,,,,,,,,
80,1,reg,37,266,270,4M 26S,4M 30S,,,,,,,,,,,,,,
81,1,reg,69,498,560,8M 18S,9M 20S,,,,,,,,,,,,,,
82,1,reg,82,610,688,10M 10S,11M 28S,,,,,,,,,,,,,,
83,1,reg,96,736,776,12M 16S,12M 56S,,,,,,,,,,,,,,
84,1,reg,112,888,922,14M 48S,15M 22S,,,,,,,,,,,,,,
85,1,reg,129,1106,1146,18M 26S,19M 6S,,,,,,,,,,,,,,
86,1,reg,141,1194,1228,19M 54S,20M 28S,,,,,,,,,,,,,,
87,1,reg,155,1330,1348,22M 10S,22M 28S,,,,,,,,,,,,,,
88,1,reg,167,1480,1494,24M 40S,24M 54S,,,,,,,,,,,,,,
89,1,reg,170,1544,1600,25M 44S,26M 40S,,,,,,,,,,,,,,
90,1,reg,179,1652,1678,27M 32S,27M 58S,,,,,,,,,,,,,,
91,1,reg,195,1840,1880,30M 40S,31M 20S,,,,,,,,,,,,,,
92,1,reg,201,1940,1962,32M 20S,32M 42S,,,,,,,,,,,,,,
93,2,reg,10,122,128,2M 2S,2M 8S,,,,,,,,,,,,,,
94,2,reg,13,164,180,2M 44S,3M 0S,,,,,,,,,,,,,,
95,2,reg,16,186,188,3M 6S,3M 8S,,,,,,,,,,,,,,
96,2,reg,47,670,676,11M 10S,11M 16S,,,,,,,,,,,,,,
97,2,reg,65,1018,1022,16M 58S,17M 2S,,,,,,,,,,,,,,
98,2,reg,124,2018,2022,33M 38S,33M 42S,,,,,,,,,,,,,,
99,2,reg,229,2752,2770,45M 52S,46M 10S,,,,,,,,,,,,,,
100,2,reg,231,2766,2770,46M 6S,46M 10S,,,,,,,,,,,,,,
101,3,reg,47,860,864,14M 20S,14M 24S,,,,,,,,,,,,,,
102,4,reg,32,154,160,2M 34S,2M 40S,,,,,,,,,,,,,,
103,4,reg,45,270,282,4M 30S,4M 42S,,,,,,,,,,,,,,
104,4,reg,65,728,730,12M 8S,12M 10S,,,,,,,,,,,,,,
105,4,reg,71,766,770,12M 46S,12M 50S,,,,,,,,,,,,,,
106,4,reg,133,1292,1296,21M 32S,21M 36S,,,,,,,,,,,,,,
107,4,reg,166,1440,1442,24M 0S,24M 2S,,,,,,,,,,,,,,
108,4,reg,169,1452,1484,24M 12S,24M 44S,,,,,,,,,,,,,,
109,4,reg,181,1514,1528,25M 14S,25M 28S,,,,,,,,,,,,,,
110,4,reg,205,1658,1676,27M 38S,27M 56S,,,,,,,,,,,,,,
111,4,reg,303,2660,2682,44M 20S,44M 42S,,,,,,,,,,,,,,
112,4,reg,316,2758,2764,45M 58S,46M 4S,,,,,,,,,,,,,,
113,5,reg,13,112,118,1M 52S,1M 58S,,,,,,,,,,,,,,
114,5,reg,47,980,984,16M 20S,16M 24S,,,,,,,,,,,,,,
115,5,reg,71,1256,1260,20M 56S,21M 0S,,,,,,,,,,,,,,
116,6,reg,5,72,78,1M 12S,1M 18S,,,,,,,,,,,,,,
117,6,reg,10,88,90,1M 28S,1M 30S,,,,,,,,,,,,,,
118,6,reg,15,184,196,3M 4S,3M 16S,,,,,,,,,,,,,,
119,6,reg,19,228,234,3M 48S,3M 54S,,,,,,,,,,,,,,
120,6,reg,38,516,518,8M 36S,8M 38S,,,,,,,,,,,,,,
121,6,reg,109,1388,1390,23M 8S,23M 10S,,,,,,,,,,,,,,
122,6,reg,133,1550,1554,25M 50S,25M 54S,,,,,,,,,,,,,,
123,6,reg,143,1634,1640,27M 14S,27M 20S,,,,,,,,,,,,,,
124,6,reg,158,1870,1874,31M 10S,31M 14S,,,,,,,,,,,,,,
125,6,reg,189,2246,2248,37M 26S,37M 28S,,,,,,,,,,,,,,
126,6,reg,196,2256,2310,37M 36S,38M 30S,,,,,,,,,,,,,,
127,6,reg,210,2522,2530,42M 2S,42M 10S,,,,,,,,,,,,,,
128,6,reg,219,2576,2582,42M 56S,43M 2S,,,,,,,,,,,,,,
129,7,reg,37,236,240,3M 56S,4M 0S,,,,,,,,,,,,,,
130,7,reg,64,704,714,11M 44S,11M 54S,,,,,,,,,,,,,,
131,7,reg,84,1028,1034,17M 8S,17M 14S,,,,,,,,,,,,,,
132,7,reg,86,1036,1042,17M 16S,17M 22S,,,,,,,,,,,,,,
133,7,reg,92,1108,1118,18M 28S,18M 38S,,,,,,,,,,,,,,
134,8,reg,7,80,90,1M 20S,1M 30S,,,,,,,,,,,,,,
135,8,reg,17,174,180,2M 54S,3M 0S,,,,,,,,,,,,,,
136,8,reg,36,388,404,6M 28S,6M 44S,,,,,,,,,,,,,,
137,8,reg,71,600,606,10M 0S,10M 6S,,,,,,,,,,,,,,
138,8,reg,75,614,616,10M 14S,10M 16S,,,,,,,,,,,,,,
139,8,reg,85,712,716,11M 52S,11M 56S,,,,,,,,,,,,,,
140,8,reg,109,840,846,14M 0S,14M 6S,,,,,,,,,,,,,,
141,8,reg,128,1018,1020,16M 58S,17M 0S,,,,,,,,,,,,,,
142,9,reg,2,16,28,16S,28S,,,,,,,,,,,,,,
143,9,reg,11,84,100,1M 24S,1M 40S,,,,,,,,,,,,,,
144,9,reg,24,152,190,2M 32S,3M 10S,,,,,,,,,,,,,,
145,9,reg,34,262,268,4M 22S,4M 28S,,,,,,,,,,,,,,
146,9,reg,42,294,298,4M 54S,4M 58S,,,,,,,,,,,,,,
147,9,reg,47,340,342,5M 40S,5M 42S,,,,,,,,,,,,,,
148,9,reg,50,382,396,6M 22S,6M 36S,,,,,,,,,,,,,,
149,9,reg,90,620,624,10M 20S,10M 24S,,,,,,,,,,,,,,
150,9,reg,93,628,842,10M 28S,14M 2S,,,,,,,,,,,,,,
151,9,reg,164,1142,1146,19M 2S,19M 6S,,,,,,,,,,,,,,
152,9,reg,187,1324,1332,22M 4S,22M 12S,,,,,,,,,,,,,,
153,9,reg,190,1352,1354,22M 32S,22M 34S,,,,,,,,,,,,,,
154,9,reg,195,1386,1392,23M 6S,23M 12S,,,,,,,,,,,,,,
155,9,reg,204,1422,1424,23M 42S,23M 44S,,,,,,,,,,,,,,
156,9,reg,229,1518,1534,25M 18S,25M 34S,,,,,,,,,,,,,,
157,9,reg,356,2684,2704,44M 44S,45M 4S,,,,,,,,,,,,,,
158,9,reg,365,2746,2760,45M 46S,46M 0S,,,,,,,,,,,,,,
159,9,reg,381,2850,2862,47M 30S,47M 42S,,,,,,,,,,,,,,
160,9,reg,391,2882,2890,48M 2S,48M 10S,,,,,,,,,,,,,,
161,9,reg,395,2898,2944,48M 18S,49M 4S,,,,,,,,,,,,,,
162,9,reg,426,3098,3108,51M 38S,51M 48S,,,,,,,,,,,,,,
163,9,reg,439,3234,3266,53M 54S,54M 26S,,,,,,,,,,,,,,
164,9,reg,500,3860,3892,1H 4M 20S,1H 4M 52S,,,,,,,,,,,,,,
165,10,reg,92,788,790,13M 8S,13M 10S,,,,,,,,,,,,,,
166,10,reg,166,1278,1286,21M 18S,21M 26S,,,,,,,,,,,,,,
167,10,reg,225,1754,1758,29M 14S,29M 18S,,,,,,,,,,,,,,
168,10,reg,252,2016,2020,33M 36S,33M 40S,,,,,,,,,,,,,,
169,11,reg,21,184,212,3M 4S,3M 32S,,,,,,,,,,,,,,
170,11,reg,34,376,464,6M 16S,7M 44S,,,,,,,,,,,,,,
171,11,reg,37,394,464,6M 34S,7M 44S,,,,,,,,,,,,,,
172,11,reg,41,474,476,7M 54S,7M 56S,,,,,,,,,,,,,,
173,11,reg,65,856,860,14M 16S,14M 20S,,,,,,,,,,,,,,
174,11,reg,67,874,916,14M 34S,15M 16S,,,,,,,,,,,,,,
175,11,reg,76,938,942,15M 38S,15M 42S,,,,,,,,,,,,,,
176,11,reg,82,1066,1072,17M 46S,17M 52S,,,,,,,,,,,,,,
177,11,reg,155,1696,1708,28M 16S,28M 28S,,,,,,,,,,,,,,
178,11,reg,220,2394,2398,39M 54S,39M 58S,,,,,,,,,,,,,,
179,12,reg,18,152,172,2M 32S,2M 52S,,,,,,,,,,,,,,
180,12,reg,212,2376,2390,39M 36S,39M 50S,,,,,,,,,,,,,,
181,12,reg,231,2618,2638,43M 38S,43M 58S,,,,,,,,,,,,,,
182,12,reg,331,3552,3568,59M 12S,59M 28S,,,,,,,,,,,,,,
183,12,reg,342,3618,3640,1H 0M 18S,1H 0M 40S,,,,,,,,,,,,,,
184,13,reg,14,70,76,1M 10S,1M 16S,,,,,,,,,,,,,,
185,13,reg,43,338,344,5M 38S,5M 44S,,,,,,,,,,,,,,
186,13,reg,162,1090,1098,18M 10S,18M 18S,,,,,,,,,,,,,,
187,13,reg,242,1574,1578,26M 14S,26M 18S,,,,,,,,,,,,,,
188,13,reg,433,2542,2550,42M 22S,42M 30S,,,,,,,,,,,,,,
189,14,reg,30,242,248,4M 2S,4M 8S,,,,,,,,,,,,,,
190,14,reg,62,466,478,7M 46S,7M 58S,,,,,,,,,,,,,,
191,14,reg,90,718,726,11M 58S,12M 6S,,,,,,,,,,,,,,
192,14,reg,126,1108,1114,18M 28S,18M 34S,,,,,,,,,,,,,,
193,14,reg,133,1128,1136,18M 48S,18M 56S,,,,,,,,,,,,,,
194,14,reg,158,1254,1260,20M 54S,21M 0S,,,,,,,,,,,,,,
195,14,reg,168,1300,1304,21M 40S,21M 44S,,,,,,,,,,,,,,
196,14,reg,204,1654,1662,27M 34S,27M 42S,,,,,,,,,,,,,,
197,14,reg,400,3432,3442,57M 12S,57M 22S,,,,,,,,,,,,,,
198,14,reg,419,3550,3576,59M 10S,59M 36S,,,,,,,,,,,,,,
199,14,reg,429,3582,3662,59M 42S,1H 1M 2S,,,,,,,,,,,,,,
200,14,reg,445,3688,3724,1H 1M 28S,1H 2M 4S,,,,,,,,,,,,,,
201,14,reg,452,3732,3748,1H 2M 12S,1H 2M 28S,,,,,,,,,,,,,,
202,14,reg,462,3798,3802,1H 3M 18S,1H 3M 22S,,,,,,,,,,,,,,
203,14,reg,499,4024,4028,1H 7M 4S,1H 7M 8S,,,,,,,,,,,,,,
204,15,reg,17,114,118,1M 54S,1M 58S,,,,,,,,,,,,,,
205,15,reg,26,178,196,2M 58S,3M 16S,,,,,,,,,,,,,,
206,15,reg,186,938,944,15M 38S,15M 44S,,,,,,,,,,,,,,
207,15,reg,257,1220,1230,20M 20S,20M 30S,,,,,,,,,,,,,,
208,15,reg,258,1236,1238,20M 36S,20M 38S,,,,,,,,,,,,,,
209,15,reg,334,1646,1652,27M 26S,27M 32S,,,,,,,,,,,,,,
210,15,reg,349,1814,1818,30M 14S,30M 18S,,,,,,,,,,,,,,
211,15,reg,356,1856,1872,30M 56S,31M 12S,,,,,,,,,,,,,,
212,15,reg,400,2060,2062,34M 20S,34M 22S,,,,,,,,,,,,,,
213,15,reg,447,2278,2326,37M 58S,38M 46S,,,,,,,,,,,,,,
214,15,reg,472,2390,2412,39M 50S,40M 12S,,,,,,,,,,,,,,
215,15,reg,478,2550,2556,42M 30S,42M 36S,,,,,,,,,,,,,,
216,15,reg,490,2708,2718,45M 8S,45M 18S,,,,,,,,,,,,,,
