,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments,
3161,1,4,reg,0,227,1816,1818,30M 16S,30M 18S,grinder,,
5313,2,5,reg,0,53,1060,1066,17M 40S,17M 46S,powder,,bottle
1120,3,8,reg,0,66,574,578,9M 34S,9M 38S,powder,,
21110,4,9,reg,1,211,1452,1460,24M 12S,24M 20S,powder,,
2752,5,9,reg,2,275,1886,1888,31M 26S,31M 28S,powder,,
11013,6,10,reg,0,110,916,922,15M 16S,15M 22S,refillable,grinder,
840,7,11,reg,0,190,2036,2040,33M 56S,34M 0S,grinder,,
750,8,12,reg,0,219,2436,2486,40M 36S,41M 26S,powder,,
2140,9,13,reg,grinder,188,1250,1258,20M 50S,20M 58S,grinder,,
4384,10,17,reg,0,438,3838,3846,1H 3M 58S,1H 4M 6S,refillable,grinder,
5135,11,18,reg,0,5,72,76,1M 12S,1M 16S,powder,,
12103,12,20,reg,0,117,802,824,13M 22S,13M 44S,grinder,,
13819,13,1,new,0,138,896,916,14M 56S,15M 16S,grinder,,
72112,14,3,new,0,72,1170,1174,19M 30S,19M 34S,grinder,,
36821,15,4,new,grinder,364,3068,3086,51M 8S,51M 26S,grinder,,
11091,16,6,new,0,108,1988,1998,33M 8S,33M 18S,powder,,
11861,17,8,new,grinder,141,1428,1430,23M 48S,23M 50S,refillable,grinder,
21201,18,9,new,0,134,890,898,14M 50S,14M 58S,powder,,
8681,19,10,new,0,86,1094,1110,18M 14S,18M 30S,refillable,grinder,mix of utensil and consumer good
151151,20,13,new,grinder,151,686,694,11M 26S,11M 34S,grinder,,
35581,21,14,new,0,355,2950,2958,49M 10S,49M 18S,powder,,
362121,22,15,new,0,362,2272,2280,37M 52S,38M 0S,grinder,,
187141,23,16,new,0,187,2986,2994,49M 46S,49M 54S,grinder,,
94171,24,19,new,0,94,750,762,12M 30S,12M 42S,grinder,,
