,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments
3131,1,4,reg,0,83,812,834,13M 32S,13M 54S,cube,
3014,2,5,reg,0,30,742,778,12M 22S,12M 58S,cube,
4417,3,9,reg,0,44,302,318,5M 2S,5M 18S,cube,
860,4,13,reg,0,18,108,112,1M 48S,1M 52S,cube,
2259,5,15,reg,0,225,1032,1056,17M 12S,17M 36S,cube,
25310,6,17,reg,1,253,2754,2812,45M 54S,46M 52S,powder,
2548,7,17,reg,2,254,2772,2784,46M 12S,46M 24S,powder,
3405,8,17,reg,3,340,3324,3342,55M 24S,55M 42S,powder,
10817,9,19,reg,0,108,736,738,12M 16S,12M 18S,capsule,
14101,10,20,reg,0,32,188,244,3M 8S,4M 4S,cube,
21001,11,2,new,veg,246,3266,3282,54M 26S,54M 42S,vegan(powder),vegan
36621,12,4,new,0,109,1266,1270,21M 6S,21M 10S,cube,
37191,13,9,new,0,216,1288,1320,21M 28S,22M 0S,cube,
11781,14,10,new,0,117,1236,1260,20M 36S,21M 0S,cube,
168111,15,13,new,0,168,734,736,12M 14S,12M 16S,cube,
10701,16,15,new,pork,10,100,112,1M 40S,1M 52S,cube,
12801,17,15,new,chicken,12,112,128,1M 52S,2M 8S,cube,
171011,19,19,new,1,17,198,202,3M 18S,3M 22S,capsule,
18101,20,19,new,2,18,198,202,3M 18S,3M 22S,capsule,
