,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments
817,1,5,reg,cheedar,81,1440,1470,24M 0S,24M 30S,cheedar,
3117,2,8,reg,goat_1,115,908,916,15M 8S,15M 16S,goat,
2717,3,8,reg,goat_2,140,1098,1110,18M 18S,18M 30S,goat,
1229,4,10,reg,goat,12,84,90,1M 24S,1M 30S,goat,
1727,5,10,reg,feta,17,130,136,2M 10S,2M 16S,feta,
839,6,10,reg,cheedar,83,750,756,12M 30S,12M 36S,cheedar,
1837,7,11,reg,parmesan,5,76,78,1M 16S,1M 18S,cheedar,
12117,8,14,reg,0,121,1094,1096,18M 14S,18M 16S,feta,
4643,9,17,reg,feta,464,3978,3982,1H 6M 18S,1H 6M 22S,cheedar,
4653,10,17,reg,cheeddar,465,3982,3998,1H 6M 22S,1H 6M 38S,cheedar,
8101,11,18,reg,mascarpone,8,86,92,1M 26S,1M 32S,parmesan,
3630,12,18,reg,parmesan,36,190,192,3M 10S,3M 12S,cheedar,
4087,13,19,reg,0,408,3020,3102,50M 20S,51M 42S,cheedar,
1700,14,1,new,parmesan,1,0,6,0S,6S,parmesan,
2400,15,1,new,cheddar,2,2,6,2S,6S,cheedar,
4349,16,1,new,cheddar_grated,43,278,280,4M 38S,4M 40S,cheedar,
23515,17,1,new,parmesan_grated,235,1708,1724,28M 28S,28M 44S,parmesan,
32421,18,4,new,chedddar,333,2894,2902,48M 14S,48M 22S,cheedar,
32721,19,4,new,parmesan,334,2894,2902,48M 14S,48M 22S,parmesan,
19261,20,8,new,riccotta,40,362,376,6M 2S,6M 16S,riccotta,
27251,21,10,new,0,27,208,222,3M 28S,3M 42S,cheedar,
96141,22,16,new,parmesan,96,2332,2334,38M 52S,38M 54S,parmesan,
