,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments
1561,1,2,reg,0,21,228,240,3M 48S,4M 0S,rack,
1542,2,4,reg,0,11,48,56,48S,56S,loose,
829,4,9,reg,0,8,62,66,1M 2S,1M 6S,loose,
6618,5,10,reg,0,66,620,644,10M 20S,10M 44S,loose,
1458,6,12,reg,0,164,1840,1856,30M 40S,30M 56S,rack,
3965,8,17,reg,0,396,3588,3612,59M 48S,1H 0M 12S,loose,
5828,9,19,reg,0,58,288,318,4M 48S,5M 18S,loose,
26313,10,20,reg,0,48,284,300,4M 44S,5M 0S,rack,
21916,11,2,new,0,48,504,510,8M 24S,8M 30S,rack,
19531,12,4,new,0,164,1670,1734,27M 50S,28M 54S,loose,
36151,13,5,new,0,40,1478,1546,24M 38S,25M 46S,rack,
15351,14,6,new,0,40,816,866,13M 36S,14M 26S,loose,
23541,15,9,new,0,194,1192,1252,19M 52S,20M 52S,loose,
11401,16,10,new,0,11,74,86,1M 14S,1M 26S,rack,
21361,17,11,new,0,5,140,148,2M 20S,2M 28S,rack,
86111,18,13,new,0,86,388,510,6M 28S,8M 30S,loose,
27391,19,14,new,0,27,184,286,3M 4S,4M 46S,loose,
106131,20,15,new,0,106,680,726,11M 20S,12M 6S,loose,
3740,21,16,new,0,37,1742,1842,29M 2S,30M 42S,loose,
195141,22,17,new,0,195,2698,2724,44M 58S,45M 24S,rack,
131001,23,18,new,0,13,136,138,2M 16S,2M 18S,rack,
