,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments
147,1,1,reg,0,212,2140,2142,35M 40S,35M 42S,bottle,
253,2,2,reg,0,88,1452,1456,24M 12S,24M 16S,bottle,
1012,3,3,reg,0,10,182,188,3M 2S,3M 8S,grinder,
6612,4,4,reg,0,228,1820,1828,30M 20S,30M 28S,refillable,[containers unless otherwise]
2106,5,6,reg,refillable,2,46,70,46S,1M 10S,refillable,
1604,6,8,reg,0,65,566,574,9M 26S,9M 34S,bottle,
17110,7,9,reg,himalayan,171,1226,1230,20M 26S,20M 30S,bag,
1965,8,9,reg,0,196,1388,1400,23M 8S,23M 20S,bottle,
1088,9,10,reg,0,108,910,916,15M 10S,15M 16S,refillable,grinder
2185,10,11,reg,0,25,310,312,5M 10S,5M 12S,bottle,
3601,11,12,reg,himalayan,222,2436,2486,40M 36S,41M 26S,grinder,
3591,12,12,reg,0,238,2676,2684,44M 36S,44M 44S,bottle,
3233,13,13,reg,0,187,1242,1248,20M 42S,20M 48S,refillable,
14510,14,14,reg,0,145,1202,1214,20M 2S,20M 14S,bottle,
20116,15,15,reg,lowSodium,201,968,970,16M 8S,16M 10S,bottle,
2657,16,15,reg,0,265,1262,1266,21M 2S,21M 6S,refillable,
6128,17,16,reg,0,6,104,106,1M 44S,1M 46S,bottle,
12815,18,17,reg,0,128,1580,1584,26M 20S,26M 24S,bottle,
5134,19,17,reg,himalayan,513,4476,4486,1H 14M 36S,1H 14M 46S,grinder,
2200,20,18,reg,1,2,66,70,1M 6S,1M 10S,grinder,
13516,21,18,reg,0,135,650,662,10M 50S,11M 2S,grinder,
4266,22,18,reg,2,426,1978,1988,32M 58S,33M 8S,bottle,small
26410,23,19,reg,0,262,1936,1952,32M 16S,32M 32S,bottle,
4258,24,20,reg,0,24,144,154,2M 24S,2M 34S,bottle,
19102,25,1,new,0,19,126,132,2M 6S,2M 12S,bottle,
36217,26,2,new,0,179,2500,2510,41M 40S,41M 50S,bottle,
36614,27,2,new,himalayan,180,2514,2518,41M 54S,41M 58S,grinder,
27122,28,3,new,0,27,734,740,12M 14S,12M 20S,grinder,
8431,29,4,new,0,366,3086,3088,51M 26S,51M 28S,refillable,
26031,30,6,new,0,110,2004,2020,33M 24S,33M 40S,bottle,
28181,31,7,new,0,28,316,336,5M 16S,5M 36S,bottle,
14061,32,8,new,0,77,808,822,13M 28S,13M 42S,bottle,
141101,33,8,new,grinder,143,1428,1430,23M 48S,23M 50S,grinder,
39314,34,9,new,refill,330,1922,1936,32M 2S,32M 16S,refillable,
39711,35,9,new,0,485,3928,3948,1H 5M 28S,1H 5M 48S,bottle,
8591,36,10,new,0,85,1078,1094,17M 58S,18M 14S,refillable,grinder
50221,37,11,new,salt,602,5146,5162,1H 25M 46S,1H 26M 2S,grinder,
7920,38,12,new,himalayan,267,2994,2996,49M 54S,49M 56S,bottle,
105111,39,13,new,0,105,472,478,7M 52S,7M 58S,refillable,
3549,40,14,new,0,354,2940,2948,49M 0S,49M 8S,refillable,
178131,41,15,new,1,178,1076,1082,17M 56S,18M 2S,refillable,
42861,42,15,new,2,428,2668,2672,44M 28S,44M 32S,refillable,
164141,43,16,new,0,164,2780,2800,46M 20S,46M 40S,bottle,
126151,44,17,new,1,126,2026,2040,33M 46S,34M 0S,bottle,
49651,45,17,new,2,496,5088,5092,1H 24M 48S,1H 24M 52S,bottle,
42401,46,18,new,0,42,286,288,4M 46S,4M 48S,grinder,
91211,47,19,new,0,91,740,748,12M 20S,12M 28S,bottle,
127181,48,20,new,0,28,3628,3632,1H 0M 28S,1H 0M 32S,bottle,
