,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments
2288,1,14,reg,0,228,2256,2274,37M 36S,37M 54S,packed,
4134,2,15,reg,0,413,2138,2142,35M 38S,35M 42S,packed,
371110,3,2,new,0,53,558,574,9M 18S,9M 34S,packed,
77121,4,4,new,0,132,1462,1478,24M 22S,24M 38S,packed,
69201,5,12,new,0,25,272,274,4M 32S,4M 34S,packed,
26791,6,14,new,0,267,1938,1964,32M 18S,32M 44S,packed,
46281,7,15,new,1,46,240,242,4M 0S,4M 2S,packed,
7824,8,15,new,2,78,448,482,7M 28S,8M 2S,packed,
61341,9,18,new,1,6,124,126,2M 4S,2M 6S,packed,
7134,10,18,new,2,7,126,128,2M 6S,2M 8S,packed,
