,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments
149,1,1,reg,0,14,70,138,1M 10S,2M 18S,regular,
266,2,2,reg,0,228,2752,2770,45M 52S,46M 10S,regular,
6212,3,4,reg,0,170,1452,1484,24M 12S,24M 44S,regular,
1616,4,6,reg,0,16,186,196,3M 6S,3M 16S,regular,
2318,5,9,reg,0,23,152,190,2M 32S,3M 10S,regular,
2304,6,11,reg,0,283,2912,2942,48M 32S,49M 2S,regular,
3671,7,12,reg,0,151,1698,1714,28M 18S,28M 34S,regular,
6322,8,14,reg,0,63,468,478,7M 48S,7M 58S,regular,
569,9,17,reg,0,569,4944,4956,1H 22M 24S,1H 22M 36S,regular,
18314,10,18,reg,0,183,744,876,12M 24S,14M 36S,regular,
3497,11,19,reg,0,349,2424,2456,40M 24S,40M 56S,regular,
4377,12,20,reg,0,41,260,262,4M 20S,4M 22S,regular,
33714,13,1,new,0,337,2890,2980,48M 10S,49M 40S,regular,
37714,14,2,new,0,7,38,118,38S,1M 58S,regular,
43118,15,3,new,0,43,846,888,14M 6S,14M 48S,regular,
76121,16,4,new,0,273,2352,2418,39M 12S,40M 18S,regular,
26631,17,6,new,0,30,752,760,12M 32S,12M 40S,regular,
15061,18,8,new,0,19,200,206,3M 20S,3M 26S,regular,
40215,19,9,new,0,19,222,298,3M 42S,4M 58S,regular,
12981,20,10,new,0,129,1316,1356,21M 56S,22M 36S,regular,
51321,21,11,new,0,159,1806,1818,30M 6S,30M 18S,regular,
68201,22,12,new,0,13,82,174,1M 22S,2M 54S,regular,
39351,23,13,new,0,393,1486,1490,24M 46S,24M 50S,regular,
22491,24,14,new,0,224,1640,1644,27M 20S,27M 24S,regular,
118141,25,16,new,0,118,2460,2462,41M 0S,41M 2S,regular,
61321,26,17,new,0,6,66,92,1M 6S,1M 32S,regular,
88161,27,18,new,0,88,514,588,8M 34S,9M 48S,regular,
3680,28,19,new,0,36,308,350,5M 8S,5M 50S,regular,
130181,29,20,new,0,6,3560,3562,59M 20S,59M 22S,regular,
