,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments
281,1,2,reg,0,45,664,768,11M 4S,12M 48S,regular,
3415,2,7,reg,0,34,204,214,3M 24S,3M 34S,small,
1804,3,8,reg,0,47,464,476,7M 44S,7M 56S,regular,
1725,4,9,reg,0,17,124,128,2M 4S,2M 8S,regular,
4041,5,12,reg,0,13,128,130,2M 8S,2M 10S,regular,
3245,6,15,reg,0,324,1612,1618,26M 52S,26M 58S,regular,
14612,7,16,reg,0,146,994,1048,16M 34S,17M 28S,vine,small
578,8,17,reg,0,578,5020,5034,1H 23M 40S,1H 23M 54S,regular,
57121,9,4,new,cherry,247,2218,2224,36M 58S,37M 4S,small,
56121,10,4,new,1,321,2774,2782,46M 14S,46M 22S,small,
28731,11,6,new,0,211,3304,3366,55M 4S,56M 6S,regular,
4289,12,9,new,0,13,184,214,3M 4S,3M 34S,regular,
28081,13,13,new,0,280,1084,1102,18M 4S,18M 22S,regular,
