,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,comment
1,1,reg,208,2084,2088,34M 44S,34M 48S,co,,,
2,2,reg,61,974,978,16M 14S,16M 18S,co,,,
3,2,reg,240,2844,2848,47M 24S,47M 28S,co,co,,
4,4,reg,17,70,76,1M 10S,1M 16S,cpB,co,,
5,4,reg,186,1548,1552,25M 48S,25M 52S,co,,,
6,4,reg,272,2256,2288,37M 36S,38M 8S,sk,,,
7,5,reg,132,2452,2470,40M 52S,41M 10S,stove,,,
8,6,reg,167,1944,1958,32M 24S,32M 38S,co,,,
9,6,reg,213,2536,2546,42M 16S,42M 26S,co,stove,,
10,7,reg,26,154,182,2M 34S,3M 2S,co,,,
11,8,reg,168,1320,1328,22M 0S,22M 8S,co,,,
12,8,reg,191,1460,1474,24M 20S,24M 34S,co,sk,,
13,9,reg,138,1006,1010,16M 46S,16M 50S,co,,,
14,10,reg,114,928,940,15M 28S,15M 40S,co,,,
15,11,reg,35,380,468,6M 20S,7M 48S,co,,,
16,12,reg,11,106,110,1M 46S,1M 50S,co,,,
17,12,reg,181,2144,2160,35M 44S,36M 0S,table,,,
18,12,reg,365,3858,3868,1H 4M 18S,1H 4M 28S,table,,,
19,13,reg,60,422,424,7M 2S,7M 4S,cpB,co,,
20,13,reg,372,2188,2200,36M 28S,36M 40S,co,,,
21,14,reg,515,4162,4166,1H 9M 22S,1H 9M 26S,co,stove,,
22,15,reg,70,326,328,5M 26S,5M 28S,co,,,
23,15,reg,410,2120,2122,35M 20S,35M 22S,co,,,
24,17,reg,603,5234,5244,1H 27M 14S,1H 27M 24S,co,,,
25,17,reg,669,5888,5896,1H 38M 8S,1H 38M 16S,co,,,
26,18,reg,152,686,690,11M 26S,11M 30S,co,,,
27,18,reg,385,1822,1826,30M 22S,30M 26S,co,,,
28,18,reg,546,2412,2440,40M 12S,40M 40S,cpB,,,
29,20,reg,97,668,670,11M 8S,11M 10S,co,,,
30,20,reg,267,2014,2016,33M 34S,33M 36S,co,,,
31,20,reg,488,3302,3304,55M 2S,55M 4S,co,fridge,,
32,1,new,51,324,328,5M 24S,5M 28S,co,fridge,,
33,2,new,105,1476,1478,24M 36S,24M 38S,cpB,co,,
34,2,new,284,3868,3872,1H 4M 28S,1H 4M 32S,co,sk,,
35,3,new,23,686,698,11M 26S,11M 38S,co,,,
36,4,new,35,346,348,5M 46S,5M 48S,co,,,
37,4,new,103,1224,1228,20M 24S,20M 28S,co,co,,
38,4,new,292,2542,2558,42M 22S,42M 38S,co,,,
39,4,new,316,2730,2736,45M 30S,45M 36S,co,cpB,,
40,5,new,93,2426,2432,40M 26S,40M 32S,stove,,,
41,6,new,100,1924,1926,32M 4S,32M 6S,co,,,
