,participant,session,order,start,end,start_hms,end_hms,place,activity
1,1,new,299,2234,2240,37M 14S,37M 20S,co,
2,1,new,370,3490,3494,58M 10S,58M 14S,co,
3,9,new,136,906,918,15M 6S,15M 18S,table,
4,9,new,283,1614,1652,26M 54S,27M 32S,table,
5,12,new,292,3290,3296,54M 50S,54M 56S,table,
6,12,new,427,5808,5810,1H 36M 48S,1H 36M 50S,table,
7,12,new,435,5950,5952,1H 39M 10S,1H 39M 12S,table,
8,13,new,2,14,48,14S,48S,co,
9,13,new,141,662,666,11M 2S,11M 6S,co,
10,13,new,322,1178,1182,19M 38S,19M 42S,co,
11,13,new,504,1872,1890,31M 12S,31M 30S,co,
12,13,new,799,3058,3062,50M 58S,51M 2S,co,
13,NA,NA,NA,NA,NA,NA,NA,,
14,1,new,7,40,56,40S,56S,,
15,1,new,34,244,252,4M 4S,4M 12S,,
16,1,new,69,388,396,6M 28S,6M 36S,,
17,1,new,103,626,628,10M 26S,10M 28S,,
18,1,new,113,678,682,11M 18S,11M 22S,,
19,1,new,136,874,886,14M 34S,14M 46S,,
20,1,new,143,940,944,15M 40S,15M 44S,,
21,1,new,150,980,996,16M 20S,16M 36S,,
22,1,new,157,1030,1032,17M 10S,17M 12S,,
23,1,new,303,2268,2270,37M 48S,37M 50S,,
24,1,new,377,3560,3562,59M 20S,59M 22S,,
25,9,new,1,0,100,0S,1M 40S,,
26,9,new,2,40,90,40S,1M 30S,,
27,9,new,122,824,842,13M 44S,14M 2S,,
28,9,new,141,942,946,15M 42S,15M 46S,,
29,9,new,147,982,992,16M 22S,16M 32S,,
30,9,new,150,1006,1010,16M 46S,16M 50S,,
31,9,new,162,1038,1044,17M 18S,17M 24S,,
32,9,new,171,1080,1086,18M 0S,18M 6S,,
33,9,new,246,1408,1430,23M 28S,23M 50S,,
34,9,new,261,1474,1482,24M 34S,24M 42S,,
35,9,new,282,1604,1610,26M 44S,26M 50S,,
36,9,new,294,1668,1790,27M 48S,29M 50S,,
37,9,new,322,1848,1872,30M 48S,31M 12S,,
38,9,new,364,2210,2280,36M 50S,38M 0S,,
39,9,new,365,2218,2242,36M 58S,37M 22S,,
40,9,new,521,4428,4450,1H 13M 48S,1H 14M 10S,,
41,12,new,21,210,226,3M 30S,3M 46S,,
42,12,new,56,542,546,9M 2S,9M 6S,,
43,12,new,125,1288,1292,21M 28S,21M 32S,,
44,12,new,174,2028,2050,33M 48S,34M 10S,,
45,12,new,178,2116,2160,35M 16S,36M 0S,,
46,12,new,227,2414,2418,40M 14S,40M 18S,,
47,12,new,242,2786,2792,46M 26S,46M 32S,,
48,12,new,253,2890,2904,48M 10S,48M 24S,,
49,12,new,262,2970,2982,49M 30S,49M 42S,,
50,12,new,327,3836,3912,1H 3M 56S,1H 5M 12S,,
51,12,new,335,4048,4092,1H 7M 28S,1H 8M 12S,,
52,12,new,343,4172,4200,1H 9M 32S,1H 10M 0S,,
