,participant,session,order,start,end,start_hms,end_hms,place,activity
1,1,reg,54,340,342,5M 40S,5M 42S,co,
2,2,reg,214,2656,2664,44M 16S,44M 24S,co,
3,4,reg,28,142,152,2M 22S,2M 32S,dw,
4,4,reg,202,1650,1674,27M 30S,27M 54S,co,
5,5,reg,14,144,150,2M 24S,2M 30S,sk,
6,6,reg,52,670,804,11M 10S,13M 24S,co,
7,6,reg,198,2274,2306,37M 54S,38M 26S,sk,
8,7,reg,79,996,998,16M 36S,16M 38S,co,
9,8,reg,76,618,630,10M 18S,10M 30S,table,
10,8,reg,148,1160,1170,19M 20S,19M 30S,table,
11,9,reg,28,194,260,3M 14S,4M 20S,co,
12,9,reg,237,1564,1566,26M 4S,26M 6S,co,
13,10,reg,81,726,738,12M 6S,12M 18S,co,
14,10,reg,197,1556,1560,25M 56S,26M 0S,co,
15,11,reg,91,1180,1186,19M 40S,19M 46S,co,
16,11,reg,292,2978,2980,49M 38S,49M 40S,co,
17,12,reg,67,810,812,13M 30S,13M 32S,table,
18,12,reg,133,1488,1490,24M 48S,24M 50S,table,
19,12,reg,185,2162,2176,36M 2S,36M 16S,table,
20,12,reg,363,3842,3860,1H 4M 2S,1H 4M 20S,co,
21,13,reg,341,2054,2074,34M 14S,34M 34S,co,
22,14,reg,94,746,760,12M 26S,12M 40S,co,
23,14,reg,114,1026,1042,17M 6S,17M 22S,co,
24,14,reg,382,3280,3282,54M 40S,54M 42S,co,
25,15,reg,292,1344,1404,22M 24S,23M 24S,co,
26,15,reg,411,2130,2132,35M 30S,35M 32S,co,
27,15,reg,498,2918,2920,48M 38S,48M 40S,sk,
28,16,reg,94,740,754,12M 20S,12M 34S,table,
29,17,reg,32,296,380,4M 56S,6M 20S,co,
30,17,reg,271,2910,2920,48M 30S,48M 40S,co,
31,17,reg,590,5108,5120,1H 25M 8S,1H 25M 20S,sk,
32,17,reg,665,5866,5872,1H 37M 46S,1H 37M 52S,co,
33,18,reg,88,468,470,7M 48S,7M 50S,dw,
34,18,reg,209,954,956,15M 54S,15M 56S,co,
35,19,reg,79,454,488,7M 34S,8M 8S,co,
36,19,reg,212,1646,1652,27M 26S,27M 32S,co,
37,20,reg,82,488,490,8M 8S,8M 10S,stove,
38,20,reg,373,2500,2512,41M 40S,41M 52S,co,
39,20,reg,418,2740,2832,45M 40S,47M 12S,co,
40,1,new,244,1754,1758,29M 14S,29M 18S,co,
41,2,new,20,200,214,3M 20S,3M 34S,sk,
42,2,new,109,1484,1710,24M 44S,28M 30S,co,
43,3,new,167,2174,2178,36M 14S,36M 18S,co,
44,4,new,48,386,492,6M 26S,8M 12S,co,
45,4,new,179,1816,1842,30M 16S,30M 42S,co,
46,4,new,305,2620,2632,43M 40S,43M 52S,co,
47,5,new,58,1766,1788,29M 26S,29M 48S,stove,
48,6,new,81,1482,1488,24M 42S,24M 48S,co,
49,6,new,226,3498,3560,58M 18S,59M 20S,co,
50,6,new,282,4122,4186,1H 8M 42S,1H 9M 46S,co,
51,9,new,114,800,802,13M 20S,13M 22S,co,
52,9,new,197,1206,1222,20M 6S,20M 22S,co,
53,10,new,435,3968,4072,1H 6M 8S,1H 7M 52S,co,
54,10,new,637,5442,5448,1H 30M 42S,1H 30M 48S,stove,
55,11,new,16,208,230,3M 28S,3M 50S,co,
56,11,new,153,1768,1820,29M 28S,30M 20S,co,
57,12,new,111,1122,1168,18M 42S,19M 28S,table,
58,12,new,189,2220,2226,37M 0S,37M 6S,table,
59,12,new,322,3766,3770,1H 2M 46S,1H 2M 50S,table,
60,13,new,148,678,704,11M 18S,11M 44S,co,
61,13,new,575,2220,2228,37M 0S,37M 8S,co,
62,13,new,768,2828,2846,47M 8S,47M 26S,sk,
63,14,new,22,152,180,2M 32S,3M 0S,co,
64,14,new,247,1756,1762,29M 16S,29M 22S,sk,
65,15,new,84,498,504,8M 18S,8M 24S,co,
66,15,new,404,2516,2520,41M 56S,42M 0S,co,
67,16,new,39,1742,1748,29M 2S,29M 8S,co,
68,16,new,307,4226,4250,1H 10M 26S,1H 10M 50S,co,
69,17,new,90,1692,1708,28M 12S,28M 28S,co,
70,17,new,192,2598,2664,43M 18S,44M 24S,co,
71,18,new,109,682,966,11M 22S,16M 6S,co,
72,18,new,759,4480,4490,1H 14M 40S,1H 14M 50S,sk,
73,19,new,32,298,304,4M 58S,5M 4S,dw,
74,20,new,161,4462,4468,1H 14M 22S,1H 14M 28S,co,
75,NA,NA,NA,NA,NA,NA,NA,,
76,1,reg,33,226,228,3M 46S,3M 48S,,
77,1,reg,168,1540,1560,25M 40S,26M 0S,,
78,2,reg,24,280,284,4M 40S,4M 44S,,
79,2,reg,25,282,284,4M 42S,4M 44S,,
80,2,reg,29,296,520,4M 56S,8M 40S,,
81,2,reg,37,526,652,8M 46S,10M 52S,,
82,2,reg,49,680,768,11M 20S,12M 48S,,
83,2,reg,67,1040,1214,17M 20S,20M 14S,,
84,2,reg,136,2100,2104,35M 0S,35M 4S,,
85,2,reg,213,2656,2664,44M 16S,44M 24S,,
86,4,reg,22,98,138,1M 38S,2M 18S,,
87,4,reg,37,172,250,2M 52S,4M 10S,,
88,4,reg,52,298,510,4M 58S,8M 30S,,
89,4,reg,59,514,516,8M 34S,8M 36S,,
90,4,reg,61,516,728,8M 36S,12M 8S,,
91,4,reg,108,1062,1068,17M 42S,17M 48S,,
92,4,reg,112,1074,1092,17M 54S,18M 12S,,
93,4,reg,128,1228,1234,20M 28S,20M 34S,,
94,4,reg,201,1650,1676,27M 30S,27M 56S,,
95,6,reg,17,222,238,3M 42S,3M 58S,,
96,6,reg,23,298,328,4M 58S,5M 28S,,
97,6,reg,30,364,500,6M 4S,8M 20S,,
98,6,reg,39,520,586,8M 40S,9M 46S,,
99,6,reg,70,914,1052,15M 14S,17M 32S,,
100,6,reg,85,1108,1136,18M 28S,18M 56S,,
101,6,reg,90,1148,1196,19M 8S,19M 56S,,
102,6,reg,103,1308,1346,21M 48S,22M 26S,,
103,6,reg,116,1422,1454,23M 42S,24M 14S,,
104,6,reg,197,2274,2306,37M 54S,38M 26S,,
105,7,reg,61,696,698,11M 36S,11M 38S,,
106,7,reg,68,744,820,12M 24S,13M 40S,,
107,7,reg,71,854,916,14M 14S,15M 16S,,
108,7,reg,98,1186,1206,19M 46S,20M 6S,,
109,8,reg,2,26,34,26S,34S,,
110,8,reg,4,50,130,50S,2M 10S,,
111,8,reg,28,262,322,4M 22S,5M 22S,,
112,8,reg,42,422,452,7M 2S,7M 32S,,
113,8,reg,53,492,500,8M 12S,8M 20S,,
114,8,reg,58,504,546,8M 24S,9M 6S,,
115,8,reg,102,804,822,13M 24S,13M 42S,,
116,8,reg,110,850,904,14M 10S,15M 4S,,
117,8,reg,123,950,1002,15M 50S,16M 42S,,
118,8,reg,143,1112,1136,18M 32S,18M 56S,,
119,8,reg,196,1540,1542,25M 40S,25M 42S,,
120,9,reg,6,60,102,1M 0S,1M 42S,,
121,9,reg,37,278,490,4M 38S,8M 10S,,
122,9,reg,96,678,684,11M 18S,11M 24S,,
123,9,reg,101,688,760,11M 28S,12M 40S,,
124,9,reg,106,766,768,12M 46S,12M 48S,,
125,9,reg,114,800,888,13M 20S,14M 48S,,
126,9,reg,122,896,1056,14M 56S,17M 36S,,
127,9,reg,132,966,1006,16M 6S,16M 46S,,
128,9,reg,140,1010,1056,16M 50S,17M 36S,,
129,9,reg,147,1060,1062,17M 40S,17M 42S,,
130,9,reg,153,1088,1100,18M 8S,18M 20S,,
131,9,reg,178,1292,1358,21M 32S,22M 38S,,
132,10,reg,5,32,48,32S,48S,,
133,10,reg,37,254,264,4M 14S,4M 24S,,
134,10,reg,47,332,356,5M 32S,5M 56S,,
135,10,reg,53,412,490,6M 52S,8M 10S,,
136,10,reg,58,506,520,8M 26S,8M 40S,,
137,10,reg,69,624,626,10M 24S,10M 26S,,
138,10,reg,90,784,814,13M 4S,13M 34S,,
139,10,reg,139,1064,1074,17M 44S,17M 54S,,
140,10,reg,153,1194,1200,19M 54S,20M 0S,,
141,10,reg,163,1254,1268,20M 54S,21M 8S,,
