,participant,session,order,start,end,start_hms,end_hms,place,activity,,,participant,session,items_uniq,order,start,end,start_hms,end_hms,type
1,2,reg,116,1944,1984,32M 24S,33M 4S,stove,,,,2,reg,wok,75,1254,1260,20M 54S,21M 0S,wok
2,2,reg,216,2672,2674,44M 32S,44M 34S,stove,,,,2,reg,small,133,2076,2080,34M 36S,34M 40S,small
3,3,reg,32,662,668,11M 2S,11M 8S,stove,,,,2,reg,large,313,4360,4364,1H 12M 40S,1H 12M 44S,medium
4,3,reg,79,1156,1180,19M 16S,19M 40S,stove,,,,3,reg,0,9,62,74,1M 2S,1M 14S,medium
5,4,reg,141,1336,1352,22M 16S,22M 32S,stove,,,,4,reg,0,76,790,792,13M 10S,13M 12S,large
6,5,reg,16,160,168,2M 40S,2M 48S,stove,,,,5,reg,0,16,160,168,2M 40S,2M 48S,medium
7,6,reg,99,1292,1306,21M 32S,21M 46S,stove,,,,6,reg,0,60,852,856,14M 12S,14M 16S,medium
8,6,reg,147,1728,1752,28M 48S,29M 12S,stove,,,,8,reg,0,12,154,160,2M 34S,2M 40S,medium
9,6,reg,152,1830,1832,30M 30S,30M 32S,stove,,,,9,reg,1,55,418,424,6M 58S,7M 4S,medium
10,6,reg,222,2594,2730,43M 14S,45M 30S,sk,,,,9,reg,2,70,506,510,8M 26S,8M 30S,medium
11,8,reg,25,258,1698,4M 18S,28M 18S,stove,,,,10,reg,0,3,24,28,24S,28S,medium
12,8,reg,181,1382,1386,23M 2S,23M 6S,stove,,,,11,reg,0,88,1136,1142,18M 56S,19M 2S,medium
13,9,reg,55,418,424,6M 58S,7M 4S,stove,,,,12,reg,1,21,196,200,3M 16S,3M 20S,medium
14,9,reg,236,1554,1560,25M 54S,26M 0S,stove,,,,12,reg,2,235,2662,2674,44M 22S,44M 34S,medium
15,9,reg,305,2192,2198,36M 32S,36M 38S,stove,,,,13,reg,0,26,192,194,3M 12S,3M 14S,medium
16,9,reg,350,2594,2662,43M 14S,44M 22S,stove,,,,14,reg,1,23,220,224,3M 40S,3M 44S,medium
17,9,reg,441,3246,3250,54M 6S,54M 10S,sk,,,,14,reg,2,447,3704,3726,1H 1M 44S,1H 2M 6S,small
18,9,reg,491,3734,3758,1H 2M 14S,1H 2M 38S,stove,,,,15,reg,0,152,808,812,13M 28S,13M 32S,medium
19,10,reg,71,646,654,10M 46S,10M 54S,stove,,,,17,reg,0,37,410,424,6M 50S,7M 4S,medium
20,10,reg,98,820,856,13M 40S,14M 16S,stove,,,,17,reg,unused_1,38,410,414,6M 50S,6M 54S,medium
21,10,reg,172,1318,1336,21M 58S,22M 16S,stove,,,,17,reg,unused_2,39,410,414,6M 50S,6M 54S,medium
22,10,reg,250,1988,2022,33M 8S,33M 42S,stove,,,,18,reg,0,20,142,144,2M 22S,2M 24S,medium
23,11,reg,101,1226,1232,20M 26S,20M 32S,stove,,,,18,reg,partner,518,2318,2320,38M 38S,38M 40S,medium
24,11,reg,188,1998,2034,33M 18S,33M 54S,stove,,,,19,reg,0,78,450,454,7M 30S,7M 34S,large
25,11,reg,229,2420,2436,40M 20S,40M 36S,co,,,,20,reg,1,252,1904,1912,31M 44S,31M 52S,wok
26,11,reg,260,2706,2722,45M 6S,45M 22S,stove,,,,1,new,1,26,180,184,3M 0S,3M 4S,small
27,12,reg,146,1670,1686,27M 50S,28M 6S,stove,,,,2,new,bowl,15,134,172,2M 14S,2M 52S,wok
28,12,reg,218,2428,2434,40M 28S,40M 34S,stove,,,,2,new,small,206,2746,2750,45M 46S,45M 50S,small
29,12,reg,275,3058,3114,50M 58S,51M 54S,stove,,,,3,new,1,28,744,762,12M 24S,12M 42S,medium
30,12,reg,302,3270,3318,54M 30S,55M 18S,stove,,,,3,new,2,148,1992,2028,33M 12S,33M 48S,medium
31,12,reg,438,4778,4780,1H 19M 38S,1H 19M 40S,stove,,,,4,new,1,136,1500,1506,25M 0S,25M 6S,large
32,13,reg,296,1864,1866,31M 4S,31M 6S,stove,,,,4,new,2,287,2480,2482,41M 20S,41M 22S,medium
33,13,reg,412,2398,2480,39M 58S,41M 20S,stove,,,,5,new,2,53,1698,1702,28M 18S,28M 22S,medium
34,14,reg,49,410,418,6M 50S,6M 58S,stove,,,,5,new,3,54,1718,1722,28M 38S,28M 42S,medium
35,14,reg,164,1284,1296,21M 24S,21M 36S,stove,,,,5,new,1,55,1728,1756,28M 48S,29M 16S,medium
36,14,reg,182,1386,1390,23M 6S,23M 10S,stove,,,,6,new,0,15,490,494,8M 10S,8M 14S,medium
