,participant,session,order,start,end,start_hms,end_hms,place,activity
1,1,reg,152,1322,1358,22M 2S,22M 38S,sk,
2,2,reg,316,4382,4384,1H 13M 2S,1H 13M 4S,cpB,
3,3,reg,89,1228,1234,20M 28S,20M 34S,sk,
4,5,reg,137,2498,2506,41M 38S,41M 46S,fl/tb,
5,6,reg,53,672,804,11M 12S,13M 24S,co,
6,7,reg,46,308,310,5M 8S,5M 10S,co,
7,8,reg,197,1540,1550,25M 40S,25M 50S,cpB,
8,9,reg,503,4088,4094,1H 8M 8S,1H 8M 14S,co,
9,10,reg,217,1698,1702,28M 18S,28M 22S,co,
10,11,reg,287,2962,2966,49M 22S,49M 26S,cpB,
11,11,reg,308,3184,3216,53M 4S,53M 36S,co,
12,14,reg,102,830,832,13M 50S,13M 52S,co,
13,14,reg,198,1628,1644,27M 8S,27M 24S,cpB,
14,14,reg,348,3120,3126,52M 0S,52M 6S,cpB,
15,14,reg,433,3614,3622,1H 0M 14S,1H 0M 22S,sk,
16,15,reg,352,1846,1850,30M 46S,30M 50S,co,
17,15,reg,435,2212,2214,36M 52S,36M 54S,co,
18,16,reg,58,400,404,6M 40S,6M 44S,fridge,
19,17,reg,671,5916,5934,1H 38M 36S,1H 38M 54S,table,
20,18,reg,557,2446,2466,40M 46S,41M 6S,cpB,
21,19,reg,169,1220,1222,20M 20S,20M 22S,stove,
22,19,reg,387,2676,2678,44M 36S,44M 38S,stove,
23,19,reg,511,4166,4180,1H 9M 26S,1H 9M 40S,fl/tb,
24,20,reg,152,1020,1026,17M 0S,17M 6S,cpB,
25,1,new,260,1918,1930,31M 58S,32M 10S,sk,
26,2,new,10,44,58,44S,58S,sk,
27,3,new,195,2390,2426,39M 50S,40M 26S,co,
28,5,new,100,2632,2646,43M 52S,44M 6S,stove,
29,6,new,33,786,798,13M 6S,13M 18S,stove,
30,7,new,57,1542,1548,25M 42S,25M 48S,fl/tb,
31,8,new,145,1440,1446,24M 0S,24M 6S,cpB,
32,9,new,527,4544,4548,1H 15M 44S,1H 15M 48S,cpB,
33,11,new,419,3814,3818,1H 3M 34S,1H 3M 38S,co,
34,11,new,594,5078,5082,1H 24M 38S,1H 24M 42S,cpB,
35,11,new,601,5136,5146,1H 25M 36S,1H 25M 46S,co,
36,12,new,107,1038,1040,17M 18S,17M 20S,table,
37,12,new,132,1382,1384,23M 2S,23M 4S,table,
38,12,new,141,1526,1528,25M 26S,25M 28S,table,
39,12,new,234,2640,2642,44M 0S,44M 2S,table,
40,12,new,445,6054,6066,1H 40M 54S,1H 41M 6S,stove,
