,participant,session,order,start,end,start_hms,end_hms,place,activity
1,1,reg,58,392,440,6M 32S,7M 20S,stove,
2,1,reg,123,1022,1068,17M 2S,17M 48S,stove,
3,1,reg,207,2074,2138,34M 34S,35M 38S,stove,
4,3,reg,23,558,560,9M 18S,9M 20S,stove,
5,4,reg,134,1292,1296,21M 32S,21M 36S,stove,
6,4,reg,217,1764,1776,29M 24S,29M 36S,stove,
7,4,reg,264,2098,2132,34M 58S,35M 32S,stove,
8,5,reg,77,1326,1336,22M 6S,22M 16S,stove,
9,6,reg,61,854,872,14M 14S,14M 32S,co,
10,9,reg,461,3398,3428,56M 38S,57M 8S,stove,
11,11,reg,224,2412,2414,40M 12S,40M 14S,co,
12,11,reg,254,2636,2638,43M 56S,43M 58S,stove,
13,12,reg,410,4286,4292,1H 11M 26S,1H 11M 32S,stove,
14,13,reg,56,404,410,6M 44S,6M 50S,stove,
15,13,reg,91,572,580,9M 32S,9M 40S,stove,
16,13,reg,168,1138,1146,18M 58S,19M 6S,stove,
17,13,reg,231,1530,1538,25M 30S,25M 38S,stove,
18,13,reg,273,1774,1780,29M 34S,29M 40S,stove,
19,13,reg,304,1880,1886,31M 20S,31M 26S,stove,
20,13,reg,408,2388,2394,39M 48S,39M 54S,stove,
21,13,reg,420,2500,2510,41M 40S,41M 50S,cpB,
22,14,reg,221,2230,2234,37M 10S,37M 14S,stove,
23,15,reg,90,426,428,7M 6S,7M 8S,stove,
24,15,reg,122,624,644,10M 24S,10M 44S,stove,
25,15,reg,184,932,936,15M 32S,15M 36S,stove,
26,15,reg,208,980,986,16M 20S,16M 26S,stove,
27,15,reg,270,1266,1270,21M 6S,21M 10S,stove,
28,15,reg,373,1952,1954,32M 32S,32M 34S,stove,
29,17,reg,132,1588,1598,26M 28S,26M 38S,stove,
30,17,reg,165,2166,2172,36M 6S,36M 12S,co,
31,17,reg,186,2334,2336,38M 54S,38M 56S,stove,
32,17,reg,239,2636,2662,43M 56S,44M 22S,stove,
33,17,reg,278,2948,2960,49M 8S,49M 20S,stove,
34,17,reg,343,3336,3340,55M 36S,55M 40S,stove,
35,17,reg,448,3874,3888,1H 4M 34S,1H 4M 48S,stove,
36,17,reg,479,4092,4106,1H 8M 12S,1H 8M 26S,sk,
37,17,reg,530,4554,4698,1H 15M 54S,1H 18M 18S,sk,stove
38,18,reg,350,1682,1690,28M 2S,28M 10S,stove,
39,18,reg,389,1826,1830,30M 26S,30M 30S,stove,
40,18,reg,485,2240,2246,37M 20S,37M 26S,stove,
41,19,reg,41,222,224,3M 42S,3M 44S,stove,
42,19,reg,47,250,268,4M 10S,4M 28S,sk,
43,19,reg,399,2866,2868,47M 46S,47M 48S,sk,
44,19,reg,451,3292,3402,54M 52S,56M 42S,stove,
45,20,reg,205,1592,1596,26M 32S,26M 36S,stove,
46,20,reg,338,2394,2396,39M 54S,39M 56S,stove,
47,20,reg,365,2474,2476,41M 14S,41M 16S,stove,
48,1,new,169,1190,1192,19M 50S,19M 52S,stove,
49,2,new,325,4148,4150,1H 9M 8S,1H 9M 10S,stove,
50,2,new,379,4530,4548,1H 15M 30S,1H 15M 48S,stove,
51,2,new,420,4854,4864,1H 20M 54S,1H 21M 4S,stove,
52,3,new,127,1764,1770,29M 24S,29M 30S,stove,
53,4,new,218,2086,2110,34M 46S,35M 10S,stove,
54,4,new,358,3004,3044,50M 4S,50M 44S,stove,
55,5,new,4,26,28,26S,28S,cpB,stove
56,6,new,35,790,794,13M 10S,13M 14S,stove,
57,7,new,19,220,224,3M 40S,3M 44S,stove,
58,9,new,48,464,468,7M 44S,7M 48S,stove,
59,9,new,170,1070,1098,17M 50S,18M 18S,stove,
60,9,new,409,2560,2584,42M 40S,43M 4S,stove,
61,9,new,447,2950,2972,49M 10S,49M 32S,stove,
62,10,new,411,3840,3844,1H 4M 0S,1H 4M 4S,stove,
63,10,new,462,4190,4200,1H 9M 50S,1H 10M 0S,stove,
64,10,new,477,4312,4316,1H 11M 52S,1H 11M 56S,stove,
65,10,new,552,4796,4802,1H 19M 56S,1H 20M 2S,stove,
66,10,new,629,5404,5416,1H 30M 4S,1H 30M 16S,stove,
67,10,new,665,5644,5656,1H 34M 4S,1H 34M 16S,stove,
68,10,new,715,5924,5930,1H 38M 44S,1H 38M 50S,stove,
69,10,new,824,6584,6594,1H 49M 44S,1H 49M 54S,stove,
70,11,new,133,1568,1570,26M 8S,26M 10S,cpB,
71,11,new,183,2046,2064,34M 6S,34M 24S,stove,
72,11,new,228,2308,2312,38M 28S,38M 32S,stove,
73,11,new,417,3808,3810,1H 3M 28S,1H 3M 30S,stove,
74,11,new,549,4782,4820,1H 19M 42S,1H 20M 20S,co,
75,12,new,569,7524,7536,2H 5M 24S,2H 5M 36S,stove,
76,13,new,306,1140,1152,19M 0S,19M 12S,stove,
77,13,new,337,1220,1246,20M 20S,20M 46S,stove,
78,13,new,453,1704,1720,28M 24S,28M 40S,stove,
79,13,new,582,2238,2242,37M 18S,37M 22S,stove,
80,13,new,614,2330,2336,38M 50S,38M 56S,stove,
81,13,new,662,2468,2502,41M 8S,41M 42S,stove,
82,13,new,742,2736,2768,45M 36S,46M 8S,table,
83,13,new,816,3192,3194,53M 12S,53M 14S,stove,
84,14,new,86,562,564,9M 22S,9M 24S,stove,
85,14,new,286,2060,2062,34M 20S,34M 22S,stove,
86,14,new,347,2866,2940,47M 46S,49M 0S,stove,
87,14,new,401,3156,3158,52M 36S,52M 38S,stove,
88,15,new,33,204,208,3M 24S,3M 28S,stove,
89,15,new,119,754,756,12M 34S,12M 36S,stove,
90,15,new,306,1910,1922,31M 50S,32M 2S,co,
91,15,new,364,2272,2298,37M 52S,38M 18S,stove,
92,17,new,495,5080,5082,1H 24M 40S,1H 24M 42S,stove,
93,17,new,507,5146,5152,1H 25M 46S,1H 25M 52S,stove,
94,18,new,172,1038,1040,17M 18S,17M 20S,stove,
95,18,new,209,1180,1182,19M 40S,19M 42S,stove,
96,18,new,364,1870,1874,31M 10S,31M 14S,stove,
97,18,new,495,2422,2438,40M 22S,40M 38S,stove,
98,18,new,780,4576,4588,1H 16M 16S,1H 16M 28S,stove,
99,19,new,198,1594,1632,26M 34S,27M 12S,stove,
100,20,new,25,3612,3622,1H 0M 12S,1H 0M 22S,stove,
101,20,new,137,4210,4214,1H 10M 10S,1H 10M 14S,stove,
102,NA,NA,NA,NA,NA,NA,NA,,
103,1,reg,5,24,42,24S,42S,,
104,1,reg,9,48,50,48S,50S,,
105,1,reg,20,142,146,2M 22S,2M 26S,,
106,1,reg,26,178,204,2M 58S,3M 24S,,
107,1,reg,44,298,300,4M 58S,5M 0S,,
108,1,reg,65,456,486,7M 36S,8M 6S,,
109,1,reg,74,564,586,9M 24S,9M 46S,,
110,1,reg,87,696,714,11M 36S,11M 54S,,
111,1,reg,102,800,804,13M 20S,13M 24S,,
112,1,reg,115,940,972,15M 40S,16M 12S,,
113,1,reg,120,1008,1022,16M 48S,17M 2S,,
114,1,reg,127,1074,1084,17M 54S,18M 4S,,
115,1,reg,133,1150,1170,19M 10S,19M 30S,,
116,1,reg,139,1180,1234,19M 40S,20M 34S,,
117,1,reg,150,1310,1318,21M 50S,21M 58S,,
118,1,reg,172,1596,1608,26M 36S,26M 48S,,
119,1,reg,174,1598,1608,26M 38S,26M 48S,,
120,1,reg,189,1790,1806,29M 50S,30M 6S,,
121,1,reg,198,1882,1958,31M 22S,32M 38S,,
122,1,reg,213,2142,2144,35M 42S,35M 44S,,
123,3,reg,1,8,26,8S,26S,,
124,3,reg,16,302,306,5M 2S,5M 6S,,
125,3,reg,20,448,450,7M 28S,7M 30S,,
126,3,reg,66,1048,1050,17M 28S,17M 30S,,
127,3,reg,71,1082,1090,18M 2S,18M 10S,,
128,3,reg,83,1184,1198,19M 44S,19M 58S,,
129,4,reg,74,782,786,13M 2S,13M 6S,,
130,4,reg,78,796,800,13M 16S,13M 20S,,
131,4,reg,138,1302,1336,21M 42S,22M 16S,,
132,4,reg,140,1336,1338,22M 16S,22M 18S,,
133,4,reg,145,1356,1372,22M 36S,22M 52S,,
134,4,reg,149,1366,1370,22M 46S,22M 50S,,
135,4,reg,152,1374,1376,22M 54S,22M 56S,,
136,4,reg,153,1378,1392,22M 58S,23M 12S,,
137,4,reg,177,1500,1508,25M 0S,25M 8S,,
138,4,reg,180,1510,1530,25M 10S,25M 30S,,
139,4,reg,183,1532,1546,25M 32S,25M 46S,,
140,4,reg,192,1596,1604,26M 36S,26M 44S,,
141,4,reg,198,1636,1642,27M 16S,27M 22S,,
142,4,reg,214,1712,1730,28M 32S,28M 50S,,
143,4,reg,222,1798,1808,29M 58S,30M 8S,,
144,4,reg,231,1846,1858,30M 46S,30M 58S,,
145,4,reg,240,1952,1964,32M 32S,32M 44S,,
146,4,reg,247,2024,2026,33M 44S,33M 46S,,
147,4,reg,251,2032,2040,33M 52S,34M 0S,,
148,4,reg,258,2054,2072,34M 14S,34M 32S,,
149,4,reg,270,2204,2254,36M 44S,37M 34S,,
150,4,reg,280,2296,2310,38M 16S,38M 30S,,
151,4,reg,282,2322,2324,38M 42S,38M 44S,,
152,4,reg,287,2374,2396,39M 34S,39M 56S,,
153,4,reg,290,2456,2466,40M 56S,41M 6S,,
154,4,reg,300,2558,2656,42M 38S,44M 16S,,
155,5,reg,64,1212,1214,20M 12S,20M 14S,,
156,5,reg,131,2424,2444,40M 24S,40M 44S,,
157,9,reg,453,3358,3370,55M 58S,56M 10S,,
158,9,reg,467,3484,3528,58M 4S,58M 48S,,
159,9,reg,483,3666,3704,1H 1M 6S,1H 1M 44S,,
160,9,reg,488,3712,3728,1H 1M 52S,1H 2M 8S,,
161,11,reg,14,134,140,2M 14S,2M 20S,,
162,11,reg,19,180,210,3M 0S,3M 30S,,
163,11,reg,23,302,308,5M 2S,5M 8S,,
164,11,reg,150,1674,1676,27M 54S,27M 56S,,
165,11,reg,160,1722,1724,28M 42S,28M 44S,,
166,11,reg,226,2416,2420,40M 16S,40M 20S,,
167,11,reg,233,2448,2450,40M 48S,40M 50S,,
168,11,reg,236,2458,2498,40M 58S,41M 38S,,
169,11,reg,240,2498,2514,41M 38S,41M 54S,,
170,11,reg,248,2560,2606,42M 40S,43M 26S,,
171,12,reg,384,4004,4014,1H 6M 44S,1H 6M 54S,,
172,12,reg,386,4026,4042,1H 7M 6S,1H 7M 22S,,
173,12,reg,401,4164,4208,1H 9M 24S,1H 10M 8S,,
174,12,reg,404,4218,4230,1H 10M 18S,1H 10M 30S,,
175,12,reg,413,4328,4334,1H 12M 8S,1H 12M 14S,,
176,12,reg,416,4342,4360,1H 12M 22S,1H 12M 40S,,
177,12,reg,421,4370,4406,1H 12M 50S,1H 13M 26S,,
178,12,reg,427,4670,4692,1H 17M 50S,1H 18M 12S,,
179,13,reg,28,198,202,3M 18S,3M 22S,,
180,13,reg,35,302,306,5M 2S,5M 6S,,
181,13,reg,48,352,366,5M 52S,6M 6S,,
182,13,reg,51,368,376,6M 8S,6M 16S,,
183,13,reg,58,416,420,6M 56S,7M 0S,,
184,13,reg,64,442,444,7M 22S,7M 24S,,
185,13,reg,65,450,452,7M 30S,7M 32S,,
186,13,reg,66,464,480,7M 44S,8M 0S,,
187,13,reg,72,486,492,8M 6S,8M 12S,,
188,13,reg,76,504,520,8M 24S,8M 40S,,
189,13,reg,83,546,548,9M 6S,9M 8S,,
190,13,reg,85,550,566,9M 10S,9M 26S,,
191,13,reg,97,614,622,10M 14S,10M 22S,,
192,13,reg,108,704,708,11M 44S,11M 48S,,
193,13,reg,115,764,770,12M 44S,12M 50S,,
194,13,reg,124,822,826,13M 42S,13M 46S,,
195,13,reg,130,834,838,13M 54S,13M 58S,,
196,13,reg,139,934,946,15M 34S,15M 46S,,
197,13,reg,145,958,978,15M 58S,16M 18S,,
198,13,reg,148,986,990,16M 26S,16M 30S,,
199,13,reg,151,1002,1026,16M 42S,17M 6S,,
200,13,reg,157,1034,1078,17M 14S,17M 58S,,
201,13,reg,164,1102,1116,18M 22S,18M 36S,,
202,13,reg,174,1160,1184,19M 20S,19M 44S,,
203,13,reg,178,1186,1210,19M 46S,20M 10S,,
204,13,reg,184,1224,1238,20M 24S,20M 38S,,
205,13,reg,190,1260,1278,21M 0S,21M 18S,,
206,13,reg,193,1284,1304,21M 24S,21M 44S,,
207,13,reg,199,1310,1316,21M 50S,21M 56S,,
208,13,reg,204,1344,1372,22M 24S,22M 52S,,
209,13,reg,211,1388,1408,23M 8S,23M 28S,,
210,13,reg,217,1456,1482,24M 16S,24M 42S,,
211,13,reg,226,1512,1524,25M 12S,25M 24S,,
212,13,reg,237,1554,1558,25M 54S,25M 58S,,
213,13,reg,240,1560,1570,26M 0S,26M 10S,,
214,13,reg,244,1582,1600,26M 22S,26M 40S,,
215,13,reg,250,1622,1644,27M 2S,27M 24S,,
216,13,reg,253,1648,1660,27M 28S,27M 40S,,
217,13,reg,256,1668,1674,27M 48S,27M 54S,,
218,13,reg,259,1680,1694,28M 0S,28M 14S,,
219,13,reg,267,1720,1760,28M 40S,29M 20S,,
220,13,reg,276,1788,1798,29M 48S,29M 58S,,
221,13,reg,282,1812,1820,30M 12S,30M 20S,,
222,13,reg,290,1844,1858,30M 44S,30M 58S,,
223,13,reg,295,1862,1864,31M 2S,31M 4S,,
224,13,reg,298,1866,1872,31M 6S,31M 12S,,
225,13,reg,307,1896,1898,31M 36S,31M 38S,,
226,13,reg,310,1912,1928,31M 52S,32M 8S,,
