,participant,session,order,start,end,start_hms,end_hms,place,activity
1,1,reg,59,394,442,6M 34S,7M 22S,stove,
2,2,reg,193,2548,2552,42M 28S,42M 32S,stove,
3,4,reg,311,2696,2764,44M 56S,46M 4S,stove,
4,6,reg,80,1096,1100,18M 16S,18M 20S,stove,
5,7,reg,14,88,100,1M 28S,1M 40S,co,
6,7,reg,116,4168,4230,1H 9M 28S,1H 10M 30S,co,
7,8,reg,98,770,800,12M 50S,13M 20S,table,
8,9,reg,431,3178,3272,52M 58S,54M 32S,sk,
9,9,reg,465,3482,3530,58M 2S,58M 50S,stove,
10,10,reg,209,1636,1652,27M 16S,27M 32S,co,
11,13,reg,270,1760,1774,29M 20S,29M 34S,co,
12,14,reg,509,4116,4138,1H 8M 36S,1H 8M 58S,co,
13,15,reg,235,1124,1126,18M 44S,18M 46S,sk,
14,15,reg,437,2218,2232,36M 58S,37M 12S,co,
15,17,reg,296,3042,3062,50M 42S,51M 2S,stove,
16,17,reg,522,4538,4542,1H 15M 38S,1H 15M 42S,table,
17,17,reg,667,5888,5896,1H 38M 8S,1H 38M 16S,stove,
18,18,reg,393,1838,1862,30M 38S,31M 2S,stove,
19,18,reg,480,2212,2214,36M 52S,36M 54S,stove,
20,19,reg,436,3214,3216,53M 34S,53M 36S,stove,
21,20,reg,269,2014,2016,33M 34S,33M 36S,co,
22,20,reg,336,2392,2396,39M 52S,39M 56S,stove,
23,1,new,297,2210,2232,36M 50S,37M 12S,co,
24,1,new,323,2754,2764,45M 54S,46M 4S,sk,
25,2,new,31,294,302,4M 54S,5M 2S,sk,
26,5,new,92,2420,2432,40M 20S,40M 32S,stove,
27,6,new,264,3946,3952,1H 5M 46S,1H 5M 52S,co,
28,7,new,63,1594,1628,26M 34S,27M 8S,co,
29,8,new,163,1652,1656,27M 32S,27M 36S,co,
30,9,new,329,1904,1972,31M 44S,32M 52S,co,
31,10,new,676,5710,5726,1H 35M 10S,1H 35M 26S,fl/tb,
32,10,new,790,6376,6384,1H 46M 16S,1H 46M 24S,stove,
33,11,new,375,3514,3526,58M 34S,58M 46S,co,
34,12,new,415,5634,5638,1H 33M 54S,1H 33M 58S,dw,
35,13,new,172,744,748,12M 24S,12M 28S,dw,
36,13,new,604,2292,2314,38M 12S,38M 34S,co,
37,13,new,781,2896,2904,48M 16S,48M 24S,stove,
38,14,new,186,1300,1318,21M 40S,21M 58S,sk,
39,15,new,202,1192,1194,19M 52S,19M 54S,stove,
40,17,new,145,2094,2108,34M 54S,35M 8S,co,
41,17,new,283,3612,3632,1H 0M 12S,1H 0M 32S,co,
42,18,new,254,1476,1548,24M 36S,25M 48S,stove,
43,18,new,480,2392,2400,39M 52S,40M 0S,sk,
44,18,new,570,2862,2876,47M 42S,47M 56S,co,
45,18,new,608,3120,3162,52M 0S,52M 42S,co,
46,18,new,786,4630,4702,1H 17M 10S,1H 18M 22S,fl/tb,
47,19,new,355,3044,3048,50M 44S,50M 48S,dw,
48,20,new,59,3754,3760,1H 2M 34S,1H 2M 40S,co,
49,NA,NA,NA,NA,NA,NA,NA,,
50,1,reg,18,116,138,1M 56S,2M 18S,,
51,1,reg,28,192,204,3M 12S,3M 24S,,
52,1,reg,62,452,462,7M 32S,7M 42S,,
53,1,reg,126,1072,1100,17M 52S,18M 20S,,
54,1,reg,131,1108,1148,18M 28S,19M 8S,,
55,1,reg,136,1154,1174,19M 14S,19M 34S,,
56,1,reg,156,1348,1420,22M 28S,23M 40S,,
57,1,reg,203,2052,2118,34M 12S,35M 18S,,
58,2,reg,167,2350,2366,39M 10S,39M 26S,,
59,2,reg,185,2490,2504,41M 30S,41M 44S,,
60,2,reg,191,2530,2544,42M 10S,42M 24S,,
61,2,reg,247,2898,2952,48M 18S,49M 12S,,
62,2,reg,302,3712,3728,1H 1M 52S,1H 2M 8S,,
63,4,reg,314,2736,2764,45M 36S,46M 4S,,
64,6,reg,74,1060,1074,17M 40S,17M 54S,,
65,6,reg,94,1206,1242,20M 6S,20M 42S,,
66,7,reg,9,50,72,50S,1M 12S,,
67,7,reg,18,108,118,1M 48S,1M 58S,,
68,7,reg,22,130,144,2M 10S,2M 24S,,
69,7,reg,27,154,182,2M 34S,3M 2S,,
70,7,reg,48,316,320,5M 16S,5M 20S,,
71,7,reg,60,694,696,11M 34S,11M 36S,,
72,7,reg,73,960,990,16M 0S,16M 30S,,
73,7,reg,82,1008,1010,16M 48S,16M 50S,,
74,7,reg,87,1046,1080,17M 26S,18M 0S,,
75,7,reg,113,3670,3704,1H 1M 10S,1H 1M 44S,,
76,7,reg,129,4700,4754,1H 18M 20S,1H 19M 14S,,
77,8,reg,77,634,686,10M 34S,11M 26S,,
78,8,reg,83,702,708,11M 42S,11M 48S,,
79,8,reg,91,736,750,12M 16S,12M 30S,,
80,8,reg,116,910,914,15M 10S,15M 14S,,
81,8,reg,145,1132,1174,18M 52S,19M 34S,,
82,8,reg,149,1170,1172,19M 30S,19M 32S,,
83,8,reg,158,1230,1256,20M 30S,20M 56S,,
84,8,reg,169,1320,1328,22M 0S,22M 8S,,
85,8,reg,187,1412,1456,23M 32S,24M 16S,,
86,9,reg,136,994,1002,16M 34S,16M 42S,,
87,9,reg,137,994,1010,16M 34S,16M 50S,,
88,9,reg,159,1116,1132,18M 36S,18M 52S,,
89,9,reg,172,1228,1232,20M 28S,20M 32S,,
90,9,reg,352,2606,2706,43M 26S,45M 6S,,
91,9,reg,369,2772,2774,46M 12S,46M 14S,,
92,9,reg,382,2858,2860,47M 38S,47M 40S,,
93,9,reg,389,2878,2938,47M 58S,48M 58S,,
94,9,reg,458,3384,3432,56M 24S,57M 12S,,
95,9,reg,481,3664,3704,1H 1M 4S,1H 1M 44S,,
96,9,reg,485,3708,3730,1H 1M 48S,1H 2M 10S,,
97,9,reg,486,3710,3730,1H 1M 50S,1H 2M 10S,,
98,9,reg,493,3770,3824,1H 2M 50S,1H 3M 44S,,
99,10,reg,113,926,940,15M 26S,15M 40S,,
100,13,reg,224,1498,1510,24M 58S,25M 10S,,
101,13,reg,262,1696,1710,28M 16S,28M 30S,,
102,13,reg,285,1822,1834,30M 22S,30M 34S,,
103,13,reg,326,2012,2022,33M 32S,33M 42S,,
104,13,reg,373,2188,2200,36M 28S,36M 40S,,
105,13,reg,406,2364,2386,39M 24S,39M 46S,,
106,14,reg,191,1414,1428,23M 34S,23M 48S,,
107,14,reg,270,2510,2512,41M 50S,41M 52S,,
108,14,reg,486,3936,3950,1H 5M 36S,1H 5M 50S,,
109,14,reg,540,4386,4390,1H 13M 6S,1H 13M 10S,,
110,15,reg,43,228,234,3M 48S,3M 54S,,
111,15,reg,133,704,708,11M 44S,11M 48S,,
112,15,reg,135,712,742,11M 52S,12M 22S,,
113,15,reg,157,834,836,13M 54S,13M 56S,,
114,15,reg,176,892,896,14M 52S,14M 56S,,
115,15,reg,196,960,962,16M 0S,16M 2S,,
116,15,reg,264,1262,1266,21M 2S,21M 6S,,
117,15,reg,275,1278,1282,21M 18S,21M 22S,,
118,15,reg,280,1296,1298,21M 36S,21M 38S,,
119,15,reg,291,1344,1346,22M 24S,22M 26S,,
120,15,reg,390,2028,2030,33M 48S,33M 50S,,
121,15,reg,425,2182,2194,36M 22S,36M 34S,,
122,15,reg,431,2202,2218,36M 42S,36M 58S,,
123,15,reg,504,2946,2976,49M 6S,49M 36S,,
124,17,reg,257,2808,2814,46M 48S,46M 54S,,
125,17,reg,263,2870,2876,47M 50S,47M 56S,,
126,17,reg,275,2926,2938,48M 46S,48M 58S,,
127,17,reg,279,2964,2970,49M 24S,49M 30S,,
128,17,reg,300,3076,3118,51M 16S,51M 58S,,
129,17,reg,309,3146,3150,52M 26S,52M 30S,,
130,17,reg,314,3164,3174,52M 44S,52M 54S,,
131,17,reg,332,3296,3302,54M 56S,55M 2S,,
132,17,reg,362,3446,3452,57M 26S,57M 32S,,
133,17,reg,385,3536,3546,58M 56S,59M 6S,,
134,17,reg,399,3602,3612,1H 0M 2S,1H 0M 12S,,
135,17,reg,421,3748,3764,1H 2M 28S,1H 2M 44S,,
136,17,reg,471,4048,4064,1H 7M 28S,1H 7M 44S,,
137,17,reg,496,4356,4374,1H 12M 36S,1H 12M 54S,,
138,17,reg,505,4406,4456,1H 13M 26S,1H 14M 16S,,
139,17,reg,519,4494,4532,1H 14M 54S,1H 15M 32S,,
140,17,reg,525,4546,4548,1H 15M 46S,1H 15M 48S,,
141,17,reg,529,4554,4698,1H 15M 54S,1H 18M 18S,,
142,17,reg,562,4916,4918,1H 21M 56S,1H 21M 58S,,
143,17,reg,625,5492,5516,1H 31M 32S,1H 31M 56S,,
144,17,reg,650,5772,5778,1H 36M 12S,1H 36M 18S,,
145,17,reg,660,5842,5844,1H 37M 22S,1H 37M 24S,,
146,18,reg,254,1314,1358,21M 54S,22M 38S,,
147,18,reg,327,1582,1590,26M 22S,26M 30S,,
148,18,reg,345,1670,1680,27M 50S,28M 0S,,
149,18,reg,349,1682,1692,28M 2S,28M 12S,,
150,18,reg,374,1776,1786,29M 36S,29M 46S,,
151,18,reg,388,1826,1832,30M 26S,30M 32S,,
152,18,reg,404,1878,1888,31M 18S,31M 28S,,
153,18,reg,410,1900,1906,31M 40S,31M 46S,,
154,18,reg,428,1988,2002,33M 8S,33M 22S,,
155,18,reg,434,2026,2036,33M 46S,33M 56S,,
156,18,reg,446,2090,2108,34M 50S,35M 8S,,
157,18,reg,455,2116,2128,35M 16S,35M 28S,,
158,18,reg,460,2122,2128,35M 22S,35M 28S,,
159,18,reg,468,2174,2188,36M 14S,36M 28S,,
160,18,reg,475,2206,2224,36M 46S,37M 4S,,
161,18,reg,539,2362,2376,39M 22S,39M 36S,,
162,18,reg,545,2412,2438,40M 12S,40M 38S,,
163,19,reg,253,1892,1894,31M 32S,31M 34S,,
164,19,reg,296,2120,2132,35M 20S,35M 32S,,
165,19,reg,364,2520,2530,42M 0S,42M 10S,,
166,19,reg,397,2866,2870,47M 46S,47M 50S,,
167,19,reg,401,2872,3010,47M 52S,50M 10S,,
168,19,reg,409,3024,3034,50M 24S,50M 34S,,
169,19,reg,428,3146,3176,52M 26S,52M 56S,,
170,19,reg,447,3260,3290,54M 20S,54M 50S,,
171,19,reg,509,4162,4184,1H 9M 22S,1H 9M 44S,,
172,20,reg,67,382,400,6M 22S,6M 40S,,
173,20,reg,122,830,866,13M 50S,14M 26S,,
174,20,reg,218,1654,1668,27M 34S,27M 48S,,
175,20,reg,239,1742,1744,29M 2S,29M 4S,,
176,20,reg,249,1890,1894,31M 30S,31M 34S,,
177,20,reg,257,1978,1992,32M 58S,33M 12S,,
178,20,reg,263,2002,2010,33M 22S,33M 30S,,
179,20,reg,274,2020,2024,33M 40S,33M 44S,,
180,20,reg,283,2036,2038,33M 56S,33M 58S,,
181,20,reg,286,2038,2042,33M 58S,34M 2S,,
182,20,reg,313,2226,2240,37M 6S,37M 20S,,
183,20,reg,360,2468,2470,41M 8S,41M 10S,,
184,20,reg,367,2476,2482,41M 16S,41M 22S,,
185,20,reg,498,3338,3372,55M 38S,56M 12S,,
186,1,new,42,276,280,4M 36S,4M 40S,,
187,1,new,50,318,322,5M 18S,5M 22S,,
188,1,new,73,416,432,6M 56S,7M 12S,,
189,1,new,105,630,660,10M 30S,11M 0S,,
