,participant,session,order,start,end,start_hms,end_hms,place,activity
1,4,reg,238,1938,1940,32M 18S,32M 20S,co,
2,10,new,19,122,188,2M 2S,3M 8S,co,
3,10,new,114,1220,1232,20M 20S,20M 32S,co,
4,10,new,439,4084,4102,1H 8M 4S,1H 8M 22S,co,
5,10,new,537,4718,4722,1H 18M 38S,1H 18M 42S,co,
6,10,new,599,5194,5202,1H 26M 34S,1H 26M 42S,co,
7,10,new,805,6486,6488,1H 48M 6S,1H 48M 8S,co,
8,13,new,33,142,184,2M 22S,3M 4S,co,
9,13,new,244,956,962,15M 56S,16M 2S,co,
10,NA,NA,NA,NA,NA,NA,NA,,
11,4,reg,236,1870,1916,31M 10S,31M 56S,,
12,4,reg,242,1968,1970,32M 48S,32M 50S,,
13,4,reg,244,1976,2036,32M 56S,33M 56S,,
14,10,new,3,28,32,28S,32S,,
15,10,new,13,90,92,1M 30S,1M 32S,,
16,10,new,21,154,186,2M 34S,3M 6S,,
17,10,new,30,220,254,3M 40S,4M 14S,,
18,10,new,34,302,310,5M 2S,5M 10S,,
19,10,new,54,652,680,10M 52S,11M 20S,,
20,10,new,71,902,904,15M 2S,15M 4S,,
21,10,new,73,938,940,15M 38S,15M 40S,,
22,10,new,84,1076,1078,17M 56S,17M 58S,,
23,10,new,94,1156,1160,19M 16S,19M 20S,,
24,10,new,111,1208,1212,20M 8S,20M 12S,,
25,10,new,118,1262,1274,21M 2S,21M 14S,,
26,10,new,165,1736,1740,28M 56S,29M 0S,,
27,10,new,208,2200,2204,36M 40S,36M 44S,,
28,10,new,253,2686,2690,44M 46S,44M 50S,,
29,10,new,258,2732,2736,45M 32S,45M 36S,,
30,10,new,270,2806,2812,46M 46S,46M 52S,,
31,10,new,275,2844,2848,47M 24S,47M 28S,,
32,10,new,361,3548,3552,59M 8S,59M 12S,,
33,10,new,366,3568,3576,59M 28S,59M 36S,,
34,10,new,372,3596,3612,59M 56S,1H 0M 12S,,
35,10,new,375,3622,3630,1H 0M 22S,1H 0M 30S,,
36,10,new,384,3714,3716,1H 1M 54S,1H 1M 56S,,
37,10,new,387,3726,3730,1H 2M 6S,1H 2M 10S,,
38,10,new,406,3802,3834,1H 3M 22S,1H 3M 54S,,
39,10,new,432,3956,3964,1H 5M 56S,1H 6M 4S,,
40,10,new,464,4200,4214,1H 10M 0S,1H 10M 14S,,
41,10,new,483,4360,4374,1H 12M 40S,1H 12M 54S,,
42,10,new,496,4438,4440,1H 13M 58S,1H 14M 0S,,
43,10,new,498,4452,4454,1H 14M 12S,1H 14M 14S,,
44,10,new,512,4542,4548,1H 15M 42S,1H 15M 48S,,
45,10,new,535,4700,4712,1H 18M 20S,1H 18M 32S,,
46,10,new,543,4752,4756,1H 19M 12S,1H 19M 16S,,
47,10,new,554,4804,4820,1H 20M 4S,1H 20M 20S,,
48,10,new,574,5014,5018,1H 23M 34S,1H 23M 38S,,
49,10,new,578,5050,5062,1H 24M 10S,1H 24M 22S,,
50,10,new,605,5228,5232,1H 27M 8S,1H 27M 12S,,
51,10,new,618,5330,5340,1H 28M 50S,1H 29M 0S,,
52,10,new,625,5366,5404,1H 29M 26S,1H 30M 4S,,
53,10,new,631,5416,5432,1H 30M 16S,1H 30M 32S,,
54,10,new,656,5586,5598,1H 33M 6S,1H 33M 18S,,
55,10,new,670,5666,5686,1H 34M 26S,1H 34M 46S,,
56,10,new,681,5730,5736,1H 35M 30S,1H 35M 36S,,
57,10,new,684,5752,5756,1H 35M 52S,1H 35M 56S,,
58,10,new,718,5930,5948,1H 38M 50S,1H 39M 8S,,
59,10,new,734,6056,6064,1H 40M 56S,1H 41M 4S,,
60,10,new,743,6122,6124,1H 42M 2S,1H 42M 4S,,
61,13,new,5,44,1836,44S,30M 36S,,
62,13,new,6,44,78,44S,1M 18S,,
63,13,new,25,112,120,1M 52S,2M 0S,,
64,13,new,43,206,278,3M 26S,4M 38S,,
65,13,new,49,240,244,4M 0S,4M 4S,,
66,13,new,87,400,404,6M 40S,6M 44S,,
67,13,new,111,510,526,8M 30S,8M 46S,,
68,13,new,113,532,536,8M 52S,8M 56S,,
69,13,new,135,644,650,10M 44S,10M 50S,,
70,13,new,149,678,706,11M 18S,11M 46S,,
71,13,new,159,710,728,11M 50S,12M 8S,,
72,13,new,173,744,750,12M 24S,12M 30S,,
73,13,new,195,800,818,13M 20S,13M 38S,,
74,13,new,228,918,930,15M 18S,15M 30S,,
75,13,new,246,968,986,16M 8S,16M 26S,,
76,13,new,308,1142,1146,19M 2S,19M 6S,,
77,13,new,340,1252,1260,20M 52S,21M 0S,,
78,13,new,487,1812,1836,30M 12S,30M 36S,,
