,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,comments,,,,,,,
1,1,reg,176,1616,1618,26M 56S,26M 58S,floor,,,"floor, could be the middle of the kitchen too",,,,,,,
2,1,reg,190,1810,1812,30M 10S,30M 12S,floor,,,,,,,,,,
3,2,reg,219,2702,2704,45M 2S,45M 4S,floor,,,,,,,,,,
4,4,reg,68,736,738,12M 16S,12M 18S,cpB,,,,,,,,,,
5,4,reg,84,832,846,13M 52S,14M 6S,cpB,,,,,,,,,,
6,5,reg,93,1662,1664,27M 42S,27M 44S,floor,,,,,,,,,,
7,6,reg,32,378,380,6M 18S,6M 20S,floor,,,,,,,,,,
8,6,reg,208,2486,2488,41M 26S,41M 28S,floor,,,,,,,,,,
9,7,reg,56,670,672,11M 10S,11M 12S,floor,,,,,,,,,,
10,8,reg,56,502,504,8M 22S,8M 24S,floor,,,,,,,,,,
11,8,reg,156,1228,1230,20M 28S,20M 30S,floor,,,,,,,,,,
12,9,reg,192,1372,1374,22M 52S,22M 54S,floor,,,,,,,,,,
13,9,reg,358,2706,2710,45M 6S,45M 10S,co,,,,,,,,,,
14,10,reg,48,352,354,5M 52S,5M 54S,floor,,,,,,,,,,
15,10,reg,242,1948,1950,32M 28S,32M 30S,floor,,,,,,,,,,
16,11,reg,62,806,808,13M 26S,13M 28S,floor,,,,,,,,,,
17,11,reg,128,1458,1460,24M 18S,24M 20S,floor,,,,,,,,,,
18,12,reg,234,2658,2660,44M 18S,44M 20S,cpB,,,,,,,,,,
19,13,reg,8,32,34,32S,34S,co,,,,,,,,,,
20,14,reg,329,2960,2962,49M 20S,49M 22S,co,,,,,,,,,,
21,15,reg,229,1054,1056,17M 34S,17M 36S,sk,,,,,,,,,,
22,15,reg,401,2068,2072,34M 28S,34M 32S,floor,,,,,,,,,,
23,16,reg,164,1120,1122,18M 40S,18M 42S,floor,,,,,,,,,,
24,17,reg,322,3200,3202,53M 20S,53M 22S,floor,,,,,,,,,,
25,17,reg,581,5054,5056,1H 24M 14S,1H 24M 16S,floor,,,,,,,,,,
26,18,reg,119,580,582,9M 40S,9M 42S,floor,,,,,,,,,,
27,19,reg,29,168,176,2M 48S,2M 56S,co,,plastic bag,,,,,,,,
28,19,reg,95,534,536,8M 54S,8M 56S,co,,,,,,,,,,
29,19,reg,145,920,924,15M 20S,15M 24S,co,,,,,,,,,,
30,19,reg,479,3756,3758,1H 2M 36S,1H 2M 38S,co,,,,,,,,,,
31,20,reg,227,1690,1692,28M 10S,28M 12S,floor,,,,,,,,,,
32,20,reg,448,2986,2988,49M 46S,49M 48S,floor,,,,,,,,,,
