,participant,session,order,start,end,start_hms,end_hms,place,activity
1,4,reg,220,1782,1788,29M 42S,29M 48S,cpB,
2,8,reg,33,374,412,6M 14S,6M 52S,sk,
3,11,reg,247,2558,2582,42M 38S,43M 2S,co,
4,12,reg,45,408,410,6M 48S,6M 50S,table,
5,12,reg,349,3780,3784,1H 3M 0S,1H 3M 4S,table,
6,17,reg,124,1492,1494,24M 52S,24M 54S,co,
7,17,reg,491,4156,4336,1H 9M 16S,1H 12M 16S,stove,
8,18,reg,513,2314,2324,38M 34S,38M 44S,stove,
9,19,reg,346,2394,2398,39M 54S,39M 58S,sk,
10,20,reg,158,1052,1058,17M 32S,17M 38S,co,
11,20,reg,190,1536,1540,25M 36S,25M 40S,sk,
12,20,reg,509,3416,3422,56M 56S,57M 2S,stove,
13,2,new,411,4798,4810,1H 19M 58S,1H 20M 10S,sk,
14,5,new,5,32,52,32S,52S,co,
15,12,new,241,2778,2782,46M 18S,46M 22S,table,
16,15,new,398,2480,2494,41M 20S,41M 34S,sk,
17,17,new,70,1428,1430,23M 48S,23M 50S,co,
18,17,new,71,1434,1500,23M 54S,25M 0S,fl/tb,
19,18,new,436,2212,2214,36M 52S,36M 54S,sk,
20,19,new,231,1886,1896,31M 26S,31M 36S,stove,
21,20,new,22,3604,3608,1H 0M 4S,1H 0M 8S,sk,
22,20,new,132,4176,4194,1H 9M 36S,1H 9M 54S,sk,
23,NA,NA,NA,NA,NA,NA,NA,,
24,11,reg,291,2978,2980,49M 38S,49M 40S,,
25,12,reg,32,338,340,5M 38S,5M 40S,,
26,12,reg,85,964,966,16M 4S,16M 6S,,
27,12,reg,103,1142,1144,19M 2S,19M 4S,,
28,12,reg,123,1370,1372,22M 50S,22M 52S,,
29,12,reg,129,1428,1430,23M 48S,23M 50S,,
30,12,reg,130,1448,1450,24M 8S,24M 10S,,
31,12,reg,131,1458,1460,24M 18S,24M 20S,,
32,12,reg,132,1474,1476,24M 34S,24M 36S,,
33,12,reg,138,1540,1542,25M 40S,25M 42S,,
34,12,reg,139,1552,1554,25M 52S,25M 54S,,
35,12,reg,140,1582,1584,26M 22S,26M 24S,,
36,12,reg,141,1590,1592,26M 30S,26M 32S,,
37,12,reg,142,1620,1622,27M 0S,27M 2S,,
38,12,reg,143,1630,1632,27M 10S,27M 12S,,
39,17,reg,87,1206,1228,20M 6S,20M 28S,,
40,17,reg,107,1324,1340,22M 4S,22M 20S,,
41,17,reg,121,1458,1464,24M 18S,24M 24S,,
42,17,reg,125,1526,1528,25M 26S,25M 28S,,
43,17,reg,126,1534,1536,25M 34S,25M 36S,,
44,17,reg,127,1564,1588,26M 4S,26M 28S,,
45,17,reg,143,1792,1836,29M 52S,30M 36S,,
46,17,reg,179,2256,2278,37M 36S,37M 58S,,
47,17,reg,481,4098,4102,1H 8M 18S,1H 8M 22S,,
48,17,reg,485,4134,4138,1H 8M 54S,1H 8M 58S,,
49,17,reg,486,4144,4150,1H 9M 4S,1H 9M 10S,,
50,17,reg,571,4952,4958,1H 22M 32S,1H 22M 38S,,
51,18,reg,490,2246,2252,37M 26S,37M 32S,,
