,participant,session,order,start,end,start_hms,end_hms,place,activity
1,4,reg,10,46,54,46S,54S,co,
2,5,reg,67,1246,1250,20M 46S,20M 50S,co,
3,6,reg,49,662,664,11M 2S,11M 4S,co,
4,8,reg,122,946,950,15M 46S,15M 50S,co,
5,9,reg,455,3372,3374,56M 12S,56M 14S,fridge,
6,12,reg,333,3574,3576,59M 34S,59M 36S,co,
7,14,reg,446,3694,3704,1H 1M 34S,1H 1M 44S,sk,
8,15,reg,158,834,836,13M 54S,13M 56S,stove,
9,19,reg,426,3138,3190,52M 18S,53M 10S,co,
10,1,new,82,508,540,8M 28S,9M 0S,sk,
11,2,new,4,20,26,20S,26S,co,
12,3,new,174,2206,2208,36M 46S,36M 48S,co,
13,4,new,163,1666,1684,27M 46S,28M 4S,co,
14,5,new,24,458,1048,7M 38S,17M 28S,co,
15,6,new,276,4052,4068,1H 7M 32S,1H 7M 48S,sk,
16,7,new,9,114,138,1M 54S,2M 18S,co,
17,12,new,389,4980,4992,1H 23M 0S,1H 23M 12S,cpB,
18,13,new,324,1184,1186,19M 44S,19M 46S,cpB,
19,14,new,46,306,308,5M 6S,5M 8S,cpB,
20,14,new,238,1678,1682,27M 58S,28M 2S,sk,
21,14,new,350,2938,2950,48M 58S,49M 10S,stove,
22,15,new,107,700,702,11M 40S,11M 42S,co,
23,18,new,282,1626,1646,27M 6S,27M 26S,co,
24,19,new,332,2790,2800,46M 30S,46M 40S,stove,
25,NA,NA,NA,NA,NA,NA,NA,,
26,4,reg,237,1918,1936,31M 58S,32M 16S,,
27,5,reg,9,94,96,1M 34S,1M 36S,,
28,5,reg,44,948,952,15M 48S,15M 52S,,
29,8,reg,124,952,1022,15M 52S,17M 2S,,
30,8,reg,133,1050,1074,17M 30S,17M 54S,,
31,9,reg,450,3356,3370,55M 56S,56M 10S,,
32,9,reg,451,3356,3370,55M 56S,56M 10S,,
33,9,reg,456,3372,3374,56M 12S,56M 14S,,
34,9,reg,459,3390,3402,56M 30S,56M 42S,,
35,14,reg,122,1094,1104,18M 14S,18M 24S,,
36,14,reg,441,3678,3680,1H 1M 18S,1H 1M 20S,,
37,15,reg,132,700,744,11M 40S,12M 24S,,
38,15,reg,174,888,890,14M 48S,14M 50S,,
39,15,reg,236,1124,1126,18M 44S,18M 46S,,
40,2,new,2,16,20,16S,20S,,
41,2,new,39,376,378,6M 16S,6M 18S,,
42,4,new,101,1214,1222,20M 14S,20M 22S,,
43,4,new,310,2638,2664,43M 58S,44M 24S,,
44,4,new,319,2750,2788,45M 50S,46M 28S,,
45,5,new,20,406,436,6M 46S,7M 16S,,
46,12,new,69,682,684,11M 22S,11M 24S,,
47,12,new,195,2230,2232,37M 10S,37M 12S,,
48,12,new,390,4994,4998,1H 23M 14S,1H 23M 18S,,
49,12,new,565,7496,7498,2H 4M 56S,2H 4M 58S,,
50,14,new,26,184,186,3M 4S,3M 6S,,
51,14,new,35,248,250,4M 8S,4M 10S,,
52,14,new,88,566,572,9M 26S,9M 32S,,
53,14,new,95,608,612,10M 8S,10M 12S,,
54,14,new,110,658,668,10M 58S,11M 8S,,
55,14,new,114,672,686,11M 12S,11M 26S,,
56,14,new,168,1096,1100,18M 16S,18M 20S,,
57,14,new,169,1098,1100,18M 18S,18M 20S,,
58,14,new,185,1298,1306,21M 38S,21M 46S,,
59,14,new,190,1318,1320,21M 58S,22M 0S,,
60,14,new,221,1624,1626,27M 4S,27M 6S,,
61,14,new,225,1640,1644,27M 20S,27M 24S,,
62,14,new,232,1650,1652,27M 30S,27M 32S,,
63,14,new,233,1656,1662,27M 36S,27M 42S,,
64,14,new,234,1664,1666,27M 44S,27M 46S,,
65,14,new,237,1668,1678,27M 48S,27M 58S,,
66,14,new,250,1778,1780,29M 38S,29M 40S,,
67,14,new,252,1792,1796,29M 52S,29M 56S,,
68,14,new,255,1800,1802,30M 0S,30M 2S,,
69,15,new,9,94,96,1M 34S,1M 36S,,
70,15,new,233,1364,1366,22M 44S,22M 46S,,
71,18,new,430,2190,2194,36M 30S,36M 34S,,
72,19,new,311,2662,2668,44M 22S,44M 28S,,
73,19,new,362,3060,3070,51M 0S,51M 10S,,
74,19,new,370,3108,3114,51M 48S,51M 54S,,
