,participant,session,order,start,end,start_hms,end_hms,place,activity
1,1,reg,66,456,486,7M 36S,8M 6S,stove,
2,2,reg,114,1944,2014,32M 24S,33M 34S,stove,
3,2,reg,170,2380,2396,39M 40S,39M 56S,stove,
4,2,reg,285,3480,3494,58M 0S,58M 14S,stove,
5,2,reg,320,4452,4480,1H 14M 12S,1H 14M 40S,stove,
6,3,reg,42,826,842,13M 46S,14M 2S,stove,
7,3,reg,75,1110,1118,18M 30S,18M 38S,stove,
8,4,reg,115,1094,1134,18M 14S,18M 54S,stove,
9,4,reg,204,1650,1670,27M 30S,27M 50S,sk,
10,4,reg,302,2658,2660,44M 18S,44M 20S,stove,
11,5,reg,35,794,810,13M 14S,13M 30S,stove,
12,5,reg,111,1962,1970,32M 42S,32M 50S,stove,
13,5,reg,122,2286,2324,38M 6S,38M 44S,stove,
14,6,reg,221,2594,2662,43M 14S,44M 22S,co,
15,8,reg,45,452,462,7M 32S,7M 42S,stove,
16,8,reg,139,1070,1088,17M 50S,18M 8S,stove,
17,9,reg,205,1424,1426,23M 44S,23M 46S,dw,
18,9,reg,242,1584,1600,26M 24S,26M 40S,stove,
19,9,reg,329,2416,2444,40M 16S,40M 44S,stove,
20,9,reg,406,2978,2994,49M 38S,49M 54S,stove,
21,9,reg,479,3622,3646,1H 0M 22S,1H 0M 46S,stove,
22,10,reg,161,1252,1254,20M 52S,20M 54S,stove,
23,10,reg,206,1612,1622,26M 52S,27M 2S,stove,
24,11,reg,102,1226,1232,20M 26S,20M 32S,stove,
25,11,reg,164,1744,1756,29M 4S,29M 16S,stove,
26,11,reg,241,2498,2514,41M 38S,41M 54S,stove,
27,11,reg,279,2896,2898,48M 16S,48M 18S,stove,
28,12,reg,276,3106,3114,51M 46S,51M 54S,stove,
29,12,reg,343,3648,3708,1H 0M 48S,1H 1M 48S,stove,
30,13,reg,73,486,492,8M 6S,8M 12S,stove,
31,13,reg,131,834,838,13M 54S,13M 58S,stove,
32,13,reg,169,1138,1146,18M 58S,19M 6S,co,
33,13,reg,227,1512,1524,25M 12S,25M 24S,stove,
34,13,reg,265,1714,1720,28M 34S,28M 40S,stove,
35,13,reg,318,1982,1984,33M 2S,33M 4S,stove,
36,13,reg,338,2042,2050,34M 2S,34M 10S,stove,
37,13,reg,394,2264,2292,37M 44S,38M 12S,stove,
38,13,reg,421,2508,2510,41M 48S,41M 50S,stove,
39,14,reg,74,528,540,8M 48S,9M 0S,stove,
40,14,reg,208,1692,1704,28M 12S,28M 24S,stove,
41,14,reg,372,3240,3244,54M 0S,54M 4S,stove,
42,14,reg,478,3868,3902,1H 4M 28S,1H 5M 2S,stove,
43,15,reg,35,210,220,3M 30S,3M 40S,dw,
44,15,reg,197,962,966,16M 2S,16M 6S,co,
45,15,reg,244,1138,1144,18M 58S,19M 4S,stove,
46,15,reg,268,1266,1270,21M 6S,21M 10S,stove,
47,17,reg,130,1588,1598,26M 28S,26M 38S,stove,
48,17,reg,329,3250,3290,54M 10S,54M 50S,stove,
49,17,reg,346,3354,3366,55M 54S,56M 6S,stove,
50,17,reg,427,3764,3766,1H 2M 44S,1H 2M 46S,stove,
51,18,reg,110,540,548,9M 0S,9M 8S,co,stove
52,18,reg,290,1432,1448,23M 52S,24M 8S,stove,
53,18,reg,478,2210,2212,36M 50S,36M 52S,stove,
54,18,reg,520,2322,2326,38M 42S,38M 46S,stove,
55,19,reg,146,926,1026,15M 26S,17M 6S,stove,
56,19,reg,236,1776,1816,29M 36S,30M 16S,stove,
57,19,reg,357,2484,2514,41M 24S,41M 54S,stove,
58,20,reg,266,2012,2016,33M 32S,33M 36S,dw,
59,20,reg,353,2442,2454,40M 42S,40M 54S,stove,
60,20,reg,513,3422,3468,57M 2S,57M 48S,stove,
61,1,new,45,282,286,4M 42S,4M 46S,stove,
62,1,new,126,772,788,12M 52S,13M 8S,stove,
63,1,new,205,1514,1516,25M 14S,25M 16S,stove,
64,1,new,327,2828,2840,47M 8S,47M 20S,dw,
65,2,new,143,2244,2266,37M 24S,37M 46S,stove,
66,2,new,255,3582,3614,59M 42S,1H 0M 14S,stove,
67,2,new,372,4504,4548,1H 15M 4S,1H 15M 48S,stove,
68,2,new,399,4728,4740,1H 18M 48S,1H 19M 0S,stove,
69,4,new,169,1738,1766,28M 58S,29M 26S,stove,
70,4,new,345,2936,2954,48M 56S,49M 14S,stove,
71,5,new,69,2130,2188,35M 30S,36M 28S,stove,
72,5,new,120,3440,3460,57M 20S,57M 40S,stove,
73,5,new,136,3870,3884,1H 4M 30S,1H 4M 44S,stove,
74,5,new,187,5358,5378,1H 29M 18S,1H 29M 38S,stove,
75,6,new,127,2352,2354,39M 12S,39M 14S,co,
76,8,new,158,1526,1576,25M 26S,26M 16S,stove,
77,9,new,173,1088,1108,18M 8S,18M 28S,stove,
78,9,new,347,2084,2118,34M 44S,35M 18S,stove,
79,9,new,445,2948,2974,49M 8S,49M 34S,stove,
80,9,new,469,3756,3788,1H 2M 36S,1H 3M 8S,stove,
81,10,new,119,1274,1286,21M 14S,21M 26S,stove,
82,10,new,237,2472,2498,41M 12S,41M 38S,stove,
83,10,new,263,2764,2770,46M 4S,46M 10S,stove,
84,10,new,321,3280,3288,54M 40S,54M 48S,stove,
85,10,new,376,3630,3674,1H 0M 30S,1H 1M 14S,co,
86,10,new,442,4110,4122,1H 8M 30S,1H 8M 42S,stove,
87,10,new,480,4352,4360,1H 12M 32S,1H 12M 40S,stove,
88,10,new,506,4500,4512,1H 15M 0S,1H 15M 12S,stove,
89,10,new,575,5032,5050,1H 23M 52S,1H 24M 10S,stove,
90,10,new,664,5644,5656,1H 34M 4S,1H 34M 16S,stove,
91,10,new,729,6028,6034,1H 40M 28S,1H 40M 34S,stove,
92,10,new,760,6222,6234,1H 43M 42S,1H 43M 54S,stove,
93,10,new,825,6598,6624,1H 49M 58S,1H 50M 24S,stove,
94,11,new,232,2338,2350,38M 58S,39M 10S,stove,
95,11,new,359,3448,3456,57M 28S,57M 36S,stove,
96,11,new,426,3892,3904,1H 4M 52S,1H 5M 4S,stove,
97,11,new,498,4514,4530,1H 15M 14S,1H 15M 30S,stove,
98,11,new,537,4740,4746,1H 19M 0S,1H 19M 6S,co,
99,11,new,576,4972,5014,1H 22M 52S,1H 23M 34S,co,
100,12,new,301,3354,3508,55M 54S,58M 28S,stove,
101,12,new,431,5916,5946,1H 38M 36S,1H 39M 6S,stove,
102,12,new,549,7398,7418,2H 3M 18S,2H 3M 38S,stove,
103,13,new,321,1172,1182,19M 32S,19M 42S,stove,
104,13,new,405,1532,1538,25M 32S,25M 38S,stove,
105,13,new,490,1822,1838,30M 22S,30M 38S,stove,
106,13,new,623,2340,2350,39M 0S,39M 10S,stove,
107,13,new,710,2640,2646,44M 0S,44M 6S,stove,
108,13,new,740,2730,2738,45M 30S,45M 38S,stove,
109,14,new,197,1400,1402,23M 20S,23M 22S,stove,
110,14,new,272,1968,1974,32M 48S,32M 54S,sk,
111,14,new,331,2810,2812,46M 50S,46M 52S,stove,
112,14,new,384,3078,3090,51M 18S,51M 30S,stove,
113,14,new,425,3462,3466,57M 42S,57M 46S,sk,
114,15,new,365,2278,2298,37M 58S,38M 18S,co,
115,17,new,391,4446,4496,1H 14M 6S,1H 14M 56S,stove,
116,18,new,372,1888,2050,31M 28S,34M 10S,co,
117,19,new,171,1394,1406,23M 14S,23M 26S,stove,
118,19,new,247,2024,2056,33M 44S,34M 16S,stove,
119,19,new,322,2730,2760,45M 30S,46M 0S,stove,
120,20,new,149,4336,4414,1H 12M 16S,1H 13M 34S,co,
121,NA,NA,NA,NA,NA,NA,NA,,
122,1,reg,42,294,308,4M 54S,5M 8S,,
123,1,reg,75,564,586,9M 24S,9M 46S,,
124,1,reg,85,692,710,11M 32S,11M 50S,,
125,1,reg,114,938,974,15M 38S,16M 14S,,
126,1,reg,134,1150,1170,19M 10S,19M 30S,,
127,1,reg,151,1310,1320,21M 50S,22M 0S,,
128,1,reg,178,1652,1680,27M 32S,28M 0S,,
129,1,reg,186,1788,1804,29M 48S,30M 4S,,
130,1,reg,210,2110,2138,35M 10S,35M 38S,,
131,2,reg,79,1288,1446,21M 28S,24M 6S,,
132,2,reg,89,1460,1472,24M 20S,24M 32S,,
133,2,reg,92,1512,1612,25M 12S,26M 52S,,
134,2,reg,98,1628,1638,27M 8S,27M 18S,,
135,2,reg,104,1680,1710,28M 0S,28M 30S,,
136,2,reg,129,2054,2058,34M 14S,34M 18S,,
137,2,reg,139,2116,2126,35M 16S,35M 26S,,
138,2,reg,143,2144,2152,35M 44S,35M 52S,,
139,2,reg,146,2170,2204,36M 10S,36M 44S,,
140,2,reg,150,2214,2238,36M 54S,37M 18S,,
141,2,reg,158,2268,2330,37M 48S,38M 50S,,
142,2,reg,176,2422,2442,40M 22S,40M 42S,,
143,2,reg,182,2474,2506,41M 14S,41M 46S,,
144,2,reg,188,2516,2542,41M 56S,42M 22S,,
145,2,reg,194,2554,2568,42M 34S,42M 48S,,
146,2,reg,198,2576,2590,42M 56S,43M 10S,,
147,2,reg,208,2618,2630,43M 38S,43M 50S,,
148,2,reg,233,2780,2790,46M 20S,46M 30S,,
149,2,reg,242,2882,2890,48M 2S,48M 10S,,
150,2,reg,261,3026,3042,50M 26S,50M 42S,,
151,2,reg,267,3078,3090,51M 18S,51M 30S,,
152,2,reg,279,3432,3442,57M 12S,57M 22S,,
153,2,reg,295,3658,3668,1H 0M 58S,1H 1M 8S,,
154,2,reg,298,3700,3718,1H 1M 40S,1H 1M 58S,,
155,2,reg,303,3774,3794,1H 2M 54S,1H 3M 14S,,
156,2,reg,317,4386,4494,1H 13M 6S,1H 14M 54S,,
157,2,reg,319,4436,4442,1H 13M 56S,1H 14M 2S,,
158,2,reg,326,4508,4562,1H 15M 8S,1H 16M 2S,,
159,2,reg,331,4564,4574,1H 16M 4S,1H 16M 14S,,
160,3,reg,27,600,612,10M 0S,10M 12S,,
161,3,reg,35,682,702,11M 22S,11M 42S,,
162,3,reg,40,784,792,13M 4S,13M 12S,,
163,3,reg,49,882,896,14M 42S,14M 56S,,
164,3,reg,51,920,932,15M 20S,15M 32S,,
165,3,reg,54,968,978,16M 8S,16M 18S,,
166,3,reg,57,986,990,16M 26S,16M 30S,,
167,3,reg,60,998,1010,16M 38S,16M 50S,,
168,3,reg,65,1034,1038,17M 14S,17M 18S,,
169,3,reg,68,1050,1054,17M 30S,17M 34S,,
170,3,reg,80,1156,1180,19M 16S,19M 40S,,
171,3,reg,87,1202,1226,20M 2S,20M 26S,,
172,3,reg,90,1234,1258,20M 34S,20M 58S,,
173,4,reg,97,996,1008,16M 36S,16M 48S,,
174,4,reg,103,1018,1042,16M 58S,17M 22S,,
175,4,reg,119,1148,1174,19M 8S,19M 34S,,
176,4,reg,126,1192,1262,19M 52S,21M 2S,,
177,4,reg,137,1300,1336,21M 40S,22M 16S,,
178,4,reg,143,1340,1342,22M 20S,22M 22S,,
