,participant,session,order,start,end,start_hms,end_hms,place,activity
1,1,reg,130,1108,1148,18M 28S,19M 8S,sk,
2,3,reg,64,1030,1032,17M 10S,17M 12S,stove,
3,8,reg,126,1016,1022,16M 56S,17M 2S,sk,
4,9,reg,477,3564,3662,59M 24S,1H 1M 2S,stove,
5,14,reg,523,4264,4310,1H 11M 4S,1H 11M 50S,stove,
6,17,reg,536,4708,4728,1H 18M 28S,1H 18M 48S,co,
7,18,reg,289,1424,1438,23M 44S,23M 58S,co,
8,18,reg,383,1822,1826,30M 22S,30M 26S,co,
9,19,reg,472,3702,3706,1H 1M 42S,1H 1M 46S,fl/tb,
10,2,new,380,4532,4626,1H 15M 32S,1H 17M 6S,stove,
11,2,new,418,4836,4840,1H 20M 36S,1H 20M 40S,stove,
12,3,new,136,1854,1866,30M 54S,31M 6S,stove,
13,3,new,166,2174,2178,36M 14S,36M 18S,stove,
14,5,new,158,4738,4798,1H 18M 58S,1H 19M 58S,co,
15,8,new,75,772,798,12M 52S,13M 18S,table,
16,10,new,105,1196,1200,19M 56S,20M 0S,co,
17,14,new,263,1892,1926,31M 32S,32M 6S,stove,
18,15,new,261,1598,1610,26M 38S,26M 50S,co,
19,18,new,483,2392,2400,39M 52S,40M 0S,sk,
20,NA,NA,NA,NA,NA,NA,NA,,
21,1,reg,100,798,806,13M 18S,13M 26S,,
22,1,reg,118,1006,1100,16M 46S,18M 20S,,
23,1,reg,158,1362,1370,22M 42S,22M 50S,,
24,1,reg,162,1372,1452,22M 52S,24M 12S,,
25,1,reg,204,2058,2118,34M 18S,35M 18S,,
26,3,reg,26,600,612,10M 0S,10M 12S,,
27,3,reg,33,670,676,11M 10S,11M 16S,,
28,3,reg,45,852,880,14M 12S,14M 40S,,
29,3,reg,56,978,984,16M 18S,16M 24S,,
30,3,reg,59,992,998,16M 32S,16M 38S,,
31,3,reg,63,1012,1022,16M 52S,17M 2S,,
32,3,reg,69,1056,1058,17M 36S,17M 38S,,
33,3,reg,72,1084,1100,18M 4S,18M 20S,,
34,3,reg,81,1180,1184,19M 40S,19M 44S,,
35,8,reg,135,1050,1074,17M 30S,17M 54S,,
36,9,reg,476,3560,3564,59M 20S,59M 24S,,
