,participant,session,order,start,end,start_hms,end_hms,place,activity
1,11,reg,132,1470,1490,24M 30S,24M 50S,co,
2,11,reg,218,2384,2404,39M 44S,40M 4S,fl/tb,
3,17,reg,687,6242,6246,1H 44M 2S,1H 44M 6S,co,
4,17,reg,696,6490,6508,1H 48M 10S,1H 48M 28S,co,
5,19,reg,330,2290,2292,38M 10S,38M 12S,co,
6,9,new,539,4638,4658,1H 17M 18S,1H 17M 38S,fl/tb,
7,10,new,124,1298,1304,21M 38S,21M 44S,co,
8,10,new,311,3174,3182,52M 54S,53M 2S,co,
9,10,new,617,5320,5324,1H 28M 40S,1H 28M 44S,co,
10,11,new,354,3428,3434,57M 8S,57M 14S,fl/tb,
11,11,new,511,4612,4620,1H 16M 52S,1H 17M 0S,fl/tb,
12,13,new,724,2696,2698,44M 56S,44M 58S,cpB,
13,NA,NA,NA,NA,NA,NA,NA,,
14,11,reg,7,88,92,1M 28S,1M 32S,,
15,11,reg,29,322,326,5M 22S,5M 26S,,
16,11,reg,73,932,936,15M 32S,15M 36S,,
17,11,reg,95,1192,1198,19M 52S,19M 58S,,
18,11,reg,140,1566,1590,26M 6S,26M 30S,,
19,11,reg,166,1762,1774,29M 22S,29M 34S,,
20,11,reg,171,1832,1840,30M 32S,30M 40S,,
21,11,reg,192,2044,2050,34M 4S,34M 10S,,
22,11,reg,197,2146,2150,35M 46S,35M 50S,,
23,11,reg,202,2188,2194,36M 28S,36M 34S,,
24,11,reg,210,2266,2280,37M 46S,38M 0S,,
25,11,reg,231,2438,2446,40M 38S,40M 46S,,
26,11,reg,275,2886,2894,48M 6S,48M 14S,,
27,17,reg,30,290,294,4M 50S,4M 54S,,
28,17,reg,243,2678,2686,44M 38S,44M 46S,,
29,17,reg,466,4006,4012,1H 6M 46S,1H 6M 52S,,
30,17,reg,643,5662,5676,1H 34M 22S,1H 34M 36S,,
31,17,reg,655,5800,5804,1H 36M 40S,1H 36M 44S,,
32,17,reg,658,5832,5836,1H 37M 12S,1H 37M 16S,,
33,17,reg,675,5998,6004,1H 39M 58S,1H 40M 4S,,
34,17,reg,679,6048,6050,1H 40M 48S,1H 40M 50S,,
35,17,reg,685,6106,6126,1H 41M 46S,1H 42M 6S,,
36,17,reg,690,6306,6312,1H 45M 6S,1H 45M 12S,,
37,19,reg,327,2274,2282,37M 54S,38M 2S,,
38,19,reg,355,2474,2484,41M 14S,41M 24S,,
39,19,reg,374,2574,2578,42M 54S,42M 58S,,
40,19,reg,389,2688,2692,44M 48S,44M 52S,,
41,19,reg,458,3434,3444,57M 14S,57M 24S,,
42,19,reg,463,3580,3584,59M 40S,59M 44S,,
43,19,reg,468,3680,3682,1H 1M 20S,1H 1M 22S,,
44,19,reg,517,4212,4224,1H 10M 12S,1H 10M 24S,,
45,10,new,6,44,50,44S,50S,,
46,10,new,20,144,148,2M 24S,2M 28S,,
47,10,new,55,670,674,11M 10S,11M 14S,,
48,10,new,115,1226,1228,20M 26S,20M 28S,,
49,10,new,203,2178,2180,36M 18S,36M 20S,,
50,10,new,256,2722,2724,45M 22S,45M 24S,,
51,10,new,259,2738,2740,45M 38S,45M 40S,,
52,10,new,271,2806,2808,46M 46S,46M 48S,,
53,10,new,285,2934,2944,48M 54S,49M 4S,,
54,10,new,295,3010,3020,50M 10S,50M 20S,,
55,10,new,320,3252,3260,54M 12S,54M 20S,,
56,10,new,340,3382,3386,56M 22S,56M 26S,,
57,10,new,362,3554,3556,59M 14S,59M 16S,,
58,10,new,405,3800,3804,1H 3M 20S,1H 3M 24S,,
59,10,new,440,4090,4092,1H 8M 10S,1H 8M 12S,,
60,10,new,465,4204,4208,1H 10M 4S,1H 10M 8S,,
61,10,new,490,4404,4406,1H 13M 24S,1H 13M 26S,,
62,10,new,550,4792,4794,1H 19M 52S,1H 19M 54S,,
63,10,new,573,5004,5008,1H 23M 24S,1H 23M 28S,,
64,10,new,604,5222,5228,1H 27M 2S,1H 27M 8S,,
65,10,new,626,5374,5378,1H 29M 34S,1H 29M 38S,,
66,10,new,657,5590,5618,1H 33M 10S,1H 33M 38S,,
67,10,new,671,5672,5676,1H 34M 32S,1H 34M 36S,,
68,10,new,682,5730,5736,1H 35M 30S,1H 35M 36S,,
69,10,new,717,5930,5948,1H 38M 50S,1H 39M 8S,,
70,11,new,27,288,294,4M 48S,4M 54S,,
71,11,new,83,910,914,15M 10S,15M 14S,,
72,11,new,131,1562,1568,26M 2S,26M 8S,,
73,11,new,171,1934,1942,32M 14S,32M 22S,,
74,11,new,244,2392,2430,39M 52S,40M 30S,,
75,11,new,279,2588,2592,43M 8S,43M 12S,,
76,11,new,284,2630,2644,43M 50S,44M 4S,,
77,11,new,372,3498,3504,58M 18S,58M 24S,,
78,11,new,400,3724,3742,1H 2M 4S,1H 2M 22S,,
79,11,new,409,3778,3788,1H 2M 58S,1H 3M 8S,,
80,11,new,469,4308,4310,1H 11M 48S,1H 11M 50S,,
81,11,new,530,4710,4718,1H 18M 30S,1H 18M 38S,,
82,11,new,562,4882,4890,1H 21M 22S,1H 21M 30S,,
83,13,new,723,2694,2696,44M 54S,44M 56S,,
