,participant,session,order,start,end,start_hms,end_hms,place,activity
1,1,reg,49,318,322,5M 18S,5M 22S,cpB,
2,1,reg,205,2068,2070,34M 28S,34M 30S,stove,
3,2,reg,204,2584,2590,43M 4S,43M 10S,stove,
4,2,reg,251,2932,2936,48M 52S,48M 56S,stove,
5,6,reg,9,86,91,1M 26S,1M 31S,stove,
6,9,reg,71,508,522,8M 28S,8M 42S,stove,
7,9,reg,432,3180,3186,53M 0S,53M 6S,stove,
8,12,reg,371,3914,3918,1H 5M 14S,1H 5M 18S,stove,
9,12,reg,423,4406,4408,1H 13M 26S,1H 13M 28S,stove,
10,13,reg,274,1782,1786,29M 42S,29M 46S,stove,
11,14,reg,240,2358,2366,39M 18S,39M 26S,stove,
12,14,reg,455,3758,3760,1H 2M 38S,1H 2M 40S,stove,
13,14,reg,538,4376,4378,1H 12M 56S,1H 12M 58S,stove,
14,15,reg,500,2920,2932,48M 40S,48M 52S,stove,
15,17,reg,406,3648,3652,1H 0M 48S,1H 0M 52S,stove,
16,17,reg,478,4092,4094,1H 8M 12S,1H 8M 14S,stove,
17,18,reg,177,732,886,12M 12S,14M 46S,sk,
18,18,reg,519,2322,2324,38M 42S,38M 44S,sk,
19,19,reg,194,1538,1546,25M 38S,25M 46S,stove,
20,20,reg,177,1468,1472,24M 28S,24M 32S,stove,
21,20,reg,525,3526,3528,58M 46S,58M 48S,stove,
22,2,new,240,3242,3244,54M 2S,54M 4S,sk,
23,2,new,256,3582,3594,59M 42S,59M 54S,stove,
24,2,new,422,4862,4864,1H 21M 2S,1H 21M 4S,stove,
25,3,new,107,1584,1608,26M 24S,26M 48S,stove,
26,3,new,135,1848,1850,30M 48S,30M 50S,stove,
27,4,new,223,2130,2136,35M 30S,35M 36S,cpB,
28,6,new,124,2332,2344,38M 52S,39M 4S,sk,
29,7,new,78,1746,1748,29M 6S,29M 8S,stove,
30,9,new,444,2946,2948,49M 6S,49M 8S,stove,
31,10,new,811,6522,6526,1H 48M 42S,1H 48M 46S,stove,
32,11,new,489,4446,4470,1H 14M 6S,1H 14M 30S,stove,
33,12,new,345,4206,4208,1H 10M 6S,1H 10M 8S,stove,
34,13,new,386,1450,1456,24M 10S,24M 16S,co,
35,13,new,617,2336,2338,38M 56S,38M 58S,stove,
36,13,new,734,2720,2724,45M 20S,45M 24S,stove,
37,14,new,218,1604,1622,26M 44S,27M 2S,stove,
38,14,new,387,3090,3092,51M 30S,51M 32S,stove,
39,15,new,172,1052,1054,17M 32S,17M 34S,stove,
40,15,new,318,1946,1948,32M 26S,32M 28S,stove,
41,16,new,147,2688,2700,44M 48S,45M 0S,stove,
42,17,new,374,4344,4346,1H 12M 24S,1H 12M 26S,stove,
43,18,new,175,1046,1052,17M 26S,17M 32S,stove,
44,18,new,783,4602,4622,1H 16M 42S,1H 17M 2S,sk,
45,20,new,152,4416,4418,1H 13M 36S,1H 13M 38S,stove,
46,NA,NA,NA,NA,NA,NA,NA,,
47,1,reg,10,62,68,1M 2S,1M 8S,,
48,1,reg,90,718,724,11M 58S,12M 4S,,
49,1,reg,91,728,730,12M 8S,12M 10S,,
50,1,reg,98,788,790,13M 8S,13M 10S,,
51,1,reg,103,812,814,13M 32S,13M 34S,,
52,1,reg,113,936,940,15M 36S,15M 40S,,
53,1,reg,116,978,982,16M 18S,16M 22S,,
