,participant,session,order,start,end,start_hms,end_hms,place,activity
1,3,reg,44,844,848,14M 4S,14M 8S,fl/tb,
2,3,reg,70,1060,1082,17M 40S,18M 2S,fl/tb,
3,7,reg,139,5194,5222,1H 26M 34S,1H 27M 2S,fl/tb,
4,9,reg,353,2618,2622,43M 38S,43M 42S,table,
5,9,reg,472,3520,3556,58M 40S,59M 16S,table,
6,10,reg,34,244,246,4M 4S,4M 6S,co,
7,11,reg,27,316,318,5M 16S,5M 18S,fl/tb,
8,12,reg,254,2838,2862,47M 18S,47M 42S,fl/tb,
9,14,reg,513,4142,4242,1H 9M 2S,1H 10M 42S,fl/tb,
10,17,reg,638,5560,5608,1H 32M 40S,1H 33M 28S,fl/tb,
11,18,reg,558,2448,2498,40M 48S,41M 38S,fl/tb,
12,1,new,263,1936,1938,32M 16S,32M 18S,co,
13,2,new,60,626,692,10M 26S,11M 32S,fl/tb,
14,3,new,138,1866,1874,31M 6S,31M 14S,fl/tb,
15,4,new,118,1334,1342,22M 14S,22M 22S,co,
16,4,new,171,1768,1780,29M 28S,29M 40S,fl/tb,
17,5,new,51,1680,1744,28M 0S,29M 4S,fl/tb,
18,5,new,183,5302,5322,1H 28M 22S,1H 28M 42S,fl/tb,
19,7,new,50,1358,1466,22M 38S,24M 26S,fl/tb,
20,8,new,64,608,648,10M 8S,10M 48S,fl/tb,
21,8,new,81,868,872,14M 28S,14M 32S,fl/tb,
22,9,new,457,3126,3138,52M 6S,52M 18S,fl/tb,
23,10,new,32,254,290,4M 14S,4M 50S,fl/tb,
24,11,new,517,4652,4656,1H 17M 32S,1H 17M 36S,co,
25,13,new,3,22,24,22S,24S,co,
26,14,new,406,3250,3376,54M 10S,56M 16S,fl/tb,
27,17,new,217,2914,2926,48M 34S,48M 46S,fl/tb,
28,18,new,3,72,132,1M 12S,2M 12S,fl/tb,
29,18,new,104,626,650,10M 26S,10M 50S,co,
30,18,new,394,2012,2096,33M 32S,34M 56S,fl/tb,
31,18,new,478,2382,2394,39M 42S,39M 54S,fl/tb,
32,18,new,704,4016,4072,1H 6M 56S,1H 7M 52S,fl/tb,
33,18,new,793,4696,4708,1H 18M 16S,1H 18M 28S,fl/tb,
34,NA,NA,NA,NA,NA,NA,NA,,
35,3,reg,5,30,36,30S,36S,,
36,3,reg,13,244,246,4M 4S,4M 6S,,
