,participant,session,order,start,end,start_hms,end_hms,place,activity
1,2,reg,63,1016,1022,16M 56S,17M 2S,sk,
2,9,new,525,4480,4488,1H 14M 40S,1H 14M 48S,table,
3,10,new,40,356,620,5M 56S,10M 20S,stove,
4,15,new,288,1814,1818,30M 14S,30M 18S,co,
5,15,new,352,2178,2208,36M 18S,36M 48S,co,
6,18,new,91,538,544,8M 58S,9M 4S,co,
7,18,new,174,1044,1052,17M 24S,17M 32S,co,
8,18,new,251,1428,1440,23M 48S,24M 0S,co,
9,18,new,285,1646,1668,27M 26S,27M 48S,co,
10,18,new,418,2168,2176,36M 8S,36M 16S,sk,
11,NA,NA,NA,NA,NA,NA,NA,,
12,2,reg,54,782,1034,13M 2S,17M 14S,,
13,2,reg,221,2714,2732,45M 14S,45M 32S,,
14,2,reg,238,2834,2840,47M 14S,47M 20S,,
15,10,new,5,36,42,36S,42S,,
16,10,new,23,192,196,3M 12S,3M 16S,,
17,10,new,36,316,340,5M 16S,5M 40S,,
18,10,new,52,626,646,10M 26S,10M 46S,,
19,10,new,60,702,864,11M 42S,14M 24S,,
20,10,new,70,892,1034,14M 52S,17M 14S,,
21,10,new,130,1316,1360,21M 56S,22M 40S,,
22,10,new,807,6490,6496,1H 48M 10S,1H 48M 16S,,
23,15,new,190,1108,1120,18M 28S,18M 40S,,
24,15,new,201,1186,1192,19M 46S,19M 52S,,
25,15,new,284,1802,1810,30M 2S,30M 10S,,
26,15,new,290,1824,1828,30M 24S,30M 28S,,
27,15,new,295,1836,1840,30M 36S,30M 40S,,
28,15,new,298,1846,1848,30M 46S,30M 48S,,
29,15,new,300,1858,1884,30M 58S,31M 24S,,
30,15,new,308,1916,1920,31M 56S,32M 0S,,
31,15,new,310,1922,1936,32M 2S,32M 16S,,
32,15,new,316,1942,1944,32M 22S,32M 24S,,
33,15,new,319,1950,1954,32M 30S,32M 34S,,
34,15,new,354,2212,2218,36M 52S,36M 58S,,
35,15,new,388,2384,2416,39M 44S,40M 16S,,
36,18,new,77,454,464,7M 34S,7M 44S,,
37,18,new,83,494,500,8M 14S,8M 20S,,
38,18,new,96,588,590,9M 48S,9M 50S,,
39,18,new,111,692,694,11M 32S,11M 34S,,
40,18,new,118,738,740,12M 18S,12M 20S,,
41,18,new,126,778,780,12M 58S,13M 0S,,
42,18,new,133,816,818,13M 36S,13M 38S,,
43,18,new,140,860,862,14M 20S,14M 22S,,
44,18,new,144,896,898,14M 56S,14M 58S,,
45,18,new,146,942,944,15M 42S,15M 44S,,
46,18,new,147,960,962,16M 0S,16M 2S,,
47,18,new,149,964,966,16M 4S,16M 6S,,
48,18,new,156,992,1014,16M 32S,16M 54S,,
49,18,new,187,1086,1112,18M 6S,18M 32S,,
50,18,new,191,1120,1132,18M 40S,18M 52S,,
51,18,new,196,1136,1156,18M 56S,19M 16S,,
52,18,new,216,1222,1248,20M 22S,20M 48S,,
53,18,new,217,1250,1304,20M 50S,21M 44S,,
54,18,new,224,1318,1350,21M 58S,22M 30S,,
55,18,new,234,1358,1360,22M 38S,22M 40S,,
56,18,new,237,1362,1408,22M 42S,23M 28S,,
57,18,new,249,1412,1418,23M 32S,23M 38S,,
58,18,new,252,1446,1524,24M 6S,25M 24S,,
59,18,new,260,1532,1534,25M 32S,25M 34S,,
60,18,new,262,1542,1546,25M 42S,25M 46S,,
61,18,new,264,1550,1554,25M 50S,25M 54S,,
62,18,new,270,1574,1584,26M 14S,26M 24S,,
63,18,new,273,1592,1612,26M 32S,26M 52S,,
64,18,new,284,1636,1644,27M 16S,27M 24S,,
65,18,new,291,1676,1688,27M 56S,28M 8S,,
66,18,new,296,1690,1698,28M 10S,28M 18S,,
67,18,new,298,1700,1736,28M 20S,28M 56S,,
68,18,new,312,1744,1746,29M 4S,29M 6S,,
69,18,new,314,1750,1752,29M 10S,29M 12S,,
70,18,new,318,1762,1764,29M 22S,29M 24S,,
71,18,new,321,1768,1794,29M 28S,29M 54S,,
72,18,new,335,1800,1802,30M 0S,30M 2S,,
73,18,new,340,1812,1822,30M 12S,30M 22S,,
74,18,new,347,1828,1832,30M 28S,30M 32S,,
75,18,new,352,1836,1848,30M 36S,30M 48S,,
76,18,new,359,1848,1852,30M 48S,30M 52S,,
77,18,new,363,1854,1856,30M 54S,30M 56S,,
78,18,new,367,1874,1992,31M 14S,33M 12S,,
79,18,new,417,2164,2168,36M 4S,36M 8S,,
