,participant,session,order,start,end,start_hms,end_hms,place,activity
1,4,reg,69,738,740,12M 18S,12M 20S,co,
2,4,reg,196,1618,1628,26M 58S,27M 8S,co,
3,14,reg,193,1486,1502,24M 46S,25M 2S,co,
4,15,reg,211,990,998,16M 30S,16M 38S,co,
5,20,reg,453,2994,2998,49M 54S,49M 58S,co,
6,20,reg,483,3156,3158,52M 36S,52M 38S,co,
7,6,new,4,24,36,24S,36S,co,
8,6,new,170,2806,2810,46M 46S,46M 50S,co,
9,6,new,255,3842,3854,1H 4M 2S,1H 4M 14S,co,
10,6,new,322,4880,4888,1H 21M 20S,1H 21M 28S,co,
11,11,new,108,1176,1182,19M 36S,19M 42S,co,
12,11,new,168,1908,1912,31M 48S,31M 52S,co,
13,11,new,248,2422,2430,40M 22S,40M 30S,co,
14,11,new,471,4310,4316,1H 11M 50S,1H 11M 56S,co,
15,14,new,119,684,686,11M 24S,11M 26S,co,
16,14,new,223,1626,1638,27M 6S,27M 18S,co,
17,14,new,302,2540,2544,42M 20S,42M 24S,co,
18,15,new,66,336,342,5M 36S,5M 42S,co,
19,15,new,125,776,780,12M 56S,13M 0S,co,
20,15,new,203,1194,1204,19M 54S,20M 4S,co,
21,15,new,291,1828,1834,30M 28S,30M 34S,co,
22,16,new,17,1616,1626,26M 56S,27M 6S,co,
23,16,new,93,2318,2326,38M 38S,38M 46S,co,
24,16,new,288,3880,3890,1H 4M 40S,1H 4M 50S,co,
25,20,new,87,3958,3960,1H 5M 58S,1H 6M 0S,co,
26,NA,NA,NA,NA,NA,NA,NA,,
27,4,reg,5,24,26,24S,26S,,
28,4,reg,20,74,80,1M 14S,1M 20S,,
29,4,reg,80,806,808,13M 26S,13M 28S,,
30,4,reg,85,850,866,14M 10S,14M 26S,,
31,4,reg,89,898,904,14M 58S,15M 4S,,
32,4,reg,91,932,934,15M 32S,15M 34S,,
33,4,reg,104,1046,1052,17M 26S,17M 32S,,
34,4,reg,117,1136,1142,18M 56S,19M 2S,,
35,4,reg,148,1360,1362,22M 40S,22M 42S,,
36,4,reg,157,1414,1416,23M 34S,23M 36S,,
37,4,reg,235,1866,1870,31M 6S,31M 10S,,
38,4,reg,243,1970,1976,32M 50S,32M 56S,,
39,4,reg,256,2046,2048,34M 6S,34M 8S,,
40,14,reg,8,72,74,1M 12S,1M 14S,,
41,14,reg,9,78,80,1M 18S,1M 20S,,
42,14,reg,232,2274,2354,37M 54S,39M 14S,,
43,14,reg,514,4160,4164,1H 9M 20S,1H 9M 24S,,
44,14,reg,524,4266,4268,1H 11M 6S,1H 11M 8S,,
45,20,reg,232,1706,1732,28M 26S,28M 52S,,
46,20,reg,240,1780,1782,29M 40S,29M 42S,,
47,20,reg,241,1796,1800,29M 56S,30M 0S,,
48,20,reg,242,1806,1812,30M 6S,30M 12S,,
49,20,reg,382,2556,2558,42M 36S,42M 38S,,
50,20,reg,393,2630,2632,43M 50S,43M 52S,,
51,20,reg,403,2674,2682,44M 34S,44M 42S,,
52,20,reg,435,2886,2888,48M 6S,48M 8S,,
53,20,reg,437,2896,2900,48M 16S,48M 20S,,
54,20,reg,468,3092,3094,51M 32S,51M 34S,,
55,20,reg,480,3136,3142,52M 16S,52M 22S,,
56,6,new,3,12,14,12S,14S,,
57,6,new,9,62,64,1M 2S,1M 4S,,
58,6,new,14,472,488,7M 52S,8M 8S,,
59,6,new,32,782,784,13M 2S,13M 4S,,
60,6,new,38,798,802,13M 18S,13M 22S,,
61,6,new,57,972,978,16M 12S,16M 18S,,
62,6,new,75,1398,1402,23M 18S,23M 22S,,
63,6,new,78,1430,1436,23M 50S,23M 56S,,
64,6,new,95,1860,1870,31M 0S,31M 10S,,
65,6,new,99,1920,1930,32M 0S,32M 10S,,
66,6,new,105,1974,1976,32M 54S,32M 56S,,
67,6,new,116,2032,2038,33M 52S,33M 58S,,
68,6,new,130,2376,2380,39M 36S,39M 40S,,
69,6,new,134,2428,2444,40M 28S,40M 44S,,
70,6,new,153,2552,2556,42M 32S,42M 36S,,
71,6,new,155,2570,2582,42M 50S,43M 2S,,
72,6,new,179,2982,3000,49M 42S,50M 0S,,
73,6,new,190,3038,3042,50M 38S,50M 42S,,
74,6,new,196,3150,3192,52M 30S,53M 12S,,
75,6,new,201,3234,3238,53M 54S,53M 58S,,
76,6,new,213,3328,3362,55M 28S,56M 2S,,
77,6,new,217,3372,3382,56M 12S,56M 22S,,
78,6,new,231,3546,3608,59M 6S,1H 0M 8S,,
79,6,new,238,3580,3582,59M 40S,59M 42S,,
80,6,new,259,3884,3886,1H 4M 44S,1H 4M 46S,,
81,6,new,278,4070,4080,1H 7M 50S,1H 8M 0S,,
82,6,new,303,4346,4360,1H 12M 26S,1H 12M 40S,,
83,6,new,320,4860,4864,1H 21M 0S,1H 21M 4S,,
84,6,new,326,4936,4942,1H 22M 16S,1H 22M 22S,,
85,6,new,354,5222,5228,1H 27M 2S,1H 27M 8S,,
86,11,new,1,24,122,24S,2M 2S,,
87,11,new,9,166,184,2M 46S,3M 4S,,
88,11,new,22,256,260,4M 16S,4M 20S,,
89,11,new,38,452,456,7M 32S,7M 36S,,
90,11,new,60,760,772,12M 40S,12M 52S,,
91,11,new,67,804,812,13M 24S,13M 32S,,
92,11,new,79,878,884,14M 38S,14M 44S,,
93,11,new,99,1046,1052,17M 26S,17M 32S,,
94,11,new,118,1258,1280,20M 58S,21M 20S,,
95,11,new,128,1540,1544,25M 40S,25M 44S,,
96,11,new,130,1554,1570,25M 54S,26M 10S,,
97,11,new,135,1574,1578,26M 14S,26M 18S,,
98,11,new,138,1584,1586,26M 24S,26M 26S,,
99,11,new,141,1594,1616,26M 34S,26M 56S,,
100,11,new,163,1886,1888,31M 26S,31M 28S,,
101,11,new,170,1918,1934,31M 58S,32M 14S,,
102,11,new,189,2088,2090,34M 48S,34M 50S,,
103,11,new,206,2162,2166,36M 2S,36M 6S,,
104,11,new,211,2196,2208,36M 36S,36M 48S,,
105,11,new,234,2350,2352,39M 10S,39M 12S,,
106,11,new,246,2398,2406,39M 58S,40M 6S,,
107,11,new,270,2530,2536,42M 10S,42M 16S,,
108,11,new,278,2584,2590,43M 4S,43M 10S,,
109,11,new,286,2636,2640,43M 56S,44M 0S,,
110,11,new,287,2644,2666,44M 4S,44M 26S,,
111,11,new,293,2688,2690,44M 48S,44M 50S,,
112,11,new,405,3752,3754,1H 2M 32S,1H 2M 34S,,
113,11,new,507,4572,4574,1H 16M 12S,1H 16M 14S,,
114,11,new,513,4628,4638,1H 17M 8S,1H 17M 18S,,
115,14,new,2,12,38,12S,38S,,
116,14,new,25,182,184,3M 2S,3M 4S,,
117,14,new,78,470,472,7M 50S,7M 52S,,
118,14,new,82,558,560,9M 18S,9M 20S,,
119,14,new,91,568,572,9M 28S,9M 32S,,
120,14,new,104,640,644,10M 40S,10M 44S,,
121,14,new,107,646,648,10M 46S,10M 48S,,
122,14,new,111,658,674,10M 58S,11M 14S,,
123,14,new,120,696,702,11M 36S,11M 42S,,
124,14,new,130,786,796,13M 6S,13M 16S,,
125,14,new,137,846,858,14M 6S,14M 18S,,
126,14,new,141,864,866,14M 24S,14M 26S,,
127,14,new,157,990,992,16M 30S,16M 32S,,
128,14,new,164,1062,1070,17M 42S,17M 50S,,
129,14,new,166,1072,1088,17M 52S,18M 8S,,
130,14,new,207,1524,1530,25M 24S,25M 30S,,
131,14,new,277,1978,1982,32M 58S,33M 2S,,
132,14,new,283,2022,2026,33M 42S,33M 46S,,
133,14,new,285,2030,2060,33M 50S,34M 20S,,
134,14,new,287,2078,2096,34M 38S,34M 56S,,
135,14,new,306,2548,2552,42M 28S,42M 32S,,
136,14,new,349,2926,2936,48M 46S,48M 56S,,
137,14,new,365,2978,2984,49M 38S,49M 44S,,
138,14,new,377,3050,3066,50M 50S,51M 6S,,
139,14,new,397,3124,3126,52M 4S,52M 6S,,
140,14,new,428,3480,3486,58M 0S,58M 6S,,
141,15,new,4,60,68,1M 0S,1M 8S,,
142,15,new,7,80,90,1M 20S,1M 30S,,
143,15,new,24,166,170,2M 46S,2M 50S,,
144,15,new,47,242,244,4M 2S,4M 4S,,
145,15,new,48,246,250,4M 6S,4M 10S,,
146,15,new,56,288,296,4M 48S,4M 56S,,
147,15,new,76,420,436,7M 0S,7M 16S,,
148,15,new,79,450,458,7M 30S,7M 38S,,
149,15,new,80,474,476,7M 54S,7M 56S,,
150,15,new,90,530,546,8M 50S,9M 6S,,
151,15,new,105,662,668,11M 2S,11M 8S,,
152,15,new,130,796,802,13M 16S,13M 22S,,
153,15,new,135,818,824,13M 38S,13M 44S,,
