,participant,session,order,start,end,start_hms,end_hms,place,activity
1,1,reg,184,1740,1750,29M 0S,29M 10S,co,
2,2,reg,310,4212,4216,1H 10M 12S,1H 10M 16S,co,
3,4,reg,67,732,740,12M 12S,12M 20S,co,
4,5,reg,21,180,186,3M 0S,3M 6S,co,
5,7,reg,109,3650,3704,1H 0M 50S,1H 1M 44S,co,
6,8,reg,18,188,198,3M 8S,3M 18S,co,
7,9,reg,397,2946,2948,49M 6S,49M 8S,co,
8,9,reg,501,3900,3926,1H 5M 0S,1H 5M 26S,co,
9,10,reg,232,1854,1858,30M 54S,30M 58S,co,
10,11,reg,156,1708,1710,28M 28S,28M 30S,co,
11,11,reg,286,2942,2956,49M 2S,49M 16S,fl/tb,
12,12,reg,206,2332,2336,38M 52S,38M 56S,co,
13,13,reg,277,1790,1806,29M 50S,30M 6S,fl/tb,
14,14,reg,66,478,488,7M 58S,8M 8S,sk,
15,17,reg,209,2502,2504,41M 42S,41M 44S,floor,
16,18,reg,22,146,148,2M 26S,2M 28S,co,
17,19,reg,354,2472,2474,41M 12S,41M 14S,stove,
18,20,reg,300,2118,2122,35M 18S,35M 22S,fl/tb,
19,20,reg,451,2992,2994,49M 52S,49M 54S,co,
20,2,new,64,710,712,11M 50S,11M 52S,stove,
21,3,new,151,2012,2026,33M 32S,33M 46S,fl/tb,
22,4,new,104,1226,1228,20M 26S,20M 28S,fl/tb,
23,4,new,308,2632,2634,43M 52S,43M 54S,co,
24,5,new,49,1658,1666,27M 38S,27M 46S,co,
25,6,new,249,3802,3804,1H 3M 22S,1H 3M 24S,stove,
26,6,new,338,5098,5100,1H 24M 58S,1H 25M 0S,stov,
27,8,new,48,480,484,8M 0S,8M 4S,co,
28,9,new,42,400,412,6M 40S,6M 52S,floor,
29,9,new,483,3922,3924,1H 5M 22S,1H 5M 24S,sk,
30,10,new,475,4282,4312,1H 11M 22S,1H 11M 52S,floor,
31,10,new,804,6480,6486,1H 48M 0S,1H 48M 6S,co,
32,11,new,269,2528,2530,42M 8S,42M 10S,co,
33,11,new,500,4530,4534,1H 15M 30S,1H 15M 34S,stove,
34,12,new,98,950,958,15M 50S,15M 58S,fl/tb,
35,13,new,55,280,282,4M 40S,4M 42S,co,
36,13,new,547,2048,2050,34M 8S,34M 10S,sk,
37,14,new,175,1140,1156,19M 0S,19M 16S,sk,
38,16,new,49,1868,2030,31M 8S,33M 50S,fl/tb,
39,17,new,216,2906,2910,48M 26S,48M 30S,fl/tb,
40,18,new,413,2132,2134,35M 32S,35M 34S,co,
41,18,new,756,4468,4470,1H 14M 28S,1H 14M 30S,co,
42,18,new,809,4742,4744,1H 19M 2S,1H 19M 4S,sk,
43,19,new,285,2346,2348,39M 6S,39M 8S,stove,
44,20,new,86,3956,3958,1H 5M 56S,1H 5M 58S,sk,
45,NA,NA,NA,NA,NA,NA,NA,,
46,2,reg,17,194,208,3M 14S,3M 28S,,
47,2,reg,237,2808,2878,46M 48S,47M 58S,,
48,2,reg,277,3296,3308,54M 56S,55M 8S,,
49,4,reg,35,164,168,2M 44S,2M 48S,,
50,4,reg,48,284,288,4M 44S,4M 48S,,
51,4,reg,176,1498,1512,24M 58S,25M 12S,,
52,4,reg,184,1536,1646,25M 36S,27M 26S,,
53,4,reg,209,1680,1700,28M 0S,28M 20S,,
54,4,reg,261,2080,2082,34M 40S,34M 42S,,
55,4,reg,276,2274,2350,37M 54S,39M 10S,,
56,4,reg,307,2686,2690,44M 46S,44M 50S,,
57,7,reg,107,2902,2910,48M 22S,48M 30S,,
58,7,reg,118,4170,4222,1H 9M 30S,1H 10M 22S,,
59,7,reg,132,4852,4856,1H 20M 52S,1H 20M 56S,,
60,8,reg,13,162,164,2M 42S,2M 44S,,
61,8,reg,72,608,610,10M 8S,10M 10S,,
62,8,reg,120,932,936,15M 32S,15M 36S,,
63,8,reg,150,1174,1176,19M 34S,19M 36S,,
64,8,reg,200,1560,1596,26M 0S,26M 36S,,
65,9,reg,3,32,36,32S,36S,,
66,9,reg,12,102,110,1M 42S,1M 50S,,
67,9,reg,40,288,290,4M 48S,4M 50S,,
68,9,reg,116,848,854,14M 8S,14M 14S,,
69,9,reg,200,1412,1420,23M 32S,23M 40S,,
70,9,reg,231,1536,1538,25M 36S,25M 38S,,
71,9,reg,427,3110,3120,51M 50S,52M 0S,,
72,9,reg,442,3270,3272,54M 30S,54M 32S,,
73,9,reg,447,3312,3324,55M 12S,55M 24S,,
74,10,reg,86,762,768,12M 42S,12M 48S,,
75,10,reg,93,792,794,13M 12S,13M 14S,,
76,10,reg,105,904,906,15M 4S,15M 6S,,
77,10,reg,124,972,974,16M 12S,16M 14S,,
78,10,reg,178,1350,1374,22M 30S,22M 54S,,
79,10,reg,204,1592,1610,26M 32S,26M 50S,,
80,10,reg,240,1928,1930,32M 8S,32M 10S,,
81,10,reg,253,2026,2030,33M 46S,33M 50S,,
82,11,reg,15,136,138,2M 16S,2M 18S,,
83,11,reg,31,358,360,5M 58S,6M 0S,,
84,11,reg,42,476,488,7M 56S,8M 8S,,
85,11,reg,70,918,922,15M 18S,15M 22S,,
86,11,reg,77,944,950,15M 44S,15M 50S,,
87,11,reg,83,1070,1072,17M 50S,17M 52S,,
88,11,reg,87,1126,1130,18M 46S,18M 50S,,
89,11,reg,129,1462,1464,24M 22S,24M 24S,,
90,11,reg,235,2452,2498,40M 52S,41M 38S,,
91,11,reg,266,2810,2812,46M 50S,46M 52S,,
92,11,reg,298,2998,3004,49M 58S,50M 4S,,
93,11,reg,299,3004,3016,50M 4S,50M 16S,,
94,11,reg,305,3072,3074,51M 12S,51M 14S,,
95,11,reg,318,3290,3292,54M 50S,54M 52S,,
96,11,reg,322,3410,3414,56M 50S,56M 54S,,
97,14,reg,35,260,262,4M 20S,4M 22S,,
98,14,reg,91,728,740,12M 8S,12M 20S,,
99,14,reg,134,1136,1140,18M 56S,19M 0S,,
100,14,reg,205,1664,1688,27M 44S,28M 8S,,
101,14,reg,401,3442,3446,57M 22S,57M 26S,,
102,14,reg,453,3750,3756,1H 2M 30S,1H 2M 36S,,
103,17,reg,36,396,400,6M 36S,6M 40S,,
104,17,reg,358,3432,3434,57M 12S,57M 14S,,
105,17,reg,374,3500,3502,58M 20S,58M 22S,,
106,18,reg,19,126,136,2M 6S,2M 16S,,
107,18,reg,202,888,894,14M 48S,14M 54S,,
108,18,reg,207,952,954,15M 52S,15M 54S,,
109,18,reg,220,988,1012,16M 28S,16M 52S,,
110,18,reg,227,1018,1028,16M 58S,17M 8S,,
111,18,reg,336,1636,1638,27M 16S,27M 18S,,
112,18,reg,337,1636,1640,27M 16S,27M 20S,,
113,18,reg,387,1826,1828,30M 26S,30M 28S,,
114,18,reg,511,2312,2314,38M 32S,38M 34S,,
115,20,reg,16,116,118,1M 56S,1M 58S,,
116,20,reg,38,246,250,4M 6S,4M 10S,,
117,20,reg,45,270,280,4M 30S,4M 40S,,
118,20,reg,87,508,510,8M 28S,8M 30S,,
119,20,reg,108,778,784,12M 58S,13M 4S,,
120,20,reg,150,1014,1028,16M 54S,17M 8S,,
121,20,reg,192,1546,1552,25M 46S,25M 52S,,
122,20,reg,236,1740,1742,29M 0S,29M 2S,,
123,20,reg,256,1972,1976,32M 52S,32M 56S,,
124,20,reg,370,2496,2498,41M 36S,41M 38S,,
125,20,reg,376,2518,2522,41M 58S,42M 2S,,
126,20,reg,392,2626,2628,43M 46S,43M 48S,,
127,20,reg,402,2672,2674,44M 32S,44M 34S,,
128,20,reg,410,2694,2706,44M 54S,45M 6S,,
129,20,reg,414,2722,2726,45M 22S,45M 26S,,
130,20,reg,429,2862,2866,47M 42S,47M 46S,,
131,20,reg,442,2910,2918,48M 30S,48M 38S,,
132,20,reg,492,3320,3326,55M 20S,55M 26S,,
133,2,new,34,332,348,5M 32S,5M 48S,,
134,2,new,36,358,360,5M 58S,6M 0S,,
135,2,new,43,434,448,7M 14S,7M 28S,,
136,2,new,71,788,790,13M 8S,13M 10S,,
137,3,new,91,1340,1344,22M 20S,22M 24S,,
138,3,new,159,2116,2128,35M 16S,35M 28S,,
139,4,new,40,366,370,6M 6S,6M 10S,,
140,4,new,43,374,376,6M 14S,6M 16S,,
141,4,new,52,480,486,8M 0S,8M 6S,,
142,4,new,54,492,494,8M 12S,8M 14S,,
143,4,new,61,574,576,9M 34S,9M 36S,,
144,4,new,90,1140,1142,19M 0S,19M 2S,,
145,4,new,92,1160,1162,19M 20S,19M 22S,,
146,4,new,232,2168,2176,36M 8S,36M 16S,,
147,4,new,253,2236,2240,37M 16S,37M 20S,,
148,4,new,259,2266,2292,37M 46S,38M 12S,,
149,4,new,294,2546,2574,42M 26S,42M 54S,,
150,4,new,302,2600,2602,43M 20S,43M 22S,,
151,4,new,313,2666,2680,44M 26S,44M 40S,,
152,4,new,314,2712,2728,45M 12S,45M 28S,,
153,4,new,356,2996,2998,49M 56S,49M 58S,,
154,4,new,361,3044,3046,50M 44S,50M 46S,,
155,6,new,31,770,776,12M 50S,12M 56S,,
156,6,new,114,2030,2032,33M 50S,33M 52S,,
157,6,new,210,3296,3298,54M 56S,54M 58S,,
158,6,new,216,3366,3368,56M 6S,56M 8S,,
159,6,new,254,3840,3842,1H 4M 0S,1H 4M 2S,,
160,6,new,262,3942,3944,1H 5M 42S,1H 5M 44S,,
161,6,new,270,3992,3994,1H 6M 32S,1H 6M 34S,,
162,6,new,287,4224,4224,1H 10M 24S,1H 10M 24S,,
163,6,new,335,5074,5076,1H 24M 34S,1H 24M 36S,,
164,6,new,344,5126,5128,1H 25M 26S,1H 25M 28S,,
165,6,new,346,5134,5136,1H 25M 34S,1H 25M 36S,,
166,8,new,35,328,354,5M 28S,5M 54S,,
167,8,new,51,494,498,8M 14S,8M 18S,,
168,8,new,56,554,556,9M 14S,9M 16S,,
169,8,new,61,600,606,10M 0S,10M 6S,,
170,8,new,69,736,738,12M 16S,12M 18S,,
171,8,new,83,886,888,14M 46S,14M 48S,,
172,8,new,140,1418,1424,23M 38S,23M 44S,,
173,9,new,7,148,152,2M 28S,2M 32S,,
174,9,new,9,156,164,2M 36S,2M 44S,,
175,9,new,62,542,554,9M 2S,9M 14S,,
176,9,new,111,790,798,13M 10S,13M 18S,,
177,9,new,128,856,860,14M 16S,14M 20S,,
178,9,new,253,1438,1450,23M 58S,24M 10S,,
179,9,new,288,1640,1648,27M 20S,27M 28S,,
180,9,new,359,2178,2204,36M 18S,36M 44S,,
181,9,new,460,3162,3170,52M 42S,52M 50S,,
182,10,new,131,1360,1368,22M 40S,22M 48S,,
183,10,new,158,1684,1694,28M 4S,28M 14S,,
184,10,new,232,2450,2456,40M 50S,40M 56S,,
185,10,new,383,3702,3710,1H 1M 42S,1H 1M 50S,,
186,10,new,423,3904,3918,1H 5M 4S,1H 5M 18S,,
187,10,new,451,4152,4162,1H 9M 12S,1H 9M 22S,,
188,10,new,479,4334,4352,1H 12M 14S,1H 12M 32S,,
189,10,new,564,4912,4938,1H 21M 52S,1H 22M 18S,,
190,10,new,627,5388,5402,1H 29M 48S,1H 30M 2S,,
191,10,new,693,5808,5812,1H 36M 48S,1H 36M 52S,,
192,10,new,704,5858,5872,1H 37M 38S,1H 37M 52S,,
193,10,new,723,5980,5984,1H 39M 40S,1H 39M 44S,,
194,10,new,779,6324,6328,1H 45M 24S,1H 45M 28S,,
195,10,new,808,6498,6522,1H 48M 18S,1H 48M 42S,,
196,11,new,45,650,652,10M 50S,10M 52S,,
197,11,new,102,1112,1114,18M 32S,18M 34S,,
198,11,new,221,2244,2246,37M 24S,37M 26S,,
199,11,new,240,2370,2372,39M 30S,39M 32S,,
200,11,new,255,2472,2474,41M 12S,41M 14S,,
201,11,new,261,2488,2490,41M 28S,41M 30S,,
202,11,new,298,2712,2718,45M 12S,45M 18S,,
203,11,new,319,2980,2982,49M 40S,49M 42S,,
204,11,new,335,3072,3074,51M 12S,51M 14S,,
205,11,new,346,3354,3356,55M 54S,55M 56S,,
206,11,new,394,3700,3702,1H 1M 40S,1H 1M 42S,,
207,11,new,440,3992,3994,1H 6M 32S,1H 6M 34S,,
208,11,new,455,4134,4136,1H 8M 54S,1H 8M 56S,,
209,11,new,468,4270,4272,1H 11M 10S,1H 11M 12S,,
210,11,new,487,4444,4446,1H 14M 4S,1H 14M 6S,,
211,11,new,585,5032,5040,1H 23M 52S,1H 24M 0S,,
212,11,new,588,5050,5054,1H 24M 10S,1H 24M 14S,,
213,12,new,344,4202,4270,1H 10M 2S,1H 11M 10S,,
214,12,new,365,4610,4664,1H 16M 50S,1H 17M 44S,,
215,12,new,401,5136,5410,1H 25M 36S,1H 30M 10S,,
216,12,new,469,6374,6390,1H 46M 14S,1H 46M 30S,,
217,12,new,540,7270,7274,2H 1M 10S,2H 1M 14S,,
218,12,new,571,7546,7564,2H 5M 46S,2H 6M 4S,,
219,13,new,45,222,224,3M 42S,3M 44S,,
220,13,new,126,606,618,10M 6S,10M 18S,,
221,13,new,188,784,790,13M 4S,13M 10S,,
222,13,new,230,926,930,15M 26S,15M 30S,,
223,13,new,388,1456,1458,24M 16S,24M 18S,,
224,13,new,402,1528,1530,25M 28S,25M 30S,,
225,13,new,430,1646,1648,27M 26S,27M 28S,,
226,13,new,466,1746,1754,29M 6S,29M 14S,,
227,13,new,545,2040,2042,34M 0S,34M 2S,,
228,13,new,592,2256,2264,37M 36S,37M 44S,,
229,13,new,648,2394,2400,39M 54S,40M 0S,,
230,13,new,685,2544,2546,42M 24S,42M 26S,,
231,13,new,686,2546,2566,42M 26S,42M 46S,,
232,13,new,772,2842,2844,47M 22S,47M 24S,,
233,13,new,775,2862,2872,47M 42S,47M 52S,,
234,13,new,790,2962,2980,49M 22S,49M 40S,,
235,14,new,51,324,328,5M 24S,5M 28S,,
236,14,new,75,462,468,7M 42S,7M 48S,,
237,14,new,126,748,750,12M 28S,12M 30S,,
238,14,new,259,1874,1876,31M 14S,31M 16S,,
239,14,new,373,3028,3040,50M 28S,50M 40S,,
240,16,new,35,1726,1736,28M 46S,28M 56S,,
241,16,new,74,2210,2212,36M 50S,36M 52S,,
242,16,new,219,3206,3212,53M 26S,53M 32S,,
243,16,new,314,4276,4280,1H 11M 16S,1H 11M 20S,,
244,17,new,50,978,982,16M 18S,16M 22S,,
245,17,new,110,1952,1956,32M 32S,32M 36S,,
246,17,new,153,2174,2176,36M 14S,36M 16S,,
247,17,new,178,2338,2340,38M 58S,39M 0S,,
248,17,new,268,3522,3524,58M 42S,58M 44S,,
249,17,new,430,4698,4704,1H 18M 18S,1H 18M 24S,,
250,18,new,99,598,604,9M 58S,10M 4S,,
251,18,new,207,1166,1168,19M 26S,19M 28S,,
252,18,new,342,1822,1826,30M 22S,30M 26S,,
253,18,new,381,1950,1952,32M 30S,32M 32S,,
254,18,new,383,1962,1964,32M 42S,32M 44S,,
255,18,new,508,2456,2458,40M 56S,40M 58S,,
256,18,new,531,2664,2668,44M 24S,44M 28S,,
257,18,new,544,2692,2714,44M 52S,45M 14S,,
258,18,new,604,3110,3114,51M 50S,51M 54S,,
259,18,new,651,3678,3680,1H 1M 18S,1H 1M 20S,,
260,18,new,670,3876,3878,1H 4M 36S,1H 4M 38S,,
261,18,new,730,4242,4246,1H 10M 42S,1H 10M 46S,,
262,18,new,743,4302,4312,1H 11M 42S,1H 11M 52S,,
263,18,new,765,4496,4498,1H 14M 56S,1H 14M 58S,,
264,18,new,767,4502,4504,1H 15M 2S,1H 15M 4S,,
265,18,new,770,4516,4520,1H 15M 16S,1H 15M 20S,,
266,18,new,775,4556,4558,1H 15M 56S,1H 15M 58S,,
267,18,new,794,4710,4712,1H 18M 30S,1H 18M 32S,,
268,20,new,7,3564,3572,59M 24S,59M 32S,,
269,20,new,39,3676,3682,1H 1M 16S,1H 1M 22S,,
270,20,new,49,3712,3714,1H 1M 52S,1H 1M 54S,,
271,20,new,54,3740,3744,1H 2M 20S,1H 2M 24S,,
272,20,new,66,3814,3818,1H 3M 34S,1H 3M 38S,,
273,20,new,69,3838,3840,1H 3M 58S,1H 4M 0S,,
274,20,new,106,4056,4062,1H 7M 36S,1H 7M 42S,,
275,20,new,158,4446,4448,1H 14M 6S,1H 14M 8S,,
276,20,new,170,4510,4512,1H 15M 10S,1H 15M 12S,,
