,participant,session,order,start,end,start_hms,end_hms,place,activity
1,6,reg,12,174,180,2M 54S,3M 0S,dw,
2,7,reg,97,1160,1184,19M 20S,19M 44S,co,
3,16,reg,27,158,164,2M 38S,2M 44S,co,
4,16,reg,108,842,844,14M 2S,14M 4S,co,
5,16,reg,143,988,990,16M 28S,16M 30S,co,
6,1,new,6,20,24,20S,24S,co,
7,1,new,375,3524,3544,58M 44S,59M 4S,stove,
8,16,new,56,2000,2004,33M 20S,33M 24S,co,
9,18,new,646,3594,3596,59M 54S,59M 56S,co,
10,18,new,655,3696,3698,1H 1M 36S,1H 1M 38S,co,
11,18,new,696,3982,3990,1H 6M 22S,1H 6M 30S,coc,
12,18,new,717,4140,4146,1H 9M 0S,1H 9M 6S,co,
13,18,new,725,4200,4206,1H 10M 0S,1H 10M 6S,co,
14,19,new,239,1950,1954,32M 30S,32M 34S,stove,
15,NA,NA,NA,NA,NA,NA,NA,,
16,7,reg,44,294,306,4M 54S,5M 6S,,
17,7,reg,47,312,600,5M 12S,10M 0S,,
18,7,reg,90,1100,1102,18M 20S,18M 22S,,
19,7,reg,102,1224,1230,20M 24S,20M 30S,,
20,7,reg,111,3660,3690,1H 1M 0S,1H 1M 30S,,
21,7,reg,114,3682,3688,1H 1M 22S,1H 1M 28S,,
22,7,reg,119,4176,4210,1H 9M 36S,1H 10M 10S,,
23,7,reg,120,4176,4210,1H 9M 36S,1H 10M 10S,,
24,7,reg,142,5258,5274,1H 27M 38S,1H 27M 54S,,
25,16,reg,1,68,70,1M 8S,1M 10S,,
26,16,reg,13,114,118,1M 54S,1M 58S,,
27,16,reg,17,120,130,2M 0S,2M 10S,,
28,16,reg,21,138,140,2M 18S,2M 20S,,
29,16,reg,31,180,190,3M 0S,3M 10S,,
30,16,reg,35,196,246,3M 16S,4M 6S,,
31,16,reg,43,278,288,4M 38S,4M 48S,,
32,16,reg,48,324,366,5M 24S,6M 6S,,
33,16,reg,63,426,434,7M 6S,7M 14S,,
34,16,reg,70,472,482,7M 52S,8M 2S,,
35,16,reg,73,486,490,8M 6S,8M 10S,,
36,16,reg,89,500,682,8M 20S,11M 22S,,
37,16,reg,99,742,758,12M 22S,12M 38S,,
38,16,reg,114,850,864,14M 10S,14M 24S,,
39,16,reg,119,872,874,14M 32S,14M 34S,,
40,16,reg,123,876,880,14M 36S,14M 40S,,
41,16,reg,127,886,894,14M 46S,14M 54S,,
42,16,reg,131,898,924,14M 58S,15M 24S,,
43,16,reg,138,964,970,16M 4S,16M 10S,,
44,16,reg,150,1026,1048,17M 6S,17M 28S,,
45,16,reg,153,1064,1086,17M 44S,18M 6S,,
46,1,new,5,16,22,16S,22S,,
47,1,new,10,72,74,1M 12S,1M 14S,,
48,1,new,160,1132,1134,18M 52S,18M 54S,,
49,1,new,264,1936,1938,32M 16S,32M 18S,,
50,1,new,267,1942,1944,32M 22S,32M 24S,,
51,1,new,276,1996,1998,33M 16S,33M 18S,,
52,1,new,278,2026,2028,33M 46S,33M 48S,,
53,1,new,279,2032,2034,33M 52S,33M 54S,,
54,1,new,293,2126,2180,35M 26S,36M 20S,,
55,1,new,302,2250,2254,37M 30S,37M 34S,,
56,1,new,363,3322,3324,55M 22S,55M 24S,,
57,16,new,54,1994,2000,33M 14S,33M 20S,,
58,16,new,150,2694,2702,44M 54S,45M 2S,,
59,16,new,155,2708,2732,45M 8S,45M 32S,,
60,16,new,158,2738,2742,45M 38S,45M 42S,,
61,16,new,161,2742,2754,45M 42S,45M 54S,,
