,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments
1,1,1,reg,white,17,116,122,1M 56S,2M 2S,regular,
6,2,1,reg,square,46,306,308,5M 6S,5M 8S,small,square
2,3,1,reg,grey,70,516,558,8M 36S,9M 18S,large,
1100,4,2,reg,grey,33,524,528,8M 44S,8M 48S,large,
810,5,2,reg,large,52,776,778,12M 56S,12M 58S,large,
2861,6,4,reg,green_2,16,70,76,1M 10S,1M 16S,regular,plastic
2941,7,4,reg,green_1,17,70,76,1M 10S,1M 16S,regular,plastic
3001,8,4,reg,blue_2,18,70,76,1M 10S,1M 16S,regular,plastic
3041,9,4,reg,blue_1,19,70,76,1M 10S,1M 16S,regular,plastic
1003,10,5,reg,small_1,100,1770,1774,29M 30S,29M 34S,regular,
1043,11,5,reg,small_2,104,1814,1820,30M 14S,30M 20S,regular,
5104,12,6,reg,1,20,240,242,4M 0S,4M 2S,regular,
6104,13,6,reg,square,46,652,654,10M 52S,10M 54S,regular,square
718,14,6,reg,purple,126,1516,1518,25M 16S,25M 18S,regular,
1017,15,6,reg,grey,156,1868,1876,31M 8S,31M 16S,regular,
720,16,7,reg,0,7,44,48,44S,48S,regular,
1220,17,8,reg,1,86,714,722,11M 54S,12M 2S,regular,
2317,18,8,reg,small,184,1400,1452,23M 20S,24M 12S,small,avocadoShape
11112,19,9,reg,0,111,796,800,13M 16S,13M 20S,regular,
1297,20,9,reg,small,129,964,966,16M 4S,16M 6S,small,
1526,21,10,reg,1,15,104,110,1M 44S,1M 50S,regular,
2463,22,10,reg,large,246,1986,2008,33M 6S,33M 28S,large,
1030,23,11,reg,blue,35,380,468,6M 20S,7M 48S,regular,
2625,24,12,reg,small,5,60,62,1M 0S,1M 2S,small,
1438,25,12,reg,green,6,62,66,1M 2S,1M 6S,regular,
1240,26,12,reg,1,34,346,360,5M 46S,6M 0S,regular,
2429,27,13,reg,small_1,60,422,424,7M 2S,7M 4S,small,
3722,28,13,reg,xsmall_1,61,422,424,7M 2S,7M 4S,small,
3422,29,13,reg,small_2,62,426,428,7M 6S,7M 8S,small,
4352,30,14,reg,large,435,3640,3672,1H 0M 40S,1H 1M 12S,large,
4723,31,14,reg,1,472,3852,3854,1H 4M 12S,1H 4M 14S,regular,
4731,32,14,reg,2,473,3852,3854,1H 4M 12S,1H 4M 14S,regular,
2159,33,15,reg,1,2,0,16,0S,16S,regular,
3140,34,15,reg,2,3,0,16,0S,16S,regular,
6023,35,15,reg,small,60,266,280,4M 26S,4M 40S,small,
7914,36,15,reg,red,79,366,370,6M 6S,6M 10S,regular,
2957,37,15,reg,large,295,1352,1370,22M 32S,22M 50S,large,
4064,38,15,reg,xsmall,406,2100,2104,35M 0S,35M 4S,small,
31311,39,17,reg,white,313,3156,3160,52M 36S,52M 40S,regular,
1580,40,18,reg,small,15,104,112,1M 44S,1M 52S,small,
23100,41,1,new,white,23,152,158,2M 32S,2M 38S,regular,
13519,42,1,new,square,135,862,866,14M 22S,14M 26S,regular,square
27715,43,1,new,ceramic,277,2006,2030,33M 26S,33M 50S,large,ceramic
18104,44,2,new,green,29,290,318,4M 50S,5M 18S,regular,
51001,45,2,new,blue,88,1148,1150,19M 8S,19M 10S,regular,
19103,46,2,new,grey,105,1476,1478,24M 36S,24M 38S,large,
23122,47,3,new,0,23,686,698,11M 26S,11M 38S,regular,
33221,48,4,new,b_1,27,306,314,5M 6S,5M 14S,regular,plastic
34321,49,4,new,b_2,28,306,314,5M 6S,5M 14S,regular,plastic
35221,50,4,new,g_1,29,306,314,5M 6S,5M 14S,regular,plastic
35921,51,4,new,g_2,30,306,314,5M 6S,5M 14S,regular,plastic
13641,52,5,new,tiny,93,2426,2432,40M 26S,40M 32S,small,
41041,53,6,new,1,140,2476,2486,41M 16S,41M 26S,regular,
26161,54,6,new,red,185,3026,3028,50M 26S,50M 28S,regular,
10191,55,6,new,elipticial,295,4282,4286,1H 11M 22S,1H 11M 26S,regular,
72151,57,7,new,small_1,72,1650,1652,27M 30S,27M 32S,regular,
73151,58,7,new,small_2,73,1650,1652,27M 30S,27M 32S,regular,
39171,60,9,new,1,23,298,316,4M 58S,5M 16S,regular,
41171,61,9,new,green,71,572,574,9M 32S,9M 34S,small,
42171,62,9,new,small_1,110,782,786,13M 2S,13M 6S,regular,
51171,63,9,new,large,168,1062,1104,17M 42S,18M 24S,regular,
58171,64,9,new,ceramic,256,1456,1460,24M 16S,24M 20S,regular,
70171,65,9,new,small_2,507,4160,4200,1H 9M 20S,1H 10M 0S,regular,
71171,66,9,new,small_3,508,4200,4220,1H 10M 0S,1H 10M 20S,regular,
