,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments,,,,,,,,,,,,,
115,2,1,reg,w_1,178,1652,1680,27M 32S,28M 0S,wood,,,,,,,,,,,,,,
5210,3,2,reg,w_1,79,1288,1446,21M 28S,24M 6S,wood,spoon,more spoon than palette like,,,,,,,,,,,,
4610,4,2,reg,rice,317,4386,4494,1H 13M 6S,1H 14M 54S,plastic,small,,,,,,,,,,,,,
2711,6,3,reg,0,27,600,612,10M 0S,10M 12S,plastic,,,,,,,,,,,,,,
2621,7,4,reg,w_1,97,996,1008,16M 36S,16M 48S,wood,spoon,,,,,,,,,,,,,
2691,8,4,reg,0,137,1300,1336,21M 40S,22M 16S,plastic,spoon,,,,,,,,,,,,,
2314,9,5,reg,w_1,23,192,294,3M 12S,4M 54S,wood,,,,,,,,,,,,,,
6214,11,6,reg,0,212,2534,2570,42M 14S,42M 50S,plastic,spoon,,,,,,,,,,,,,
1196,12,8,reg,0,22,238,258,3M 58S,4M 18S,plastic,,,,,,,,,,,,,,
1267,13,9,reg,w_1,126,916,932,15M 16S,15M 32S,wood,spoon,,,,,,,,,,,,,
1995,14,9,reg,0,199,1410,1412,23M 30S,23M 32S,plastic,spoon,,,,,,,,,,,,,
2055,15,9,reg,plastic,205,1424,1426,23M 44S,23M 46S,plastic,,,,,,,,,,,,,,
7113,16,10,reg,w_1,71,656,712,10M 56S,11M 52S,wood,,,,,,,,,,,,,,
2863,17,11,reg,w_1,98,1202,1222,20M 2S,20M 22S,wood,spoon,,,,,,,,,,,,,
2864,19,12,reg,2,264,2906,2972,48M 26S,49M 32S,plastic,,,,,,,,,,,,,,
3522,20,13,reg,w_1,54,402,410,6M 42S,6M 50S,wood,,,,,,,,,,,,,,
3402,21,13,reg,0,79,530,580,8M 50S,9M 40S,plastic,,,,,,,,,,,,,,
4132,22,13,reg,w_2,318,1982,1984,33M 2S,33M 4S,wood,,,,,,,,,,,,,,
5125,23,14,reg,0,51,422,448,7M 2S,7M 28S,plastic,,,,,,,,,,,,,,
10413,25,15,reg,0,104,534,540,8M 54S,9M 0S,wood,spoon,,,,,,,,,,,,,
9016,26,17,reg,0,90,1236,1270,20M 36S,21M 10S,wood,spoon,,,,,,,,,,,,,
7717,27,18,reg,w_1,77,424,442,7M 4S,7M 22S,wood,,,,,,,,,,,,,,
11418,28,19,reg,0,114,768,790,12M 48S,13M 10S,plastic,,,,,,,,,,,,,,
11518,29,20,reg,w_1,120,826,830,13M 46S,13M 50S,wood,,,,,,,,,,,,,,
11618,30,20,reg,w_2,203,1588,1598,26M 28S,26M 38S,wood,,,,,,,,,,,,,,
31104,31,1,new,w_1,31,202,238,3M 22S,3M 58S,wood,spoon,,,,,,,,,,,,,
11124,32,1,new,0,111,668,676,11M 8S,11M 16S,plastic,spoon,,,,,,,,,,,,,
79101,33,2,new,w_1,18,174,196,2M 54S,3M 16S,wood,spoon,,,,,,,,,,,,,
,,3,new,plastic,,,,00:17:26,00:17:36,plastic,,,,,,,,,,,,,,
27721,35,4,new,0,125,1402,1412,23M 22S,23M 32S,plastic,spoon,,,,,,,,,,,,,
28421,36,4,new,plastic,147,1568,1602,26M 8S,26M 42S,plastic,,,,,,,,,,,,,,
28321,37,4,new,large,189,1858,1888,30M 58S,31M 28S,wood,spoon,,,,,,,,,,,,,
28921,38,4,new,w_1,216,2074,2110,34M 34S,35M 10S,wood,,,,,,,,,,,,,,
28141,39,4,new,red,345,2936,2954,48M 56S,49M 14S,plastic,,,,,,,,,,,,,,
56131,40,5,new,w_1,62,1792,1838,29M 52S,30M 38S,wood,,,,,,,,,,,,,,
27531,41,6,new,0,98,1918,1924,31M 58S,32M 4S,plastic,spoon,,,,,,,,,,,,,
14261,42,8,new,0,121,1090,1392,18M 10S,23M 12S,plastic,,,,,,,,,,,,,,
51214,43,9,new,w_1,53,492,494,8M 12S,8M 14S,wood,spoon,,,,,,,,,,,,,
44181,45,10,new,w_1,44,482,494,8M 2S,8M 14S,wood,,,,,,,,,,,,,,
30281,46,11,new,w_1,181,2044,2064,34M 4S,34M 24S,wood,,,,,,,,,,,,,,
32961,47,11,new,w_2,349,3372,3398,56M 12S,56M 38S,wood,,,,,,,,,,,,,,
341121,48,11,new,0,457,4138,4174,1H 8M 58S,1H 9M 34S,plastic,,,,,,,,,,,,,,
410121,49,12,new,0,268,3000,3004,50M 0S,50M 4S,metal,,,,,,,,,,,,,,
28581,51,13,new,plastic,285,1106,1108,18M 26S,18M 28S,plastic,,,,,,,,,,,,,,
