,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments
83,1,1,reg,1,100,798,806,13M 18S,13M 26S,regular,
88,2,1,reg,2,204,2058,2118,34M 18S,35M 18S,regular,
2611,3,3,reg,0,26,600,612,10M 0S,10M 12S,regular,
8111,4,8,reg,0,126,1016,1022,16M 56S,17M 2S,regular,
476,5,9,reg,0,476,3560,3564,59M 20S,59M 24S,regular,
523,6,14,reg,0,523,4264,4310,1H 11M 4S,1H 11M 50S,regular,
5361,7,17,reg,0,536,4708,4728,1H 18M 28S,1H 18M 48S,regular,
15014,8,18,reg,0,150,684,690,11M 24S,11M 30S,regular,
16515,9,19,reg,0,165,1212,1222,20M 12S,20M 22S,regular,
21417,10,2,new,1,3,16,20,16S,20S,regular,
21517,11,2,new,2,19,196,200,3M 16S,3M 20S,regular,
20517,12,2,new,3,30,294,302,4M 54S,5M 2S,regular,
9321,13,3,new,0,93,1406,1412,23M 26S,23M 32S,regular,
12171,14,5,new,1,145,4072,4374,1H 7M 52S,1H 12M 54S,regular,
18171,15,5,new,2,150,4422,4646,1H 13M 42S,1H 17M 26S,regular,
14171,16,5,new,3,174,4970,5242,1H 22M 50S,1H 27M 22S,regular,
15171,17,5,new,4,175,4970,5242,1H 22M 50S,1H 27M 22S,regular,
68161,18,8,new,1,43,380,452,6M 20S,7M 32S,regular,
74161,19,8,new,2,132,1292,1310,21M 32S,21M 50S,regular,
10581,20,10,new,1,105,1196,1200,19M 56S,20M 0S,regular,
10681,21,10,new,2,106,1196,1200,19M 56S,20M 0S,regular,
181161,22,14,new,0,181,1284,1298,21M 24S,21M 38S,regular,
252121,23,15,new,0,252,1466,1496,24M 26S,24M 56S,regular,
166161,24,18,new,0,166,1024,1052,17M 4S,17M 32S,regular,
