,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments
999,1,11,reg,1,7,88,92,1M 28S,1M 32S,regular,
11310,2,11,reg,2,73,932,936,15M 32S,15M 36S,regular,
3039,3,17,reg,2,30,290,294,4M 50S,4M 54S,regular,
24310,4,17,reg,1,243,2678,2686,44M 38S,44M 46S,regular,
3278,5,19,reg,0,327,2274,2282,37M 54S,38M 2S,regular,
25441,6,9,new,wine,539,4638,4658,1H 17M 18S,1H 17M 38S,regular,
61081,7,10,new,0,6,44,50,44S,50S,regular,
22461,8,11,new,0,27,288,294,4M 48S,4M 54S,regular,
7231,9,13,new,1,723,2694,2696,44M 54S,44M 56S,regular,
7241,10,13,new,2,724,2696,2698,44M 56S,44M 58S,regular,
