,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments
92,1,1,reg,0,33,226,228,3M 46S,3M 48S,large,
1741,2,2,reg,large,24,280,284,4M 40S,4M 44S,large,
1721,3,2,reg,cutlery,25,282,284,4M 42S,4M 44S,medium,
1362,4,4,reg,bread,22,98,138,1M 38S,2M 18S,bread,
1432,5,4,reg,0,28,142,152,2M 22S,2M 32S,small,
1415,6,5,reg,0,14,144,150,2M 24S,2M 30S,large,
1124,7,6,reg,cutlery,17,222,238,3M 42S,3M 58S,cutlery,
1134,8,6,reg,large,23,298,328,4M 58S,5M 28S,large,
1154,9,6,reg,small,39,520,586,8M 40S,9M 46S,small,
6115,10,7,reg,small,61,696,698,11M 36S,11M 38S,small,
946,11,8,reg,0,2,26,34,26S,34S,large,
6107,12,9,reg,1,6,60,102,1M 0S,1M 42S,large,
1785,13,9,reg,small,178,1292,1358,21M 32S,22M 38S,small,
5108,14,10,reg,1,5,32,48,32S,48S,large,
19111,15,10,reg,bread,191,1504,1536,25M 4S,25M 36S,bread,
11410,16,11,reg,0,46,528,550,8M 48S,9M 10S,large,
17211,17,12,reg,0,25,204,310,3M 24S,5M 10S,small,
20113,18,12,reg,large,40,380,388,6M 20S,6M 28S,medium,
1889,19,13,reg,1,11,52,54,52S,54S,medium,
1909,20,13,reg,large,31,224,284,3M 44S,4M 44S,large,
1450,21,14,reg,0,14,144,146,2M 24S,2M 26S,large,
2387,22,14,reg,small,238,2338,2380,38M 58S,39M 40S,medium,
9413,23,15,reg,1,94,452,496,7M 32S,8M 16S,medium,
41113,24,15,reg,cutlery,411,2130,2132,35M 30S,35M 32S,cutlery,
4525,25,15,reg,meatCleaver,452,2320,2324,38M 40S,38M 44S,meatCleaver,
4752,26,15,reg,2,475,2546,2604,42M 26S,43M 24S,large,
9514,27,16,reg,0,81,494,538,8M 14S,8M 58S,large,
3158,28,17,reg,1,3,102,112,1M 42S,1M 52S,large,
3785,29,17,reg,small_1,378,3510,3518,58M 30S,58M 38S,small,
5028,31,17,reg,small_2,502,4390,4402,1H 13M 10S,1H 13M 22S,cutlery,
2640,32,18,reg,large,26,154,172,2M 34S,2M 52S,large,
2840,33,18,reg,small,28,170,194,2M 50S,3M 14S,medium,
3169,34,18,reg,0,31,182,342,3M 2S,5M 42S,large,
3537,35,19,reg,0,35,186,234,3M 6S,3M 54S,large,
29011,36,20,reg,0,49,288,294,4M 48S,4M 54S,large,
20121,37,1,new,large,201,1436,1512,23M 56S,25M 12S,large,
24816,38,2,new,cutlery,20,200,214,3M 20S,3M 34S,cutlery,
23516,39,2,new,large,57,590,592,9M 50S,9M 52S,large,
24516,40,2,new,medium,86,1010,1144,16M 50S,19M 4S,large,
11125,41,3,new,0,11,84,88,1M 24S,1M 28S,small,
13421,42,3,new,cutlery,134,1818,1848,30M 18S,30M 48S,cutlery,
16831,43,4,new,1,17,142,154,2M 22S,2M 34S,large,
18231,44,4,new,bread,45,380,384,6M 20S,6M 24S,bread,
12041,45,5,new,cutlery,2,18,26,18S,26S,cutlery,
16941,46,5,new,long,12,172,174,2M 52S,2M 54S,large,
12341,47,5,new,large,13,232,240,3M 52S,4M 0S,large,
16351,48,6,new,large,2,2,8,2S,8S,large,
16451,49,6,new,pink,8,56,394,56S,6M 34S,medium,
17951,50,6,new,small,81,1482,1488,24M 42S,24M 48S,small,
18451,51,6,new,meatCleaver,291,4252,4322,1H 10M 52S,1H 12M 2S,meatCleaver,
281101,52,9,new,large,22,292,300,4M 52S,5M 0S,large,
28641,53,9,new,small,82,622,624,10M 22S,10M 24S,small,
10881,55,10,new,table,108,1196,1200,19M 56S,20M 0S,medium,
13581,56,10,new,large,135,1394,1412,23M 14S,23M 32S,large,
25061,57,11,new,0,3,132,136,2M 12S,2M 16S,large,
26961,58,11,new,multiple,558,4844,4852,1H 20M 44S,1H 20M 52S,cutlery,
29071,59,12,new,1,54,532,542,8M 52S,9M 2S,small,
291131,60,12,new,2,55,532,540,8M 52S,9M 0S,small,
30471,61,12,new,large,221,2396,2406,39M 56S,40M 6S,large,
31481,62,13,new,0,31,132,202,2M 12S,3M 22S,small,
85121,63,13,new,1,85,386,510,6M 26S,8M 30S,large,
103121,64,13,new,2,103,462,464,7M 42S,7M 44S,small,
7125,65,14,new,1,7,40,42,40S,42S,large,
25501,67,15,new,small,25,176,240,2M 56S,4M 0S,small,
84161,68,15,new,1,84,498,504,8M 18S,8M 24S,small,
144131,69,15,new,bread,144,884,930,14M 44S,15M 30S,bread,
33510,71,15,new,meatCleaver,335,2096,2122,34M 56S,35M 22S,meatCleaver,
7129,72,16,new,cutlery,7,1524,1554,25M 24S,25M 54S,cutlery,
25601,73,16,new,0,25,1644,1682,27M 24S,28M 2S,medium,
247121,74,17,new,1,24,186,196,3M 6S,3M 16S,medium,
26512,75,17,new,2,411,4610,4616,1H 16M 50S,1H 16M 56S,large,
59281,76,18,new,cutlery_1,59,384,400,6M 24S,6M 40S,cutlery,
87161,77,18,new,cutlery,87,512,524,8M 32S,8M 44S,cutlery,
109161,78,18,new,cutlery_2,109,682,966,11M 22S,16M 6S,cutlery,
32100,79,19,new,0,32,298,304,4M 58S,5M 4S,large,
7830,80,20,new,0,161,4462,4468,1H 14M 22S,1H 14M 28S,large,
