,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments,,,
105,1,1,reg,small,10,62,68,1M 2S,1M 8S,small,metal,,,
95,2,1,reg,medium,90,718,724,11M 58S,12M 4S,medium,mixed,metal and glass,,
1811,3,2,reg,0,110,1712,1720,28M 32S,28M 40S,large,mixed,,,
1244,4,6,reg,0,6,78,80,1M 18S,1M 20S,medium,mixed,,,
5417,5,9,reg,0,54,416,422,6M 56S,7M 2S,medium,mixed,,,
7112,6,9,reg,medium,71,508,522,8M 28S,8M 42S,medium,mixed,,,
1975,7,9,reg,large,197,1400,1404,23M 20S,23M 24S,medium,mixed,,,
2038,10,12,reg,1,287,3196,3198,53M 16S,53M 18S,large,metal,,,
2156,11,12,reg,2,383,4004,4014,1H 6M 44S,1H 6M 54S,medium,mixed,,,
2009,12,13,reg,large,27,198,204,3M 18S,3M 24S,medium,mixed,,,
17910,13,14,reg,0,179,1382,1390,23M 2S,23M 10S,medium,mixed,,,
2208,14,14,reg,large,220,2230,2234,37M 10S,37M 14S,large,mixed,,,
7714,15,15,reg,1,77,354,358,5M 54S,5M 58S,medium,mixed,,, 
17811,16,15,reg,2,178,910,912,15M 10S,15M 12S,medium,mixed,,,
22810,17,17,reg,large,228,2604,2612,43M 24S,43M 32S,large,metal,,,
43114,19,17,reg,baking,431,3774,3782,1H 2M 54S,1H 3M 2S,large,metal,,,
16614,20,18,reg,0,166,710,720,11M 50S,12M 0S,medium,mixed,,,
17713,21,18,reg,large,177,732,886,12M 12S,14M 46S,large,mixed,,,
9717,22,19,reg,0,97,544,550,9M 4S,9M 10S,medium,metal,,,
31811,23,20,reg,0,22,134,142,2M 14S,2M 22S,medium,mixed,,,
32410,24,20,reg,cover,357,2460,2466,41M 0S,41M 6S,large,metal,,,
24916,25,2,new,0,12,110,130,1M 50S,2M 10S,large,mixed,,,
26816,26,2,new,small,361,4420,4428,1H 13M 40S,1H 13M 48S,small,mixed,,,
75112,27,3,new,0,75,1184,1192,19M 44S,19M 52S,large,metal,,,
16431,28,4,new,0,223,2130,2136,35M 30S,35M 36S,medium,mixed,,,
18851,29,6,new,small,34,790,794,13M 10S,13M 14S,medium,mixed,,,
21081,32,7,new,0,2,46,54,46S,54S,small,mixed,,,
30041,33,9,new,large,424,2674,2678,44M 34S,44M 38S,large,mixed,,,
301101,34,9,new,0,426,2680,2682,44M 40S,44M 42S,large,mixed,,,
79210,35,10,new,0,792,6388,6390,1H 46M 28S,1H 46M 30S,large,mixed,,,
271121,36,11,new,0,310,2780,2784,46M 20S,46M 24S,large,mixed,,,
271131,37,12,new,1,294,3302,3310,55M 2S,55M 10S,large,metal,,,
27871,38,12,new,2,523,7126,7130,1H 58M 46S,1H 58M 50S,medium,metal,,,
27971,39,12,new,small,543,7310,7322,2H 1M 50S,2H 2M 2S,small,metal,,,
231141,40,13,new,large,231,930,938,15M 30S,15M 38S,large,mixed,,,
25681,41,13,new,0,256,1012,1020,16M 52S,17M 0S,large,mixed,,,
35081,42,13,new,small,350,1306,1314,21M 46S,21M 54S,medium,metal,,,
102141,43,14,new,0,102,632,638,10M 32S,10M 38S,large,metal,,,
68241,44,15,new,0,68,344,348,5M 44S,5M 48S,large,mixed,,,
101181,45,16,new,cover,101,2366,2384,39M 26S,39M 44S,large,metal,,,
26612,46,17,new,aluminum_small,374,4344,4346,1H 12M 24S,1H 12M 26S,small,metal,,,
8127,47,18,new,0,81,468,512,7M 48S,8M 32S,large,mixed,,,
8030,48,20,new,cover,12,3586,3588,59M 46S,59M 48S,large,metal,,,
8228,49,20,new,0,94,3984,3988,1H 6M 24S,1H 6M 28S,medium,mixed,,,
