,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments
221,1,2,reg,wok,75,1254,1260,20M 54S,21M 0S,wok,large
2121,2,2,reg,small,133,2076,2080,34M 36S,34M 40S,small,
2111,3,2,reg,large,313,4360,4364,1H 12M 40S,1H 12M 44S,medium,
912,4,3,reg,0,9,62,74,1M 2S,1M 14S,medium,
1113,5,4,reg,0,76,790,792,13M 10S,13M 12S,large,
1615,6,5,reg,0,16,160,168,2M 40S,2M 48S,medium,
1403,7,6,reg,0,60,852,856,14M 12S,14M 16S,medium,
1346,8,8,reg,0,12,154,160,2M 34S,2M 40S,medium,
5517,9,9,reg,1,55,418,424,6M 58S,7M 4S,medium,
7014,10,9,reg,2,70,506,510,8M 26S,8M 30S,medium,
3120,12,10,reg,0,3,24,28,24S,28S,medium,
1477,13,11,reg,0,88,1136,1142,18M 56S,19M 2S,medium,
3034,14,12,reg,1,21,196,200,3M 16S,3M 20S,medium,
3371,15,12,reg,2,235,2662,2674,44M 22S,44M 34S,medium,
2229,16,13,reg,0,26,192,194,3M 12S,3M 14S,medium,
2330,17,14,reg,1,23,220,224,3M 40S,3M 44S,medium,
4471,18,14,reg,2,447,3704,3726,1H 1M 44S,1H 2M 6S,small,
15213,19,15,reg,0,152,808,812,13M 28S,13M 32S,medium,
3729,20,17,reg,0,37,410,424,6M 50S,7M 4S,medium,
3829,21,17,reg,unused_1,38,410,414,6M 50S,6M 54S,medium,
3929,22,17,reg,unused_2,39,410,414,6M 50S,6M 54S,medium,
2080,23,18,reg,0,20,142,144,2M 22S,2M 24S,medium,
5182,24,18,reg,partner,518,2318,2320,38M 38S,38M 40S,medium,
7818,25,19,reg,0,78,450,454,7M 30S,7M 34S,large,wide
36117,26,20,reg,1,252,1904,1912,31M 44S,31M 52S,wok,
26101,27,1,new,1,26,180,184,3M 0S,3M 4S,small,
28016,29,2,new,bowl,15,134,172,2M 14S,2M 52S,wok,large
321110,30,2,new,small,206,2746,2750,45M 46S,45M 50S,small,
28122,31,3,new,1,28,744,762,12M 24S,12M 42S,medium,
14821,32,3,new,2,148,1992,2028,33M 12S,33M 48S,medium,
12331,33,4,new,1,136,1500,1506,25M 0S,25M 6S,large,
13631,34,4,new,2,287,2480,2482,41M 20S,41M 22S,medium,
14841,35,5,new,2,53,1698,1702,28M 18S,28M 22S,medium,
14941,36,5,new,3,54,1718,1722,28M 38S,28M 42S,medium,
72131,37,5,new,1,55,1728,1756,28M 48S,29M 16S,medium,
20931,38,6,new,0,15,490,494,8M 10S,8M 14S,medium,
9861,39,8,new,0,54,548,550,9M 8S,9M 10S,medium,
15301,40,10,new,0,15,96,100,1M 36S,1M 40S,medium,
35751,41,11,new,0,162,1880,1882,31M 20S,31M 22S,medium,
163101,42,12,new,small_1,254,2908,2918,48M 28S,48M 38S,small,
164101,43,12,new,small_2,255,2908,2918,48M 28S,48M 38S,small,
165101,44,12,new,1,257,2910,2952,48M 30S,49M 12S,medium,
182121,45,12,new,2,361,4556,4564,1H 15M 56S,1H 16M 4S,medium,
25081,46,13,new,s,250,1000,1020,16M 40S,17M 0S,small,
25981,47,13,new,1,259,1020,1038,17M 0S,17M 18S,medium,
26081,48,13,new,2,260,1022,1038,17M 2S,17M 18S,medium,
106121,51,14,new,0,106,644,646,10M 44S,10M 46S,medium,
61281,52,15,new,0,61,306,308,5M 6S,5M 8S,medium,
100141,53,16,new,0,100,2366,2386,39M 26S,39M 46S,medium,
33511,54,17,new,wok_yellow,1,2,30,2S,30S,wok,large
33611,55,17,new,1,3,42,86,42S,1M 26S,medium,
33911,56,17,new,wok_black,10,124,136,2M 4S,2M 16S,wok,large
130171,58,19,new,1,130,1124,1134,18M 44S,18M 54S,large,wide
29216,59,19,new,2,292,2466,2470,41M 6S,41M 10S,small,
90181,60,20,new,1,13,3586,3588,59M 46S,59M 48S,large,
92201,61,20,new,2,21,3602,3604,1H 0M 2S,1H 0M 4S,medium,
