,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments
5101,1,3,reg,0,5,30,36,30S,36S,regular,smartphone/find moments where the phone is used to provide interactions
1155,2,7,reg,0,115,3838,4166,1H 3M 58S,1H 9M 26S,regular,
2662,3,9,reg,0,266,1788,2010,29M 48S,33M 30S,regular,
1130,4,10,reg,0,1,0,20,0S,20S,regular,
1857,5,11,reg,0,27,316,318,5M 16S,5M 18S,regular,
3491,6,12,reg,0,254,2838,2862,47M 18S,47M 42S,regular,
770,7,14,reg,0,7,56,68,56S,1M 8S,regular,
1300,8,17,reg,0,1,6,86,6S,1M 26S,regular,
23510,9,18,reg,0,235,1124,1160,18M 44S,19M 20S,regular,
26316,10,1,new,0,263,1936,1938,32M 16S,32M 18S,regular,
32915,11,2,new,0,45,462,504,7M 42S,8M 24S,regular,
9222,12,3,new,0,92,1368,1402,22M 48S,23M 22S,regular,
10331,13,4,new,0,3,32,52,32S,52S,regular,
9841,14,5,new,0,1,0,16,0S,16S,regular,
50151,15,7,new,0,50,1358,1466,22M 38S,24M 26S,regular,
11961,16,8,new,0,7,56,104,56S,1M 44S,regular,
33941,17,9,new,0,281,1602,1616,26M 42S,26M 56S,regular,
21261,18,10,new,0,2,0,26,0S,26S,regular,
391111,19,11,new,0,13,196,208,3M 16S,3M 28S,regular,
31401,20,13,new,0,3,22,24,22S,24S,regular,
40661,21,14,new,0,406,3250,3376,54M 10S,56M 16S,regular,
402111,22,17,new,0,217,2914,2926,48M 34S,48M 46S,regular,
14001,23,18,new,0,1,0,52,0S,52S,regular,
20701,24,18,new,researcher,20,156,164,2M 36S,2M 44S,regular,
