,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments,
116,1,1,reg,0,16,80,112,1M 20S,1M 52S,small,,
231,2,2,reg,bowl,316,4382,4384,1H 13M 2S,1H 13M 4S,large,bowl,
892,3,3,reg,0,89,1228,1234,20M 28S,20M 34S,large,,
864,4,5,reg,0,86,1476,1486,24M 36S,24M 46S,regular,,
4714,5,6,reg,0,47,652,654,10M 52S,10M 54S,regular,,
3116,6,7,reg,small,31,192,198,3M 12S,3M 18S,small,,
3915,7,7,reg,small,39,244,248,4M 4S,4M 8S,,,remove this
1564,8,8,reg,1,197,1540,1550,25M 40S,25M 50S,large,,
1574,9,8,reg,2,199,1550,1554,25M 50S,25M 54S,large,,
1584,10,8,reg,3,203,1600,1602,26M 40S,26M 42S,large,,
396,11,9,reg,1,396,2930,2944,48M 50S,49M 4S,large,,
469,12,9,reg,2,469,3500,3512,58M 20S,58M 32S,large,,
470,13,9,reg,3,470,3500,3512,58M 20S,58M 32S,large,,
1008,14,10,reg,small,100,868,870,14M 28S,14M 30S,small,,
1877,15,11,reg,1,281,2910,2944,48M 30S,49M 4S,large,,
1907,16,11,reg,2,287,2962,2966,49M 22S,49M 26S,large,,
1947,17,11,reg,3,288,2962,2966,49M 22S,49M 26S,large,,
1987,18,11,reg,4,289,2962,2966,49M 22S,49M 26S,large,,
20210,19,11,reg,5,290,2962,2966,49M 22S,49M 26S,large,,
1360,20,14,reg,large_1,13,140,142,2M 20S,2M 22S,plastic,,
20115,21,14,reg,small,201,1652,1654,27M 32S,27M 34S,large,,
2367,22,14,reg,large_2,236,2326,2332,38M 46S,38M 52S,large,,
2696,23,14,reg,white,269,2510,2512,41M 50S,41M 52S,large,,
3483,24,14,reg,large_3,348,3120,3126,52M 0S,52M 6S,large,,
4225,25,14,reg,flowers,422,3566,3578,59M 26S,59M 38S,regular,,
2897,26,15,reg,0,289,1332,1338,22M 12S,22M 18S,large,bowl,
5824,27,16,reg,green,58,400,404,6M 40S,6M 44S,plastic,,
542,28,17,reg,small,542,4734,4740,1H 18M 54S,1H 19M 0S,regular,,
547,29,17,reg,1,547,4762,4804,1H 19M 22S,1H 20M 4S,small,,
671,30,17,reg,multiple,671,5916,5934,1H 38M 36S,1H 38M 54S,large,,
5561,31,18,reg,large,556,2446,2466,40M 46S,41M 6S,large,,
5571,32,18,reg,red,557,2446,2466,40M 46S,41M 6S,small,,
5671,33,18,reg,white,567,2518,2532,41M 58S,42M 12S,large,,
5761,34,18,reg,small,576,2566,2570,42M 46S,42M 50S,small,,
11220,35,19,reg,1,112,764,766,12M 44S,12M 46S,large,,
4465,36,19,reg,pink,446,3258,3284,54M 18S,54M 44S,small,,
4755,37,19,reg,multiple,475,3718,3722,1H 1M 58S,1H 2M 2S,large,,
51113,38,19,reg,small,511,4166,4180,1H 9M 26S,1H 9M 40S,small,,
3798,39,20,reg,white,152,1020,1026,17M 0S,17M 6S,large,,
9519,40,1,new,1,95,566,570,9M 26S,9M 30S,regular,,
15419,41,1,new,2,154,1006,1014,16M 46S,16M 54S,regular,,
15519,42,1,new,large,155,1012,1016,16M 52S,16M 56S,large,,
33715,43,2,new,0,10,44,58,44S,58S,regular,,
19521,44,3,new,0,195,2390,2426,39M 50S,40M 26S,large,,
12161,45,5,new,0,3,18,26,18S,26S,large,,
17161,46,5,new,large,29,1142,1144,19M 2S,19M 4S,large,,
22161,47,6,new,0,33,786,798,13M 6S,13M 18S,large,,
56151,48,7,new,0,56,1540,1548,25M 40S,25M 48S,large,,
57151,49,7,new,2,57,1542,1548,25M 42S,25M 48S,large,,
82151,50,7,new,1,82,1756,1772,29M 16S,29M 32S,large,,
13561,51,8,new,large,142,1428,1430,23M 48S,23M 50S,large,,
13761,52,8,new,small_1,145,1440,1446,24M 0S,24M 6S,small,,
13861,53,8,new,small_2,146,1440,1446,24M 0S,24M 6S,small,,
