,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments
6712,1,4,reg,0,5,24,26,24S,26S,standard,regular equal to magazine type
4293,5,14,reg,0,8,72,74,1M 12S,1M 14S,standard,
21116,6,15,reg,0,211,990,998,16M 30S,16M 38S,standard,
41214,7,20,reg,0,232,1706,1732,28M 26S,28M 52S,standard,
22431,8,6,new,0,3,12,14,12S,14S,standard,
46921,10,11,new,0,1,24,122,24S,2M 2S,standard,
21501,11,14,new,0,2,12,38,12S,38S,standard,
41381,12,15,new,0,4,60,68,1M 0S,1M 8S,standard,
12901,13,16,new,0,1,1480,1496,24M 40S,24M 56S,standard,
125181,15,20,new,0,87,3958,3960,1H 5M 58S,1H 6M 0S,standard,
