,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments
4406,40,20,reg,kid,122,830,866,13M 50S,14M 26S,kids,
271,5,2,reg,2,247,2898,2952,48M 18S,49M 12S,large,
13513,27,15,reg,1,135,712,742,11M 52S,12M 22S,large,
35512,85,19,new,large_1,355,3044,3048,50M 44S,50M 48S,large,
158,1,1,reg,1,18,116,138,1M 56S,2M 18S,medium,
164,2,1,reg,2,126,1072,1100,17M 52S,18M 20S,medium,
272,3,2,reg,tea,167,2350,2366,39M 10S,39M 26S,medium,
6012,6,4,reg,tea,311,2696,2764,44M 56S,46M 4S,medium,this will go away with food eating
6112,7,4,reg,1,314,2736,2764,45M 36S,46M 4S,medium,this will go away with food eating
 ,9,7,reg,1,9,50,72,50S,1M 12S,medium,
1135,11,7,reg,2,113,3670,3704,1H 1M 10S,1H 1M 44S,medium,
1674,12,8,reg,0,77,634,686,10M 34S,11M 26S,medium,
1367,13,9,reg,1,136,994,1002,16M 34S,16M 42S,medium,
1377,14,9,reg,2,137,994,1010,16M 34S,16M 50S,medium,
1726,15,9,reg,small,172,1228,1232,20M 28S,20M 32S,medium,
352,16,9,reg,3,352,2606,2706,43M 26S,45M 6S,medium,
369,17,9,reg,4,369,2772,2774,46M 12S,46M 14S,medium,
485,18,9,reg,5,485,3708,3730,1H 1M 48S,1H 2M 10S,medium,
493,19,9,reg,6,493,3770,3824,1H 2M 50S,1H 3M 44S,medium,
11211,20,10,reg,0,112,926,940,15M 26S,15M 40S,medium,
3332,21,13,reg,0,224,1498,1510,24M 58S,25M 10S,medium,
19115,22,14,reg,1,191,1414,1428,23M 34S,23M 48S,medium,
2706,23,14,reg,2,270,2510,2512,41M 50S,41M 52S,medium,
540,24,14,reg,3,540,4386,4390,1H 13M 6S,1H 13M 10S,medium,
4326,25,15,reg,2,43,228,234,3M 48S,3M 54S,medium,
13313,26,15,reg,3,133,704,708,11M 44S,11M 48S,medium,
2647,28,15,reg,small_1,264,1262,1266,21M 2S,21M 6S,medium,
43113,29,15,reg,small_2,431,2202,2218,36M 42S,36M 58S,medium,
5042,30,15,reg,4,504,2946,2976,49M 6S,49M 36S,medium,
2578,31,17,reg,1,257,2808,2814,46M 48S,46M 54S,medium,
4963,32,17,reg,3,496,4356,4374,1H 12M 36S,1H 12M 54S,medium,
562,33,17,reg,2,562,4916,4918,1H 21M 56S,1H 21M 58S,medium,
625,34,17,reg,4,625,5492,5516,1H 31M 32S,1H 31M 56S,medium,
25410,35,18,reg,0,254,1314,1358,21M 54S,22M 38S,medium,
25312,36,19,reg,1,253,1892,1894,31M 32S,31M 34S,medium,
40116,37,19,reg,2,401,2872,3010,47M 52S,50M 10S,medium,
44115,39,20,reg,1,67,382,400,6M 22S,6M 40S,medium,
4556,41,20,reg,2,498,3338,3372,55M 38S,56M 12S,medium,
