,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments
91,1,1,reg,0,184,1740,1750,29M 0S,29M 10S,medium,
286,3,2,reg,cleaning,237,2808,2878,46M 48S,47M 58S,medium,
287,4,2,reg,red,277,3296,3308,54M 56S,55M 8S,medium,
3412,5,4,reg,0,35,164,168,2M 44S,2M 48S,medium,
2115,6,5,reg,0,21,180,186,3M 0S,3M 6S,medium,
1075,7,7,reg,red,107,2902,2910,48M 22S,48M 30S,medium,
1834,8,8,reg,0,13,162,164,2M 42S,2M 44S,medium,
1864,9,8,reg,stripes,72,608,610,10M 8S,10M 10S,small,
3108,10,9,reg,0,3,32,36,32S,36S,medium,
1227,11,9,reg,white,12,102,110,1M 42S,1M 50S,medium,
447,12,9,reg,grey,447,3312,3324,55M 12S,55M 24S,small,
859,13,10,reg,0,85,762,768,12M 42S,12M 48S,medium,
2404,14,11,reg,1,15,136,138,2M 16S,2M 18S,medium,
2525,15,11,reg,2,286,2942,2956,49M 2S,49M 16S,medium,
4201,16,12,reg,0,206,2332,2336,38M 52S,38M 56S,medium,
4242,17,13,reg,0,277,1790,1806,29M 50S,30M 6S,medium,
3524,18,14,reg,0,35,260,262,4M 20S,4M 22S,medium,
3629,19,17,reg,0,36,396,400,6M 36S,6M 40S,medium,
1990,20,18,reg,2,19,126,136,2M 6S,2M 16S,medium,
20713,21,18,reg,1,207,952,954,15M 52S,15M 54S,medium,
3547,22,19,reg,0,354,2472,2474,41M 12S,41M 14S,small,
4686,23,20,reg,0,16,116,118,1M 56S,1M 58S,medium,
39610,24,2,new,white,34,332,348,5M 32S,5M 48S,medium,
9131,25,3,new,0,91,1340,1344,22M 20S,22M 24S,medium,
28131,26,4,new,0,40,366,370,6M 6S,6M 10S,medium,
12541,27,5,new,0,49,1658,1666,27M 38S,27M 46S,medium,
29231,28,6,new,blue,31,770,776,12M 50S,12M 56S,medium,
16761,29,8,new,white,35,328,354,5M 28S,5M 54S,medium,
44117,30,9,new,green,7,148,152,2M 28S,2M 32S,small,
44213,31,9,new,0,9,156,164,2M 36S,2M 44S,medium,
131121,32,10,new,0,131,1360,1368,22M 40S,22M 48S,medium,
52621,33,11,new,0,45,650,652,10M 50S,10M 52S,medium,
27291,34,12,new,1,98,950,958,15M 50S,15M 58S,medium,
33301,35,12,new,2,571,7546,7564,2H 5M 46S,2H 6M 4S,medium,
45251,36,13,new,stripes,45,222,224,3M 42S,3M 44S,medium,
40271,37,13,new,0,402,1528,1530,25M 28S,25M 30S,medium,
51351,38,14,new,0,51,324,328,5M 24S,5M 28S,medium,
3550,39,16,new,0,35,1726,1736,28M 46S,28M 56S,medium,
49651,40,17,new,0,50,978,982,16M 18S,16M 22S,medium,
99161,41,18,new,1,99,598,604,9M 58S,10M 4S,medium,
5444,42,18,new,3,544,2692,2714,44M 52S,45M 14S,medium,
7432,43,18,new,2,743,4302,4312,1H 11M 42S,1H 11M 52S,medium,
28514,44,19,new,0,285,2346,2348,39M 6S,39M 8S,medium,
14618,45,20,new,0,7,3564,3572,59M 24S,59M 32S,medium,
