,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments,
184,1,1,reg,0,29,204,208,3M 24S,3M 28S,standard,,
290,2,2,reg,0,39,528,548,8M 48S,9M 8S,pedal,standard,
294,3,2,reg,recycling,120,2000,2004,33M 20S,33M 24S,box,,
2113,4,4,reg,0,14,64,66,1M 4S,1M 6S,custom made,,
2514,5,5,reg,0,25,214,216,3M 34S,3M 36S,standard,,
4913,6,5,reg,recycling,49,996,998,16M 36S,16M 38S,bag,,
3115,7,6,reg,recycling,31,366,368,6M 6S,6M 8S,box,,
3214,8,6,reg,0,32,378,380,6M 18S,6M 20S,box,,
4215,9,7,reg,0,42,284,286,4M 44S,4M 46S,standard,,
1904,10,8,reg,0,5,54,80,54S,1M 20S,standard,,
1825,11,9,reg,bucket,18,124,126,2M 4S,2M 6S,bucket,,
957,12,9,reg,0,95,666,668,11M 6S,11M 8S,standard,,
399,13,9,reg,plasticBag,399,2950,2952,49M 10S,49M 12S,bag,,
2620,14,10,reg,0,26,178,182,2M 58S,3M 2S,standard,,
3319,15,10,reg,bucket,33,236,242,3M 56S,4M 2S,bucket,,
2573,16,11,reg,0,38,452,454,7M 32S,7M 34S,bag,,
42110,17,12,reg,black,51,590,592,9M 50S,9M 52S,standard,,
4252,18,13,reg,0,8,32,34,32S,34S,pedal,standard,
19910,19,14,reg,0,199,1630,1632,27M 10S,27M 12S,standard,,
2438,20,15,reg,1,24,176,178,2M 56S,2M 58S,standard,,
17214,21,15,reg,temporary,172,886,888,14M 46S,14M 48S,bucket,,
40113,22,15,reg,recycling_r,401,2068,2072,34M 28S,34M 32S,split,standard,
4136,23,16,reg,0,41,276,278,4M 36S,4M 38S,standard,,
5525,24,17,reg,small,55,576,590,9M 36S,9M 50S,small,,
8120,25,17,reg,aluminum_square,81,1186,1188,19M 46S,19M 48S,standard,,
568,26,17,reg,plastic,568,4932,4934,1H 22M 12S,1H 22M 14S,standard,,
586,27,17,reg,aluminum_round,586,5088,5092,1H 24M 48S,1H 24M 52S,pedal,standard,
10916,28,18,reg,recycling,109,538,540,8M 58S,9M 0S,standard,recycling,
5328,29,18,reg,organic,532,2354,2356,39M 14S,39M 16S,standard,green,
2280,30,19,reg,small,2,6,8,6S,8S,small,,
7102,31,19,reg,small,7,26,54,26S,54S,,,remove this
4337,32,19,reg,temporary,43,238,240,3M 58S,4M 0S,bag,,
4886,33,20,reg,0,35,242,244,4M 2S,4M 4S,standard,,
27100,34,1,new,0,27,186,190,3M 6S,3M 10S,standard,,
40118,35,2,new,0,23,242,246,4M 2S,4M 6S,pedal,standard,
40810,36,2,new,recycling,166,2406,2408,40M 6S,40M 8S,box,,
40119,37,3,new,0,40,836,840,13M 56S,14M 0S,standard,,
11141,38,4,new,0,6,68,72,1M 8S,1M 12S,custom made,,
16741,39,5,new,0,6,46,48,46S,48S,standard,,
17741,40,5,new,recycling,80,2280,2282,38M 0S,38M 2S,bag,,
30631,41,6,new,0,23,532,534,8M 52S,8M 54S,standard,,
46151,42,7,new,0,46,1102,1104,18M 22S,18M 24S,standard,,
17561,43,8,new,0,29,306,308,5M 6S,5M 8S,standard,,
45213,44,9,new,bucket,14,200,202,3M 20S,3M 22S,bucket,,
4597,45,9,new,0,92,660,662,11M 0S,11M 2S,standard,,
12301,46,10,new,0,12,88,90,1M 28S,1M 30S,standard,,
14301,47,10,new,bucket,14,94,96,1M 34S,1M 36S,bucket,,
54511,48,11,new,0,17,232,234,3M 52S,3M 54S,bag,,
13401,49,12,new,black,41,392,394,6M 32S,6M 34S,standard,,
15501,50,12,new,coffeePods,78,728,740,12M 8S,12M 20S,small,,
262101,51,13,new,0,262,1030,1032,17M 10S,17M 12S,pedal,standard,
122141,52,14,new,0,122,734,736,12M 14S,12M 16S,standard,,
14701,53,15,new,1,14,128,130,2M 8S,2M 10S,standard,,
7424,54,15,new,recycling_r,74,406,408,6M 46S,6M 48S,split,standard,
96131,55,15,new,temporary,96,574,588,9M 34S,9M 48S,bucket,,
30601,56,16,new,0,30,1696,1698,28M 16S,28M 18S,standard,,
111031,57,17,new,aluminum_square,11,138,140,2M 18S,2M 20S,standard,,
2570,58,17,new,aluminum_round,25,196,200,3M 16S,3M 20S,pedal,standard,
219121,59,17,new,small,219,2938,2940,48M 58S,49M 0S,small,,
137161,60,18,new,organic,137,842,846,14M 2S,14M 6S,standard,green,
4638,61,19,new,small,46,380,390,6M 20S,6M 30S,small,,
8129,62,19,new,0,81,710,712,11M 50S,11M 52S,standard,,
15618,63,20,new,0,34,3656,3658,1H 0M 56S,1H 0M 58S,standard,,
